,Filename,Label,ClassName
16257,AnnualCrop/AnnualCrop_142.jpg,0,AnnualCrop
3297,HerbaceousVegetation/HerbaceousVegetation_2835.jpg,2,HerbaceousVegetation
17881,PermanentCrop/PermanentCrop_1073.jpg,6,PermanentCrop
2223,Industrial/Industrial_453.jpg,4,Industrial
4887,HerbaceousVegetation/HerbaceousVegetation_1810.jpg,2,HerbaceousVegetation
761,Pasture/Pasture_1780.jpg,5,Pasture
4584,HerbaceousVegetation/HerbaceousVegetation_1614.jpg,2,HerbaceousVegetation
1746,Industrial/Industrial_1008.jpg,4,Industrial
11598,Highway/Highway_892.jpg,3,Highway
2635,Industrial/Industrial_1489.jpg,4,Industrial
15402,AnnualCrop/AnnualCrop_1354.jpg,0,AnnualCrop
11301,Highway/Highway_2237.jpg,3,Highway
4557,HerbaceousVegetation/HerbaceousVegetation_2370.jpg,2,HerbaceousVegetation
7290,Residential/Residential_1545.jpg,7,Residential
7171,Residential/Residential_2024.jpg,7,Residential
12622,Highway/Highway_579.jpg,3,Highway
15928,AnnualCrop/AnnualCrop_1623.jpg,0,AnnualCrop
4992,HerbaceousVegetation/HerbaceousVegetation_2148.jpg,2,HerbaceousVegetation
17217,PermanentCrop/PermanentCrop_1356.jpg,6,PermanentCrop
16770,AnnualCrop/AnnualCrop_1059.jpg,0,AnnualCrop
1875,Industrial/Industrial_2418.jpg,4,Industrial
9926,River/River_398.jpg,8,River
12536,Highway/Highway_1301.jpg,3,Highway
14801,SeaLake/SeaLake_2570.jpg,9,SeaLake
12969,SeaLake/SeaLake_2239.jpg,9,SeaLake
18425,PermanentCrop/PermanentCrop_2349.jpg,6,PermanentCrop
5632,Residential/Residential_1723.jpg,7,Residential
8233,Forest/Forest_1951.jpg,1,Forest
17405,PermanentCrop/PermanentCrop_336.jpg,6,PermanentCrop
934,Pasture/Pasture_859.jpg,5,Pasture
8426,Forest/Forest_1895.jpg,1,Forest
13769,SeaLake/SeaLake_1258.jpg,9,SeaLake
7213,Residential/Residential_2894.jpg,7,Residential
8798,Forest/Forest_962.jpg,1,Forest
11001,River/River_1987.jpg,8,River
1014,Pasture/Pasture_364.jpg,5,Pasture
6763,Residential/Residential_2046.jpg,7,Residential
11821,Highway/Highway_627.jpg,3,Highway
6847,Residential/Residential_2036.jpg,7,Residential
15832,AnnualCrop/AnnualCrop_1842.jpg,0,AnnualCrop
5599,Residential/Residential_2532.jpg,7,Residential
8884,Forest/Forest_333.jpg,1,Forest
18402,PermanentCrop/PermanentCrop_1868.jpg,6,PermanentCrop
25,Pasture/Pasture_1766.jpg,5,Pasture
16655,AnnualCrop/AnnualCrop_1035.jpg,0,AnnualCrop
13323,SeaLake/SeaLake_2727.jpg,9,SeaLake
3070,Industrial/Industrial_1760.jpg,4,Industrial
4694,HerbaceousVegetation/HerbaceousVegetation_570.jpg,2,HerbaceousVegetation
4333,HerbaceousVegetation/HerbaceousVegetation_530.jpg,2,HerbaceousVegetation
2619,Industrial/Industrial_2285.jpg,4,Industrial
5421,Residential/Residential_392.jpg,7,Residential
16032,AnnualCrop/AnnualCrop_708.jpg,0,AnnualCrop
3768,HerbaceousVegetation/HerbaceousVegetation_2834.jpg,2,HerbaceousVegetation
15095,AnnualCrop/AnnualCrop_1124.jpg,0,AnnualCrop
1591,Industrial/Industrial_1426.jpg,4,Industrial
8096,Forest/Forest_2446.jpg,1,Forest
9370,Forest/Forest_2844.jpg,1,Forest
4340,HerbaceousVegetation/HerbaceousVegetation_485.jpg,2,HerbaceousVegetation
119,Pasture/Pasture_302.jpg,5,Pasture
10468,River/River_2032.jpg,8,River
11865,Highway/Highway_667.jpg,3,Highway
15408,AnnualCrop/AnnualCrop_1731.jpg,0,AnnualCrop
1735,Industrial/Industrial_346.jpg,4,Industrial
3270,HerbaceousVegetation/HerbaceousVegetation_2087.jpg,2,HerbaceousVegetation
1614,Industrial/Industrial_1229.jpg,4,Industrial
3392,HerbaceousVegetation/HerbaceousVegetation_201.jpg,2,HerbaceousVegetation
112,Pasture/Pasture_876.jpg,5,Pasture
704,Pasture/Pasture_674.jpg,5,Pasture
4010,HerbaceousVegetation/HerbaceousVegetation_2019.jpg,2,HerbaceousVegetation
1404,Industrial/Industrial_1494.jpg,4,Industrial
15753,AnnualCrop/AnnualCrop_1648.jpg,0,AnnualCrop
3804,HerbaceousVegetation/HerbaceousVegetation_1162.jpg,2,HerbaceousVegetation
9218,Forest/Forest_1009.jpg,1,Forest
14970,SeaLake/SeaLake_1139.jpg,9,SeaLake
2343,Industrial/Industrial_2355.jpg,4,Industrial
4423,HerbaceousVegetation/HerbaceousVegetation_1388.jpg,2,HerbaceousVegetation
870,Pasture/Pasture_705.jpg,5,Pasture
15826,AnnualCrop/AnnualCrop_171.jpg,0,AnnualCrop
3214,HerbaceousVegetation/HerbaceousVegetation_798.jpg,2,HerbaceousVegetation
2752,Industrial/Industrial_1545.jpg,4,Industrial
16799,AnnualCrop/AnnualCrop_1208.jpg,0,AnnualCrop
18867,PermanentCrop/PermanentCrop_1809.jpg,6,PermanentCrop
9456,River/River_351.jpg,8,River
