,0
device,cuda
epochs,100
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,EFFICIENTNET-B1
loss_list,"[1.5875341892242432, 0.571378231048584, 0.3475985527038574, 0.2693711817264557, 0.22073563933372498, 0.20230892300605774, 0.17615704238414764, 0.1672600507736206, 0.14684145152568817, 0.13533394038677216, 0.11769437044858932, 0.12081758677959442, 0.10950213670730591, 0.09653883427381516, 0.09786538779735565, 0.10062281787395477, 0.082826167345047, 0.08625563234090805, 0.08067148178815842, 0.07530338317155838, 0.07436393946409225, 0.06803896278142929, 0.06612763553857803, 0.06175565719604492, 0.06203232705593109, 0.0659993439912796, 0.05699080601334572, 0.059540651738643646, 0.05852716788649559, 0.050891775637865067, 0.05223184451460838, 0.047981925308704376, 0.051158320158720016, 0.04653201997280121, 0.049954719841480255, 0.0472022145986557, 0.047329291701316833, 0.04334813728928566, 0.04523877799510956, 0.04161493852734566, 0.03681616112589836, 0.038167957216501236, 0.038074295967817307, 0.03774929419159889, 0.03637159988284111, 0.0384925939142704, 0.0365249440073967, 0.038984160870313644, 0.03447670117020607, 0.03221719339489937, 0.03629947453737259, 0.031441133469343185, 0.0320112407207489, 0.031239217147231102, 0.033958546817302704, 0.03138016164302826, 0.03018770180642605, 0.03055615723133087, 0.027102313935756683, 0.029576420783996582, 0.038101330399513245, 0.028057288378477097, 0.028248649090528488, 0.02785027027130127, 0.02575279027223587, 0.02742617204785347, 0.02538134902715683, 0.02451261132955551, 0.021708477288484573, 0.02407555654644966, 0.027462825179100037, 0.026399245485663414, 0.02490910142660141, 0.022518491372466087, 0.02197391726076603, 0.02293526753783226, 0.02247018925845623, 0.02086102031171322, 0.020131025463342667, 0.021530350670218468, 0.018662432208657265, 0.02081717550754547, 0.022321412339806557, 0.01599268801510334, 0.01687498763203621, 0.017509425058960915, 0.019542891532182693, 0.019885657355189323, 0.017075322568416595, 0.018377330154180527, 0.017493152990937233, 0.016246100887656212, 0.018290014937520027, 0.01737840473651886, 0.01928081549704075, 0.017840906977653503, 0.019309669733047485, 0.015802666544914246, 0.017445584759116173, 0.016044117510318756]"
train_acc_list,"[71.84656084656085, 87.35449735449735, 92.0952380952381, 93.54497354497354, 94.71957671957671, 95.4973544973545, 96.0, 96.4973544973545, 96.6931216931217, 97.16402116402116, 97.43386243386244, 97.3068783068783, 97.67724867724867, 98.04232804232804, 98.07936507936508, 98.16402116402116, 98.22222222222223, 98.29100529100529, 98.4920634920635, 98.3015873015873, 98.4920634920635, 98.80423280423281, 98.71957671957672, 98.69312169312168, 98.7989417989418, 98.76719576719577, 98.88888888888889, 98.86243386243386, 98.96825396825398, 98.97883597883597, 99.02116402116403, 98.99470899470899, 99.11111111111111, 99.13756613756614, 98.97354497354497, 99.11111111111111, 99.16402116402116, 99.15343915343915, 99.14814814814815, 99.28571428571429, 99.33333333333333, 99.3121693121693, 99.28571428571429, 99.26984126984128, 99.28571428571429, 99.39153439153439, 99.24867724867725, 99.27513227513228, 99.3015873015873, 99.3862433862434, 99.4867724867725, 99.35978835978835, 99.5132275132275, 99.32804232804233, 99.42328042328043, 99.42328042328043, 99.51851851851852, 99.44444444444444, 99.42857142857143, 99.41798941798942, 99.37566137566137, 99.58201058201058, 99.4021164021164, 99.4021164021164, 99.4867724867725, 99.57671957671957, 99.53439153439153, 99.60846560846561, 99.56613756613757, 99.5079365079365, 99.55555555555556, 99.5873015873016, 99.54497354497354, 99.57142857142857, 99.54497354497354, 99.66137566137566, 99.59259259259258, 99.69312169312168, 99.66137566137566, 99.6878306878307, 99.5873015873016, 99.62962962962963, 99.70370370370371, 99.69312169312168, 99.69312169312168, 99.74074074074075, 99.64021164021165, 99.62962962962963, 99.64021164021165, 99.70370370370371, 99.71428571428571, 99.64550264550265, 99.66666666666667, 99.66666666666667, 99.73015873015873, 99.67724867724867, 99.61904761904762, 99.65608465608466, 99.62962962962963, 99.67724867724867]"
val_acc_list,"[79.64814814814815, 91.05555555555556, 94.7962962962963, 95.5925925925926, 95.77777777777777, 96.11111111111111, 96.33333333333334, 96.5925925925926, 96.85185185185186, 97.0, 97.0, 97.07407407407408, 97.03703703703704, 97.03703703703704, 97.03703703703704, 96.98148148148148, 96.96296296296296, 97.0, 97.07407407407408, 97.29629629629629, 97.14814814814815, 97.22222222222221, 97.0925925925926, 97.20370370370371, 97.16666666666667, 97.07407407407408, 97.22222222222221, 97.0925925925926, 97.22222222222221, 97.12962962962963, 97.25925925925925, 97.16666666666667, 97.0925925925926, 97.29629629629629, 97.05555555555556, 97.29629629629629, 97.20370370370371, 97.33333333333334, 97.29629629629629, 97.31481481481481, 97.37037037037038, 97.37037037037038, 97.12962962962963, 97.29629629629629, 97.46296296296296, 97.22222222222221, 97.25925925925925, 97.27777777777777, 97.24074074074073, 97.5, 97.4074074074074, 97.55555555555556, 97.5, 97.24074074074073, 97.25925925925925, 97.38888888888889, 97.31481481481481, 97.48148148148148, 97.42592592592592, 97.4074074074074, 97.4074074074074, 97.18518518518519, 97.12962962962963, 97.35185185185186, 97.29629629629629, 97.35185185185186, 97.25925925925925, 97.35185185185186, 97.57407407407406, 97.35185185185186, 97.4074074074074, 97.42592592592592, 97.4074074074074, 97.24074074074073, 97.37037037037038, 97.46296296296296, 97.61111111111111, 97.57407407407406, 97.55555555555556, 97.57407407407406, 97.48148148148148, 97.53703703703704, 97.5925925925926, 97.48148148148148, 97.51851851851852, 97.55555555555556, 97.53703703703704, 97.53703703703704, 97.55555555555556, 97.51851851851852, 97.53703703703704, 97.57407407407406, 97.57407407407406, 97.53703703703704, 97.55555555555556, 97.5925925925926, 97.55555555555556, 97.57407407407406, 97.55555555555556, 97.53703703703704]"
test_acc,98.11111111111111
