,0
device,cuda
epochs,100
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,EFFICIENTNET-B7
loss_list,"[1.169028878211975, 0.18513277173042297, 0.0686117485165596, 0.03111674077808857, 0.02051573619246483, 0.018873929977416992, 0.012244362384080887, 0.00654270313680172, 0.00869161356240511, 0.009074264205992222, 0.007808049209415913, 0.008062665350735188, 0.006223347969353199, 0.0055203852243721485, 0.008179622702300549, 0.0063813370652496815, 0.004114748444408178, 0.004597587510943413, 0.004552701488137245, 0.005785205401480198, 0.00690798182040453, 0.005302371922880411, 0.002683949191123247, 0.004517536610364914, 0.004021764267235994, 0.0031387843191623688, 0.003839949145913124, 0.0038385584484785795, 0.004068807233124971, 0.0039609503000974655, 0.002362833358347416, 0.004123994614928961, 0.0018797714728862047, 0.0028900455217808485, 0.004818363580852747, 0.0020152267534285784, 0.00199115346185863, 0.002756850328296423, 0.0026351327542215586, 0.002681995276361704, 0.0032749257516115904, 0.0015386424493044615, 0.0024397969245910645, 0.0029269796796143055, 0.0020549835171550512, 0.002204584889113903, 0.0018404519651085138, 0.003341528121381998, 0.0014586480101570487, 0.0031334112863987684, 0.0016710724448785186, 0.0034823548048734665, 0.0040319086983799934, 0.00224882154725492, 0.001461339765228331, 0.0032200661953538656, 0.0027267097029834986, 0.0027489732019603252, 0.0017242582980543375, 0.003082416718825698, 0.00476050702854991, 0.00413369107991457, 0.003917423076927662, 0.0019584093242883682, 0.004353837575763464, 0.0029286888893693686, 0.00266933417879045, 0.0029512362089008093, 0.0009794579818844795, 0.0014956376980990171, 0.0012864713789895177, 0.0020839404314756393, 0.0015424429439008236, 0.00192396086640656, 0.0017246545758098364, 0.0022957068867981434, 0.0014991528587415814, 0.0011242479085922241, 0.0008645502966828644, 0.002880353480577469, 0.0014678225852549076, 0.0010846308432519436, 0.0011402444215491414, 0.001077269553206861, 0.0023840840440243483, 0.0022083520889282227, 0.0011154389940202236, 0.0006875405670143664, 0.0006789376493543386, 0.0008475337526760995, 0.001734572579152882, 0.0008564423187635839, 0.0007585946004837751, 0.005303539335727692, 0.0024953412357717752, 0.0019772022496908903, 0.0016121186781674623, 0.003690822748467326, 0.0038921209052205086, 0.0021315407939255238]"
train_acc_list,"[92.18518518518518, 97.83068783068784, 99.15873015873015, 99.52910052910053, 99.56084656084656, 99.70899470899471, 99.64550264550265, 99.7989417989418, 99.79365079365078, 99.77777777777777, 99.87830687830687, 99.78306878306879, 99.84126984126985, 99.80952380952381, 99.68253968253968, 99.8994708994709, 99.85714285714286, 99.86243386243386, 99.86772486772487, 99.86243386243386, 99.88359788359789, 99.90476190476191, 99.93121693121692, 99.93650793650794, 99.90476190476191, 99.87830687830687, 99.91005291005291, 99.92592592592592, 99.92063492063492, 99.94708994708995, 99.93121693121692, 99.94708994708995, 99.95238095238095, 99.90476190476191, 99.93121693121692, 99.93650793650794, 99.94179894179894, 99.91534391534391, 99.95767195767196, 99.91534391534391, 99.94179894179894, 99.94179894179894, 99.90476190476191, 99.94708994708995, 99.93650793650794, 99.96825396825398, 99.94179894179894, 99.92592592592592, 99.94708994708995, 99.92063492063492, 99.94179894179894, 99.95767195767196, 99.93650793650794, 99.94708994708995, 99.91005291005291, 99.91534391534391, 99.97354497354497, 99.85714285714286, 99.91005291005291, 99.89417989417989, 99.95238095238095, 99.8888888888889, 99.94708994708995, 99.92592592592592, 99.70370370370371, 99.94708994708995, 99.94708994708995, 99.95238095238095, 99.96296296296296, 99.97354497354497, 99.97883597883597, 99.95767195767196, 99.96825396825398, 99.96825396825398, 99.97354497354497, 99.96825396825398, 99.97354497354497, 99.95238095238095, 99.95767195767196, 99.95238095238095, 99.95238095238095, 99.96825396825398, 99.96296296296296, 99.97354497354497, 99.96825396825398, 99.95767195767196, 99.98412698412699, 99.97883597883597, 99.97354497354497, 99.95767195767196, 99.93121693121692, 99.98412698412699, 99.97883597883597, 99.92063492063492, 99.96825396825398, 99.95767195767196, 99.989417989418, 99.96296296296296, 99.95238095238095, 99.97354497354497]"
val_acc_list,"[89.83333333333333, 94.31481481481482, 95.14814814814815, 95.18518518518519, 94.64814814814815, 95.48148148148148, 95.46296296296296, 95.7962962962963, 94.96296296296296, 95.27777777777777, 95.42592592592592, 95.77777777777777, 95.94444444444444, 95.96296296296296, 95.68518518518519, 96.12962962962963, 96.12962962962963, 95.64814814814815, 95.87037037037037, 96.05555555555556, 95.74074074074073, 96.18518518518519, 96.33333333333334, 95.96296296296296, 96.07407407407408, 95.72222222222221, 96.27777777777777, 96.0, 96.29629629629629, 96.66666666666667, 96.44444444444444, 96.2037037037037, 96.53703703703704, 96.22222222222221, 96.37037037037037, 96.53703703703704, 96.44444444444444, 96.81481481481482, 96.55555555555554, 96.33333333333334, 96.4074074074074, 96.42592592592592, 96.55555555555554, 96.35185185185186, 96.96296296296296, 96.68518518518519, 96.74074074074073, 96.79629629629629, 96.5, 96.55555555555554, 96.72222222222221, 97.0, 96.96296296296296, 96.75925925925925, 96.35185185185186, 96.48148148148148, 96.83333333333334, 96.2037037037037, 96.64814814814815, 96.24074074074073, 96.61111111111111, 96.81481481481482, 96.64814814814815, 96.64814814814815, 96.05555555555556, 96.57407407407408, 97.05555555555556, 96.79629629629629, 97.0, 96.79629629629629, 96.92592592592592, 96.96296296296296, 97.31481481481481, 96.92592592592592, 96.96296296296296, 97.0, 96.88888888888889, 96.94444444444444, 96.66666666666667, 97.05555555555556, 96.81481481481482, 96.96296296296296, 96.92592592592592, 97.03703703703704, 96.77777777777777, 96.87037037037037, 97.16666666666667, 96.83333333333334, 97.12962962962963, 96.92592592592592, 97.14814814814815, 97.0, 97.0, 96.72222222222221, 97.24074074074073, 96.88888888888889, 96.87037037037037, 97.14814814814815, 97.12962962962963, 97.0]"
test_acc,98.22222222222223
