,0
device,cuda
epochs,100
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,EFFICIENTNET-B7
loss_list,"[1.4023619890213013, 0.4596710801124573, 0.3302959203720093, 0.26946043968200684, 0.2340414971113205, 0.21511051058769226, 0.19564127922058105, 0.18322136998176575, 0.16555705666542053, 0.16093634068965912, 0.1454959213733673, 0.14910157024860382, 0.12722095847129822, 0.13818950951099396, 0.1190989762544632, 0.12149425595998764, 0.11987155675888062, 0.11646447330713272, 0.10716474801301956, 0.10012510418891907, 0.09709196537733078, 0.09817614406347275, 0.10015871375799179, 0.09940918534994125, 0.09838005155324936, 0.09408662468194962, 0.09197025001049042, 0.09113924205303192, 0.09097417443990707, 0.08634023368358612, 0.08446847647428513, 0.07973583787679672, 0.08214200288057327, 0.07506208121776581, 0.07432244718074799, 0.08118084073066711, 0.0753687247633934, 0.07342836260795593, 0.07325171679258347, 0.07594817131757736, 0.07748699188232422, 0.06970998644828796, 0.06966707855463028, 0.07219807803630829, 0.07072624564170837, 0.06915758550167084, 0.06390932947397232, 0.06562604010105133, 0.06555479764938354, 0.06496396660804749, 0.0662187859416008, 0.06809143722057343, 0.06163320317864418, 0.06297247856855392, 0.06237561255693436, 0.06826791912317276, 0.06617359817028046, 0.06271906942129135, 0.06058120355010033, 0.06503672152757645, 0.063822902739048, 0.06006662920117378, 0.06165199354290962, 0.05769490823149681, 0.062094297260046005, 0.059041522443294525, 0.05728629603981972, 0.05799107253551483, 0.05366084352135658, 0.05504385381937027, 0.059182535856962204, 0.05149625986814499, 0.051216840744018555, 0.04938396066427231, 0.05503382161259651, 0.05969132110476494, 0.05071033164858818, 0.057400260120630264, 0.054061684757471085, 0.05666745826601982, 0.05048031359910965, 0.047826264053583145, 0.047201916575431824, 0.04933538660407066, 0.042583364993333817, 0.04198125749826431, 0.047218430787324905, 0.04275953397154808, 0.04259942099452019, 0.04236336424946785, 0.04457501694560051, 0.04664335399866104, 0.03875257074832916, 0.04482525214552879, 0.0396338626742363, 0.04265011101961136, 0.040984462946653366, 0.04335525631904602, 0.04454144462943077, 0.043137889355421066]"
train_acc_list,"[57.994708994709, 88.74603174603175, 91.97883597883599, 93.2962962962963, 93.65608465608466, 94.53968253968253, 94.9047619047619, 95.62433862433862, 95.54497354497354, 96.13756613756614, 96.55026455026456, 96.57142857142857, 96.46031746031746, 96.6931216931217, 96.80952380952381, 96.994708994709, 96.994708994709, 97.13756613756614, 97.35978835978835, 97.17989417989418, 97.41798941798942, 97.41269841269842, 97.57671957671957, 97.4867724867725, 97.78306878306879, 97.74603174603175, 97.93121693121694, 97.88888888888889, 97.70370370370371, 97.72486772486772, 97.76719576719577, 97.97354497354497, 97.85714285714285, 97.88359788359789, 97.82010582010582, 98.1005291005291, 97.97883597883597, 97.94179894179894, 98.17460317460316, 97.95238095238096, 98.17989417989418, 98.14285714285714, 98.15873015873015, 98.29100529100529, 98.3015873015873, 98.19047619047619, 98.34920634920636, 98.12698412698413, 98.24338624338624, 98.17460317460316, 98.34920634920636, 98.33333333333333, 98.42328042328042, 98.28042328042328, 98.47619047619047, 98.31746031746032, 98.13756613756614, 98.43386243386243, 98.32275132275132, 98.34391534391534, 98.60317460317461, 98.65079365079366, 98.36507936507937, 98.46031746031746, 98.42328042328042, 98.47089947089948, 98.4920634920635, 98.46560846560847, 98.51851851851852, 98.4973544973545, 98.5978835978836, 98.68253968253968, 98.5978835978836, 98.83068783068784, 98.54497354497354, 98.56084656084656, 98.61904761904762, 98.60846560846561, 98.5978835978836, 98.67724867724867, 98.70899470899471, 98.71957671957672, 98.71428571428571, 98.66666666666667, 98.87301587301587, 98.82539682539682, 98.83068783068784, 98.82539682539682, 98.75132275132276, 98.85185185185185, 98.91534391534391, 98.92063492063492, 98.77777777777777, 98.85714285714286, 98.87301587301587, 98.83597883597884, 98.86772486772487, 98.86243386243386, 98.67724867724867, 98.94179894179894]"
val_acc_list,"[71.5, 92.62962962962963, 95.03703703703704, 96.07407407407408, 96.29629629629629, 96.87037037037037, 97.05555555555556, 97.46296296296296, 97.35185185185186, 97.48148148148148, 98.01851851851852, 97.72222222222223, 97.5, 97.75925925925925, 98.24074074074073, 97.96296296296296, 98.12962962962963, 98.18518518518519, 98.33333333333333, 98.11111111111111, 98.24074074074073, 98.22222222222223, 98.57407407407408, 98.46296296296296, 98.35185185185186, 98.61111111111111, 98.55555555555556, 98.55555555555556, 98.24074074074073, 98.70370370370371, 98.62962962962963, 98.59259259259258, 98.57407407407408, 98.5, 98.37037037037038, 98.74074074074073, 98.37037037037038, 98.27777777777777, 98.53703703703704, 98.74074074074073, 98.74074074074073, 98.70370370370371, 98.55555555555556, 98.72222222222223, 98.74074074074073, 98.66666666666667, 98.61111111111111, 98.59259259259258, 98.59259259259258, 98.75925925925925, 98.81481481481481, 98.70370370370371, 98.75925925925925, 98.75925925925925, 98.62962962962963, 98.66666666666667, 98.68518518518519, 98.53703703703704, 98.66666666666667, 98.57407407407408, 98.70370370370371, 98.75925925925925, 98.68518518518519, 98.62962962962963, 98.74074074074073, 98.77777777777777, 98.88888888888889, 98.61111111111111, 98.53703703703704, 98.59259259259258, 98.51851851851852, 98.75925925925925, 98.66666666666667, 98.70370370370371, 98.74074074074073, 98.66666666666667, 98.53703703703704, 98.81481481481481, 98.27777777777777, 98.70370370370371, 98.59259259259258, 98.68518518518519, 98.74074074074073, 98.74074074074073, 98.75925925925925, 98.75925925925925, 98.83333333333333, 98.85185185185185, 98.79629629629629, 98.77777777777777, 98.75925925925925, 98.77777777777777, 98.79629629629629, 98.79629629629629, 98.81481481481481, 98.87037037037038, 98.85185185185185, 98.81481481481481, 98.87037037037038, 98.85185185185185]"
test_acc,98.96296296296296
