,0
device,cuda
epochs,100
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,RESNET152
loss_list,"[0.3376065790653229, 0.03689507395029068, 0.01583382859826088, 0.011396490968763828, 0.015952322632074356, 0.015582172200083733, 0.011672290042042732, 0.012018777430057526, 0.009117127396166325, 0.00815182738006115, 0.008128514513373375, 0.004759416915476322, 0.0018086038762703538, 0.004070959985256195, 0.005917256232351065, 0.011098850518465042, 0.01155341137200594, 0.014204067178070545, 0.0067886607721447945, 0.006581285502761602, 0.005104425363242626, 0.00801276694983244, 0.005129873286932707, 0.0051664924249053, 0.005952094681560993, 0.0072709652595222, 0.004480377770960331, 0.0036777867935597897, 0.0029967310838401318, 0.006695347838103771, 0.003363212803378701, 0.0023596538230776787, 0.003862390760332346, 0.0018617515452206135, 0.007192160934209824, 0.006031830795109272, 0.004677119664847851, 0.011015920899808407, 0.0061444370076060295, 0.0030884703155606985, 0.0015250437427312136, 0.0032065233681350946, 0.0010489834239706397, 0.006433612667024136, 0.004504522308707237, 0.003949808422476053, 0.002115191426128149, 0.006104588974267244, 0.0031515758018940687, 0.00512006226927042, 0.0024243523366749287, 0.006216719746589661, 0.004668950568884611, 0.00439109094440937, 0.004277239553630352, 0.004122515209019184, 0.007091805338859558, 0.006900409702211618, 0.004087358713150024, 0.0026031334418803453, 0.0032264755573123693, 0.0011410810984671116, 0.0004036471073050052, 0.00012841842544730753, 6.5182990510948e-05, 5.707381933461875e-05, 6.137554009910673e-05, 7.76413653511554e-05, 5.848011642228812e-05, 3.8514142943313345e-05, 4.018930849269964e-05, 5.933029024163261e-05, 4.197594171273522e-05, 5.003817204851657e-05, 2.050227703875862e-05, 0.0005381206865422428, 0.00485208909958601, 0.01705416664481163, 0.02217674069106579, 0.005734276957809925, 0.007369948551058769, 0.006188865751028061, 0.005193215329200029, 0.0011960355332121253, 0.0014115892117843032, 0.00082987459609285, 0.000166715748491697, 7.770862430334091e-05, 5.939591210335493e-05, 4.972692113369703e-05, 4.3312687921570614e-05, 3.7656864151358604e-05, 3.581038981792517e-05, 3.330221079522744e-05, 0.00042270979611203074, 8.521497511537746e-05, 0.00012325223360676318, 2.88842693407787e-05, 2.7644649890135042e-05, 2.122012483596336e-05]"
train_acc_list,"[98.83597883597884, 99.61904761904762, 99.35449735449735, 99.86243386243386, 99.38095238095238, 99.80952380952381, 99.67195767195767, 99.65608465608466, 99.81481481481481, 99.86243386243386, 99.83597883597884, 99.92063492063492, 99.87830687830687, 99.92063492063492, 99.85714285714286, 99.76190476190476, 99.69312169312168, 99.86772486772487, 99.79365079365078, 99.7883597883598, 99.84656084656085, 99.64550264550265, 99.76719576719577, 99.76190476190476, 99.86243386243386, 99.88359788359789, 99.90476190476191, 99.82539682539682, 99.91534391534391, 99.75661375661376, 99.96825396825398, 99.97354497354497, 99.97883597883597, 99.89417989417989, 99.75661375661376, 99.87301587301587, 99.93121693121692, 99.73544973544973, 99.94708994708995, 99.8888888888889, 99.98412698412699, 99.92063492063492, 99.98412698412699, 99.86772486772487, 99.95238095238095, 99.92592592592592, 99.97354497354497, 99.93650793650794, 99.71428571428571, 99.97354497354497, 99.88359788359789, 99.66137566137566, 99.95767195767196, 99.88359788359789, 99.94179894179894, 99.83068783068782, 99.8888888888889, 99.88359788359789, 99.93650793650794, 99.85714285714286, 99.96825396825398, 99.99470899470899, 99.99470899470899, 99.99470899470899, 100.0, 99.99470899470899, 100.0, 99.989417989418, 100.0, 100.0, 100.0, 99.98412698412699, 100.0, 99.99470899470899, 100.0, 99.96296296296296, 99.81481481481481, 99.11111111111111, 99.7883597883598, 99.91005291005291, 99.85185185185185, 99.95238095238095, 99.96825396825398, 99.96825396825398, 99.989417989418, 99.989417989418, 100.0, 100.0, 100.0, 99.99470899470899, 99.99470899470899, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
val_acc_list,"[96.5, 97.03703703703704, 96.46296296296296, 96.94444444444444, 96.11111111111111, 97.20370370370371, 96.5, 96.4074074074074, 96.66666666666667, 97.01851851851852, 97.05555555555556, 97.53703703703704, 97.16666666666667, 97.03703703703704, 97.07407407407408, 96.72222222222221, 96.48148148148148, 97.4074074074074, 97.14814814814815, 96.85185185185186, 97.07407407407408, 96.88888888888889, 96.57407407407408, 96.94444444444444, 97.03703703703704, 97.29629629629629, 97.4074074074074, 97.37037037037038, 97.29629629629629, 96.81481481481482, 97.33333333333334, 97.48148148148148, 97.4074074074074, 97.05555555555556, 97.22222222222221, 97.24074074074073, 97.27777777777777, 96.88888888888889, 97.33333333333334, 97.5, 97.57407407407406, 97.35185185185186, 97.46296296296296, 97.0925925925926, 97.37037037037038, 97.37037037037038, 97.51851851851852, 97.46296296296296, 97.07407407407408, 97.68518518518519, 97.53703703703704, 96.96296296296296, 97.70370370370371, 97.18518518518519, 97.29629629629629, 97.11111111111111, 96.96296296296296, 96.66666666666667, 97.4074074074074, 97.31481481481481, 97.35185185185186, 97.62962962962963, 97.5925925925926, 97.66666666666667, 97.85185185185186, 97.74074074074073, 97.87037037037038, 97.77777777777777, 97.75925925925925, 97.88888888888889, 97.70370370370371, 97.62962962962963, 97.53703703703704, 97.83333333333334, 97.72222222222223, 97.64814814814815, 97.03703703703704, 95.44444444444444, 96.83333333333334, 97.12962962962963, 97.14814814814815, 97.12962962962963, 97.35185185185186, 97.12962962962963, 97.44444444444444, 97.53703703703704, 97.5925925925926, 97.53703703703704, 97.61111111111111, 97.72222222222223, 97.57407407407406, 97.57407407407406, 97.5925925925926, 97.83333333333334, 97.42592592592592, 97.5925925925926, 97.74074074074073, 97.75925925925925, 97.57407407407406, 97.61111111111111]"
test_acc,97.81481481481481
