,0
device,cuda
epochs,100
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,RESNET152
loss_list,"[0.4850844442844391, 0.21124979853630066, 0.17005668580532074, 0.1545346975326538, 0.14660871028900146, 0.13587833940982819, 0.12181001156568527, 0.12535616755485535, 0.11997157335281372, 0.11328387260437012, 0.11772163957357407, 0.1018347516655922, 0.10686026513576508, 0.1022091805934906, 0.10407831519842148, 0.09467490762472153, 0.09699830412864685, 0.09427060931921005, 0.08768798410892487, 0.09401194751262665, 0.08552487194538116, 0.09226307272911072, 0.08999759703874588, 0.08568422496318817, 0.08371827006340027, 0.08123542368412018, 0.08582393825054169, 0.07912882417440414, 0.08351029455661774, 0.08063730597496033, 0.07527534663677216, 0.07902324199676514, 0.07703118771314621, 0.0806426927447319, 0.08004657179117203, 0.08364970982074738, 0.0802539512515068, 0.05955219268798828, 0.0586378276348114, 0.05798528715968132, 0.058174848556518555, 0.05138048902153969, 0.05363604798913002, 0.052593305706977844, 0.04885109141469002, 0.05047255754470825, 0.0539168082177639, 0.05180969089269638, 0.05124408006668091, 0.052480824291706085, 0.04882802069187164, 0.04739433899521828, 0.05102838575839996, 0.04792273789644241, 0.04921563342213631, 0.05057074874639511, 0.04539303481578827, 0.04762524366378784, 0.04794711619615555, 0.04703269153833389, 0.048824284225702286, 0.04749423637986183, 0.044211018830537796, 0.045855194330215454, 0.0465833880007267, 0.046210117638111115, 0.042579345405101776, 0.04621155932545662, 0.04497244209051132, 0.047388955950737, 0.045949116349220276, 0.04233674705028534, 0.041220031678676605, 0.04518778994679451, 0.04107040911912918, 0.04335736483335495, 0.041887130588293076, 0.04597017168998718, 0.04350990429520607, 0.04253079369664192, 0.038989707827568054, 0.03986459970474243, 0.044824063777923584, 0.04449402913451195, 0.040716059505939484, 0.04811106249690056, 0.0406465157866478, 0.04398570582270622, 0.04077915847301483, 0.04116843640804291, 0.04157395288348198, 0.0416928231716156, 0.039897892624139786, 0.039063215255737305, 0.04178188368678093, 0.03668823465704918, 0.037436291575431824, 0.041117046028375626, 0.039156146347522736, 0.0418856106698513]"
train_acc_list,"[93.05291005291005, 94.6931216931217, 95.5026455026455, 96.01587301587303, 96.0, 95.70899470899471, 96.55555555555554, 96.26984126984127, 96.56613756613757, 96.47619047619047, 96.8994708994709, 96.39153439153439, 97.01587301587301, 97.3068783068783, 97.26984126984128, 97.07407407407408, 97.4074074074074, 97.37037037037038, 97.25396825396825, 97.57142857142857, 97.35449735449735, 97.4920634920635, 97.41798941798942, 97.56613756613757, 97.37037037037038, 97.76190476190476, 97.35449735449735, 97.6984126984127, 97.67724867724867, 97.62962962962963, 97.83068783068784, 97.78835978835978, 97.58201058201058, 97.4920634920635, 97.6984126984127, 97.79365079365078, 97.88359788359789, 98.02116402116403, 98.34920634920636, 98.21693121693121, 98.32804232804233, 98.23809523809524, 98.4126984126984, 98.34391534391534, 98.4021164021164, 98.4126984126984, 98.58201058201058, 98.73544973544973, 98.47619047619047, 98.31746031746032, 98.38095238095238, 98.66666666666667, 98.5079365079365, 98.71428571428571, 98.56613756613757, 98.4074074074074, 98.46031746031746, 98.56084656084656, 98.60317460317461, 98.47089947089948, 98.46031746031746, 98.61904761904762, 98.63492063492063, 98.73015873015873, 98.57671957671957, 98.68253968253968, 98.5873015873016, 98.6137566137566, 98.65079365079366, 98.64550264550265, 98.66666666666667, 98.64550264550265, 98.55555555555556, 98.65608465608466, 98.65079365079366, 98.72486772486772, 98.71428571428571, 98.65079365079366, 98.77248677248677, 98.77248677248677, 98.44444444444444, 98.69312169312168, 98.81481481481481, 98.74603174603175, 98.6984126984127, 98.62433862433862, 98.7989417989418, 98.68253968253968, 98.67195767195767, 98.66137566137566, 98.69312169312168, 98.64021164021165, 98.70899470899471, 98.67195767195767, 98.54497354497354, 98.62433862433862, 98.84126984126983, 98.83068783068784, 98.70370370370371, 98.65608465608466]"
val_acc_list,"[96.16666666666667, 96.94444444444444, 97.48148148148148, 97.48148148148148, 97.88888888888889, 98.03703703703704, 98.07407407407408, 97.53703703703704, 98.12962962962963, 97.77777777777777, 98.27777777777777, 97.94444444444444, 98.22222222222223, 98.70370370370371, 98.11111111111111, 98.12962962962963, 98.51851851851852, 98.31481481481481, 98.42592592592592, 98.14814814814815, 98.11111111111111, 98.46296296296296, 98.11111111111111, 98.48148148148148, 98.25925925925925, 98.66666666666667, 98.51851851851852, 98.35185185185186, 98.38888888888889, 98.46296296296296, 98.42592592592592, 98.4074074074074, 98.24074074074073, 98.35185185185186, 98.31481481481481, 98.48148148148148, 98.44444444444444, 98.72222222222223, 98.77777777777777, 98.79629629629629, 98.85185185185185, 98.77777777777777, 98.88888888888889, 98.92592592592592, 98.85185185185185, 98.92592592592592, 98.87037037037038, 98.87037037037038, 98.92592592592592, 98.9074074074074, 98.9074074074074, 98.9074074074074, 98.88888888888889, 98.88888888888889, 98.83333333333333, 98.96296296296296, 98.88888888888889, 98.87037037037038, 98.87037037037038, 98.85185185185185, 98.77777777777777, 98.92592592592592, 98.94444444444444, 98.96296296296296, 98.9074074074074, 98.83333333333333, 98.79629629629629, 98.87037037037038, 98.85185185185185, 98.79629629629629, 98.83333333333333, 98.83333333333333, 98.72222222222223, 98.68518518518519, 98.79629629629629, 98.83333333333333, 98.74074074074073, 98.85185185185185, 98.94444444444444, 98.98148148148148, 98.9074074074074, 98.92592592592592, 98.85185185185185, 98.98148148148148, 98.92592592592592, 98.9074074074074, 98.81481481481481, 98.79629629629629, 98.83333333333333, 98.83333333333333, 98.83333333333333, 98.87037037037038, 98.79629629629629, 98.85185185185185, 98.81481481481481, 98.75925925925925, 98.83333333333333, 98.87037037037038, 98.87037037037038, 98.83333333333333]"
test_acc,98.85185185185185
