,0
device,cuda
epochs,100
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,RESNET18
loss_list,"[0.6380529403686523, 0.23753903806209564, 0.17530818283557892, 0.1405106782913208, 0.12133151292800903, 0.09864729642868042, 0.09305977076292038, 0.08920684456825256, 0.07621155679225922, 0.06837305426597595, 0.07059650868177414, 0.0653044730424881, 0.05870258808135986, 0.058412883430719376, 0.057295285165309906, 0.05260729417204857, 0.04842647537589073, 0.04927252605557442, 0.04704665765166283, 0.047743383795022964, 0.03943249583244324, 0.04217974469065666, 0.045189857482910156, 0.04275881126523018, 0.0391247533261776, 0.03898312523961067, 0.03929692134261131, 0.03386398404836655, 0.0393793024122715, 0.03932948037981987, 0.03351518511772156, 0.03337222710251808, 0.03525226563215256, 0.03580955043435097, 0.029709121212363243, 0.031108731403946877, 0.029336940497159958, 0.02800205908715725, 0.029158232733607292, 0.03196224942803383, 0.03192772716283798, 0.028856899589300156, 0.02708425745368004, 0.026186196133494377, 0.033378541469573975, 0.026756402105093002, 0.026747381314635277, 0.026427268981933594, 0.023887204006314278, 0.02600865811109543, 0.02152913063764572, 0.017870109528303146, 0.026056254282593727, 0.02392592467367649, 0.02466331049799919, 0.026658331975340843, 0.029999228194355965, 0.02356138452887535, 0.020095856860280037, 0.016109952703118324, 0.015331492759287357, 0.01636514440178871, 0.011695485562086105, 0.013929055072367191, 0.01513061672449112, 0.010942270047962666, 0.014541410841047764, 0.01313379779458046, 0.013533527962863445, 0.012377159669995308, 0.011243079788982868, 0.00991856586188078, 0.01009541004896164, 0.011840203776955605, 0.011724621057510376, 0.01259341835975647, 0.012106294743716717, 0.01157705020159483, 0.010353708639740944, 0.008979924023151398, 0.011263186112046242, 0.00941408984363079, 0.012366470880806446, 0.010050433687865734, 0.011526460759341717, 0.010173146612942219, 0.010076311416924, 0.009406974539160728, 0.009547623805701733, 0.008520890027284622, 0.009642958641052246, 0.01031926553696394, 0.009321890771389008, 0.010618594475090504, 0.010699075646698475, 0.0093962661921978, 0.009103333577513695, 0.00876833125948906, 0.010575877502560616, 0.008860189467668533]"
train_acc_list,"[91.38095238095238, 93.87301587301587, 95.81481481481482, 95.67195767195767, 96.7989417989418, 97.60846560846561, 97.35978835978835, 97.68783068783068, 98.09523809523809, 97.93650793650794, 98.13756613756614, 98.33333333333333, 98.23809523809524, 98.5132275132275, 98.56084656084656, 98.60317460317461, 98.6984126984127, 98.70370370370371, 98.45502645502646, 98.82010582010582, 98.86772486772487, 98.84126984126983, 98.7989417989418, 99.0, 99.02116402116403, 98.83597883597884, 98.91005291005291, 98.91005291005291, 98.93650793650794, 98.80952380952381, 99.15343915343915, 99.1005291005291, 98.66137566137566, 99.03703703703704, 98.95767195767195, 99.17460317460318, 99.19576719576719, 99.23280423280423, 99.15343915343915, 98.98941798941799, 99.07936507936508, 99.37566137566137, 99.33862433862434, 99.45502645502646, 99.34391534391534, 99.19047619047619, 99.43386243386243, 99.44444444444444, 99.2010582010582, 99.17460317460318, 99.25925925925925, 99.15873015873015, 99.38095238095238, 99.5132275132275, 99.28571428571429, 99.07936507936508, 99.22222222222223, 99.29629629629629, 99.56613756613757, 99.52910052910053, 99.64021164021165, 99.67195767195767, 99.65079365079364, 99.66666666666667, 99.73544973544973, 99.74603174603175, 99.70899470899471, 99.60846560846561, 99.74603174603175, 99.73015873015873, 99.74074074074075, 99.70370370370371, 99.6137566137566, 99.76719576719577, 99.68253968253968, 99.66137566137566, 99.67195767195767, 99.64021164021165, 99.72486772486772, 99.77248677248677, 99.80423280423281, 99.71957671957672, 99.7989417989418, 99.75661375661376, 99.77248677248677, 99.77248677248677, 99.80423280423281, 99.74074074074075, 99.75661375661376, 99.79365079365078, 99.7989417989418, 99.76190476190476, 99.7989417989418, 99.7989417989418, 99.79365079365078, 99.74074074074075, 99.73015873015873, 99.80952380952381, 99.77777777777777, 99.6984126984127]"
val_acc_list,"[93.7962962962963, 95.16666666666667, 95.68518518518519, 95.37037037037037, 96.11111111111111, 95.87037037037037, 95.83333333333334, 95.75925925925925, 95.87037037037037, 96.11111111111111, 95.72222222222221, 95.7962962962963, 96.07407407407408, 95.81481481481482, 96.01851851851852, 95.83333333333334, 96.38888888888889, 96.27777777777777, 96.01851851851852, 96.0, 96.0925925925926, 95.92592592592592, 96.25925925925925, 96.29629629629629, 96.29629629629629, 95.92592592592592, 95.96296296296296, 95.75925925925925, 95.62962962962963, 95.7962962962963, 95.96296296296296, 95.96296296296296, 95.75925925925925, 96.07407407407408, 95.66666666666667, 96.12962962962963, 95.88888888888889, 96.11111111111111, 95.77777777777777, 95.46296296296296, 95.55555555555556, 95.55555555555556, 95.7962962962963, 95.94444444444444, 95.68518518518519, 95.7962962962963, 95.88888888888889, 96.18518518518519, 95.64814814814815, 95.68518518518519, 96.25925925925925, 95.74074074074073, 95.51851851851852, 95.92592592592592, 95.7037037037037, 95.46296296296296, 95.37037037037037, 95.74074074074073, 95.94444444444444, 96.0, 96.0, 96.03703703703704, 96.01851851851852, 96.01851851851852, 96.0925925925926, 96.01851851851852, 96.05555555555556, 96.07407407407408, 96.07407407407408, 96.03703703703704, 96.14814814814815, 96.01851851851852, 96.0925925925926, 96.14814814814815, 96.07407407407408, 96.05555555555556, 95.94444444444444, 96.12962962962963, 96.18518518518519, 96.16666666666667, 96.24074074074073, 96.11111111111111, 96.2037037037037, 96.2037037037037, 96.22222222222221, 96.12962962962963, 96.0925925925926, 96.2037037037037, 96.07407407407408, 96.16666666666667, 96.0, 96.03703703703704, 96.18518518518519, 96.07407407407408, 96.27777777777777, 96.16666666666667, 96.18518518518519, 96.22222222222221, 96.18518518518519, 96.2037037037037]"
test_acc,96.92592592592592
