,0
device,cuda
epochs,100
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,VGG11
loss_list,"[0.3884247839450836, 0.10100381821393967, 0.06124673783779144, 0.03125965595245361, 0.02150299958884716, 0.029881220310926437, 0.01668388582766056, 0.02220468409359455, 0.010036783292889595, 0.011858188547194004, 0.004704744089394808, 0.008801417425274849, 0.004143146798014641, 0.004923325963318348, 0.011907033622264862, 0.00872902199625969, 0.012262553907930851, 0.006979699246585369, 0.018632633611559868, 0.021838661283254623, 0.004107363987714052, 0.014261236414313316, 0.008878321386873722, 0.01239655539393425, 0.008569292724132538, 0.019000409170985222, 0.004780914634466171, 0.0031409503426402807, 0.0023979763500392437, 0.010167676024138927, 0.00312047079205513, 0.0036338455975055695, 0.001532455557025969, 0.0015261054504662752, 0.003315675538033247, 0.004465284291654825, 0.0002795088803395629, 3.9034232031553984e-05, 1.745974259392824e-05, 1.0992623174388427e-05, 1.0310326615581289e-05, 9.996134394896217e-06, 8.509938197676092e-06, 7.613298748765374e-06, 6.7605187723529525e-06, 5.851852620253339e-06, 6.626899903494632e-06, 5.631778549286537e-06, 5.710181085305521e-06, 6.268594916036818e-06, 6.069157734600594e-06, 5.394733761932002e-06, 5.7803254094324075e-06, 4.932156571157975e-06, 4.7921689656504896e-06, 5.814317773911171e-06, 4.0713080124987755e-06, 5.209945811657235e-06, 4.2292458601878025e-06, 4.3956788431387395e-06, 4.1750254240469076e-06, 5.4002684919396415e-06, 4.190812433080282e-06, 4.0576496758149005e-06, 5.109236553835217e-06, 4.599486601364333e-06, 3.841041234409204e-06, 4.551948677544715e-06, 3.964336883655051e-06, 3.992018264398212e-06, 3.999534328613663e-06, 3.6581709537131246e-06, 4.443494617589749e-06, 4.338862254371634e-06, 6.0163506532262545e-06, 3.837959411612246e-06, 4.186044861853588e-06, 4.534229447017424e-06, 4.084933152626036e-06, 3.4827135095838457e-06, 3.1477406992053147e-06, 3.660050651888014e-06, 3.834976723737782e-06, 5.263611910777399e-06, 4.076255208929069e-06, 3.889351773977978e-06, 3.6970072869735304e-06, 4.156842805969063e-06, 3.558381195034599e-06, 3.0595556381740607e-06, 3.8078533179941587e-06, 4.228114448778797e-06, 3.2007960726332385e-06, 3.347508936712984e-06, 3.7473369047802407e-06, 4.442772024049191e-06, 3.255807314417325e-06, 3.2576460853306344e-06, 3.3982930744969053e-06, 3.926722911273828e-06]"
train_acc_list,"[96.32804232804233, 97.93650793650794, 98.56084656084656, 98.8994708994709, 99.43915343915344, 98.31746031746032, 99.72486772486772, 99.56084656084656, 99.58201058201058, 99.80423280423281, 99.91534391534391, 99.94708994708995, 99.93121693121692, 99.90476190476191, 99.94179894179894, 99.5978835978836, 99.86772486772487, 99.34391534391534, 99.7989417989418, 99.84126984126985, 99.88359788359789, 99.92592592592592, 99.48148148148148, 99.75661375661376, 99.56613756613757, 99.70899470899471, 99.91005291005291, 99.99470899470899, 99.87301587301587, 99.93121693121692, 99.95767195767196, 99.92063492063492, 99.99470899470899, 99.94179894179894, 99.94708994708995, 99.99470899470899, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
val_acc_list,"[94.53703703703704, 95.74074074074073, 95.87037037037037, 95.88888888888889, 95.96296296296296, 94.9074074074074, 96.12962962962963, 96.31481481481482, 96.22222222222221, 96.44444444444444, 96.77777777777777, 96.83333333333334, 96.66666666666667, 96.4074074074074, 97.0, 96.31481481481482, 96.4074074074074, 95.94444444444444, 96.29629629629629, 96.53703703703704, 97.0925925925926, 96.72222222222221, 96.2037037037037, 96.85185185185186, 96.31481481481482, 96.55555555555554, 96.75925925925925, 97.48148148148148, 96.64814814814815, 97.05555555555556, 96.68518518518519, 96.79629629629629, 97.37037037037038, 96.81481481481482, 97.11111111111111, 97.24074074074073, 97.44444444444444, 97.5, 97.5925925925926, 97.5, 97.4074074074074, 97.4074074074074, 97.4074074074074, 97.5, 97.46296296296296, 97.5925925925926, 97.44444444444444, 97.46296296296296, 97.48148148148148, 97.5, 97.37037037037038, 97.37037037037038, 97.61111111111111, 97.5, 97.5, 97.51851851851852, 97.62962962962963, 97.53703703703704, 97.46296296296296, 97.57407407407406, 97.48148148148148, 97.48148148148148, 97.48148148148148, 97.5925925925926, 97.44444444444444, 97.61111111111111, 97.55555555555556, 97.55555555555556, 97.44444444444444, 97.68518518518519, 97.51851851851852, 97.5925925925926, 97.42592592592592, 97.48148148148148, 97.48148148148148, 97.55555555555556, 97.68518518518519, 97.51851851851852, 97.61111111111111, 97.53703703703704, 97.74074074074073, 97.5, 97.57407407407406, 97.44444444444444, 97.51851851851852, 97.5925925925926, 97.64814814814815, 97.68518518518519, 97.61111111111111, 97.61111111111111, 97.66666666666667, 97.61111111111111, 97.62962962962963, 97.61111111111111, 97.57407407407406, 97.55555555555556, 97.5925925925926, 97.51851851851852, 97.62962962962963, 97.5]"
test_acc,98.14814814814815
