,0
device,cuda
epochs,100
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,VGG11
loss_list,"[0.5765959620475769, 0.2897518277168274, 0.2501719295978546, 0.2238985300064087, 0.20225413143634796, 0.195279061794281, 0.17143060266971588, 0.16994865238666534, 0.17289455235004425, 0.1663329005241394, 0.15270327031612396, 0.14798323810100555, 0.14462974667549133, 0.1371697038412094, 0.13661466538906097, 0.13739480078220367, 0.12666431069374084, 0.1320301741361618, 0.12442872673273087, 0.13020828366279602, 0.11847372353076935, 0.11363580077886581, 0.11122588068246841, 0.11300959438085556, 0.1189524307847023, 0.129811629652977, 0.11186294257640839, 0.11161921918392181, 0.11186698079109192, 0.08971095085144043, 0.0874699056148529, 0.08207988739013672, 0.08227118849754333, 0.07616022974252701, 0.07650228589773178, 0.07843207567930222, 0.0769711434841156, 0.07125242054462433, 0.07708972692489624, 0.07578730583190918, 0.07542568445205688, 0.07271017134189606, 0.07053600996732712, 0.07949397712945938, 0.06918526440858841, 0.07368962466716766, 0.07001013308763504, 0.06909859925508499, 0.0735907182097435, 0.07397141307592392, 0.06936053186655045, 0.06709755957126617, 0.07055296003818512, 0.06787443161010742, 0.06751509010791779, 0.0687958151102066, 0.07415097951889038, 0.07317638397216797, 0.06620809435844421, 0.06788413971662521, 0.06805209070444107, 0.06661920249462128, 0.06829097121953964, 0.06774286180734634, 0.06641563028097153, 0.06544435769319534, 0.0675879716873169, 0.06789916008710861, 0.0708761140704155, 0.06836670637130737, 0.06690607219934464, 0.06425023078918457, 0.06874128431081772, 0.06653647124767303, 0.07204343378543854, 0.06350486725568771, 0.06369367241859436, 0.06484086811542511, 0.06484411656856537, 0.0693959891796112, 0.06833342462778091, 0.06689698994159698, 0.06690269708633423, 0.06400999426841736, 0.06795573979616165, 0.06725014001131058, 0.06664787232875824, 0.06684862077236176, 0.07034506648778915, 0.06683331727981567, 0.06721018254756927, 0.06594119966030121, 0.06369142234325409, 0.06512917578220367, 0.06301566958427429, 0.06874580681324005, 0.06602053344249725, 0.06198328360915184, 0.06655614823102951, 0.06717628240585327]"
train_acc_list,"[90.17989417989418, 91.88359788359787, 93.08994708994709, 93.69841269841271, 94.16931216931216, 93.65608465608466, 94.41269841269842, 93.34391534391534, 94.87830687830687, 95.24867724867725, 95.2962962962963, 95.82539682539682, 95.65608465608466, 95.06878306878306, 96.13227513227514, 95.67195767195767, 95.66666666666667, 96.04232804232804, 95.994708994709, 96.34920634920636, 96.24338624338624, 96.44973544973546, 96.05820105820105, 96.53968253968253, 96.12169312169311, 96.64021164021163, 96.3015873015873, 96.26455026455027, 96.85185185185186, 97.22222222222221, 97.21164021164022, 97.57142857142857, 97.35449735449735, 97.4867724867725, 97.32275132275132, 97.6984126984127, 97.31746031746032, 97.72486772486772, 97.5079365079365, 97.46560846560847, 97.70370370370371, 97.68253968253968, 97.53968253968253, 97.73015873015873, 97.80423280423281, 97.52910052910053, 97.62433862433862, 97.74603174603175, 97.71957671957672, 97.70899470899471, 97.66666666666667, 97.71428571428571, 97.74074074074073, 97.77777777777777, 97.66666666666667, 97.5873015873016, 97.7989417989418, 97.75132275132276, 97.72486772486772, 97.77248677248677, 97.85714285714285, 97.82539682539682, 97.75661375661375, 97.81481481481481, 98.08465608465609, 97.97883597883597, 97.89417989417989, 97.64021164021163, 97.8994708994709, 97.82539682539682, 97.73544973544973, 97.82539682539682, 97.77248677248677, 97.73544973544973, 97.8994708994709, 97.73015873015873, 98.07407407407408, 97.66137566137566, 97.99470899470899, 97.70899470899471, 97.86772486772487, 97.73544973544973, 98.03703703703704, 97.91534391534391, 97.94179894179894, 97.97354497354497, 97.78835978835978, 97.86772486772487, 97.5925925925926, 97.94179894179894, 97.95767195767195, 97.88888888888889, 97.8994708994709, 97.7989417989418, 97.94708994708995, 97.83068783068784, 97.78835978835978, 97.78835978835978, 97.94179894179894, 97.79365079365078]"
val_acc_list,"[94.25925925925925, 95.42592592592592, 96.37037037037037, 97.0925925925926, 96.57407407407408, 96.44444444444444, 96.75925925925925, 95.48148148148148, 97.4074074074074, 97.46296296296296, 97.44444444444444, 97.5925925925926, 97.48148148148148, 97.18518518518519, 97.92592592592592, 97.62962962962963, 97.37037037037038, 97.77777777777777, 97.74074074074073, 98.03703703703704, 97.87037037037038, 97.77777777777777, 97.18518518518519, 97.72222222222223, 97.64814814814815, 97.96296296296296, 97.77777777777777, 97.61111111111111, 97.85185185185186, 98.38888888888889, 98.33333333333333, 98.35185185185186, 98.35185185185186, 98.4074074074074, 98.42592592592592, 98.38888888888889, 98.48148148148148, 98.48148148148148, 98.5, 98.4074074074074, 98.44444444444444, 98.42592592592592, 98.5, 98.4074074074074, 98.44444444444444, 98.38888888888889, 98.53703703703704, 98.44444444444444, 98.46296296296296, 98.48148148148148, 98.37037037037038, 98.37037037037038, 98.35185185185186, 98.48148148148148, 98.46296296296296, 98.33333333333333, 98.46296296296296, 98.42592592592592, 98.48148148148148, 98.53703703703704, 98.55555555555556, 98.57407407407408, 98.59259259259258, 98.61111111111111, 98.55555555555556, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.57407407407408, 98.59259259259258, 98.59259259259258, 98.59259259259258, 98.59259259259258, 98.62962962962963, 98.61111111111111, 98.59259259259258, 98.61111111111111, 98.61111111111111, 98.62962962962963, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111, 98.61111111111111]"
test_acc,98.96296296296296
