,0
device,cuda
epochs,100
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,VGG19
loss_list,"[0.5541706681251526, 0.251662015914917, 0.20291252434253693, 0.16769589483737946, 0.1539507955312729, 0.13513772189617157, 0.12226250767707825, 0.10993920266628265, 0.10493902862071991, 0.09342455118894577, 0.08495891094207764, 0.0825042575597763, 0.08125648647546768, 0.07490377128124237, 0.06911525130271912, 0.07603111863136292, 0.0667700543999672, 0.058635830879211426, 0.06405448913574219, 0.061545345932245255, 0.061207909137010574, 0.06588176637887955, 0.052544839680194855, 0.05283575877547264, 0.05359693616628647, 0.04809306189417839, 0.04894136264920235, 0.049777913838624954, 0.04845770075917244, 0.0537591315805912, 0.04429679736495018, 0.04101185128092766, 0.04546778276562691, 0.0376882441341877, 0.047761525958776474, 0.04283725842833519, 0.040078382939100266, 0.04205922409892082, 0.038653261959552765, 0.03859897702932358, 0.025893518701195717, 0.025916388258337975, 0.017044678330421448, 0.018584316596388817, 0.017670484259724617, 0.018918534740805626, 0.01784832589328289, 0.014972507953643799, 0.01679515838623047, 0.0182720348238945, 0.016963612288236618, 0.01711271144449711, 0.013633659109473228, 0.015279775485396385, 0.017424747347831726, 0.015385384671390057, 0.014433398842811584, 0.014385703951120377, 0.011761851608753204, 0.015879927203059196, 0.015380187891423702, 0.014457483775913715, 0.01507787499576807, 0.012927570380270481, 0.013273787684738636, 0.013285605236887932, 0.013910016976296902, 0.012550214305520058, 0.013659181073307991, 0.013048126362264156, 0.013867000117897987, 0.01173338107764721, 0.016334062442183495, 0.012065081857144833, 0.013139612972736359, 0.01201928686350584, 0.015588942915201187, 0.013108370825648308, 0.012459841556847095, 0.012777095660567284, 0.011868174187839031, 0.011339720338582993, 0.012468855828046799, 0.01301056332886219, 0.01280550379306078, 0.011253323405981064, 0.011545859277248383, 0.014697599224746227, 0.013114838860929012, 0.012113288976252079, 0.014018623158335686, 0.01454184576869011, 0.011232015676796436, 0.011775548569858074, 0.012507705017924309, 0.015025941655039787, 0.012121516279876232, 0.01200073305517435, 0.013064355589449406, 0.013287832960486412]"
train_acc_list,"[91.53439153439153, 92.39153439153439, 94.8994708994709, 95.67195767195767, 95.82010582010582, 96.01058201058201, 97.07936507936508, 97.11111111111111, 97.26455026455027, 96.94708994708995, 97.28042328042328, 97.22222222222221, 97.2063492063492, 97.95238095238096, 98.00529100529101, 98.16402116402116, 98.35449735449735, 98.31746031746032, 97.80423280423281, 98.29100529100529, 98.09523809523809, 98.42328042328042, 98.65079365079366, 98.56084656084656, 98.69312169312168, 98.70899470899471, 98.53968253968254, 98.77777777777777, 98.76190476190476, 98.51851851851852, 98.28571428571429, 98.71957671957672, 98.60846560846561, 98.55555555555556, 98.51851851851852, 98.3068783068783, 98.76719576719577, 98.77248677248677, 99.03174603174602, 99.12698412698413, 99.26984126984128, 99.32804232804233, 99.47619047619047, 99.43915343915344, 99.32804232804233, 99.35978835978835, 99.4973544973545, 99.42328042328043, 99.45502645502646, 99.56613756613757, 99.57142857142857, 99.51851851851852, 99.45502645502646, 99.4973544973545, 99.52910052910053, 99.51851851851852, 99.57142857142857, 99.55555555555556, 99.56084656084656, 99.56084656084656, 99.60846560846561, 99.62433862433862, 99.55026455026456, 99.57671957671957, 99.5026455026455, 99.62433862433862, 99.54497354497354, 99.59259259259258, 99.60317460317461, 99.66137566137566, 99.59259259259258, 99.57671957671957, 99.5978835978836, 99.5978835978836, 99.65079365079364, 99.62433862433862, 99.6137566137566, 99.53968253968254, 99.60846560846561, 99.61904761904762, 99.53439153439153, 99.63492063492063, 99.53968253968254, 99.66666666666667, 99.62433862433862, 99.57142857142857, 99.57142857142857, 99.5079365079365, 99.61904761904762, 99.65608465608466, 99.55026455026456, 99.5978835978836, 99.64021164021165, 99.57671957671957, 99.58201058201058, 99.66137566137566, 99.56084656084656, 99.66137566137566, 99.66666666666667, 99.5873015873016]"
val_acc_list,"[94.38888888888889, 94.55555555555556, 95.96296296296296, 96.33333333333334, 96.38888888888889, 96.31481481481482, 96.66666666666667, 96.03703703703704, 96.4074074074074, 96.11111111111111, 96.0, 96.14814814814815, 95.81481481481482, 96.66666666666667, 96.62962962962963, 96.29629629629629, 96.68518518518519, 96.48148148148148, 96.5, 96.70370370370371, 96.31481481481482, 96.2037037037037, 96.57407407407408, 96.42592592592592, 96.77777777777777, 96.62962962962963, 96.07407407407408, 96.57407407407408, 96.87037037037037, 96.27777777777777, 96.2037037037037, 96.72222222222221, 96.62962962962963, 96.57407407407408, 96.51851851851852, 95.96296296296296, 96.38888888888889, 96.0925925925926, 96.79629629629629, 96.5, 97.01851851851852, 97.16666666666667, 97.20370370370371, 97.27777777777777, 97.05555555555556, 97.14814814814815, 97.0925925925926, 97.05555555555556, 97.18518518518519, 97.29629629629629, 97.0, 97.24074074074073, 97.18518518518519, 97.12962962962963, 97.20370370370371, 97.25925925925925, 97.14814814814815, 97.12962962962963, 97.33333333333334, 97.33333333333334, 97.12962962962963, 97.18518518518519, 97.29629629629629, 97.29629629629629, 97.16666666666667, 97.14814814814815, 97.16666666666667, 97.14814814814815, 97.22222222222221, 97.24074074074073, 97.22222222222221, 97.22222222222221, 97.22222222222221, 97.24074074074073, 97.22222222222221, 97.22222222222221, 97.22222222222221, 97.20370370370371, 97.20370370370371, 97.22222222222221, 97.22222222222221, 97.22222222222221, 97.22222222222221, 97.22222222222221, 97.22222222222221, 97.20370370370371, 97.20370370370371, 97.20370370370371, 97.20370370370371, 97.22222222222221, 97.20370370370371, 97.22222222222221, 97.22222222222221, 97.22222222222221, 97.20370370370371, 97.20370370370371, 97.20370370370371, 97.22222222222221, 97.22222222222221, 97.22222222222221]"
test_acc,98.07407407407408
