,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,EFFICIENTNET-B1
loss_list,"[1.9378266334533691, 1.3331481218338013, 0.8202680349349976, 0.5268271565437317, 0.3864823877811432, 0.3118683695793152, 0.2628846764564514, 0.2261730283498764, 0.19890965521335602, 0.17358188331127167, 0.16842946410179138, 0.14670026302337646, 0.14507386088371277, 0.13310541212558746, 0.12248946726322174, 0.11572212725877762, 0.11215189844369888, 0.1004907563328743, 0.10381411015987396, 0.09362208098173141, 0.09068465232849121, 0.08382025361061096, 0.08436460793018341, 0.08196534961462021, 0.07525855302810669, 0.07335484772920609, 0.06976344436407089, 0.0680798813700676, 0.06470538675785065, 0.06258097290992737, 0.06137142702937126, 0.06101539358496666, 0.05876566842198372, 0.055352650582790375, 0.051371410489082336, 0.0492054745554924, 0.05161512270569801, 0.051085878163576126, 0.045054636895656586, 0.047442786395549774, 0.04664863273501396, 0.04191555827856064, 0.044049978256225586, 0.037298254668712616, 0.03941169008612633, 0.039876487106084824, 0.0425388403236866, 0.04003357142210007, 0.03544366732239723, 0.03556796535849571, 0.03519170731306076, 0.034635767340660095, 0.030776027590036392, 0.030418390408158302, 0.02963368594646454, 0.029438499361276627, 0.028497733175754547, 0.02766069397330284, 0.026504365727305412, 0.026643024757504463, 0.02670426480472088, 0.02711094729602337, 0.02722320705652237, 0.024099307134747505, 0.025687677785754204, 0.025960829108953476, 0.02368258684873581, 0.02365945465862751, 0.021548038348555565, 0.025902992114424706, 0.02257952280342579, 0.02346506342291832, 0.02358771115541458, 0.018453970551490784, 0.019098583608865738, 0.020631518214941025, 0.022217851132154465, 0.019002733752131462, 0.020367523655295372, 0.01750415749847889, 0.02064289152622223, 0.01829712651669979, 0.018540188670158386, 0.01532984059303999, 0.015400510281324387, 0.016707127913832664, 0.01941906102001667, 0.014991129748523235, 0.017463570460677147, 0.014871510677039623, 0.016635457053780556, 0.013856633566319942, 0.014788169413805008, 0.016934478655457497, 0.016534460708498955, 0.014686877839267254, 0.013447591103613377, 0.012869566679000854, 0.014727401547133923, 0.013527901843190193, 0.014426171779632568, 0.012722713872790337, 0.011186224408447742, 0.01491533126682043, 0.0141009371727705, 0.013070874847471714, 0.013760543428361416, 0.011936391703784466, 0.010640154592692852, 0.011742022819817066, 0.00991734303534031, 0.01174068171530962, 0.011321463622152805, 0.011912684887647629, 0.009743272326886654, 0.011258898302912712, 0.011795812286436558, 0.010174059309065342, 0.008701721206307411, 0.00966333132237196, 0.011366830207407475, 0.011575432494282722, 0.010706955567002296, 0.010334867984056473, 0.010096631944179535, 0.008417598903179169, 0.008246203884482384, 0.008189726620912552, 0.008016811683773994, 0.009921972639858723, 0.008711104281246662, 0.007157002575695515, 0.006852233316749334, 0.007975424639880657, 0.007164499722421169, 0.007967855781316757, 0.008467717096209526, 0.007814205251634121, 0.007147707510739565, 0.007346757221966982, 0.0070769647136330605, 0.00691786827519536, 0.008628948591649532, 0.008108627051115036, 0.008331362158060074, 0.007830701768398285, 0.00726303132250905, 0.007277035620063543, 0.007207899354398251, 0.0064031826332211494, 0.00760114099830389, 0.007230035495012999, 0.0072968751192092896, 0.007713908329606056, 0.00635647913441062, 0.0064659458585083485, 0.008136874996125698, 0.007728877943009138, 0.00810751412063837, 0.006921692751348019, 0.006760067772120237, 0.006067311391234398, 0.00834278017282486, 0.0063063171692192554, 0.00823722593486309, 0.0071978382766246796, 0.006018911022692919, 0.006406259257346392, 0.007176164072006941, 0.007866539061069489, 0.006621771026402712, 0.005769063252955675, 0.007711660582572222, 0.007965791039168835, 0.00622484041377902, 0.007746642455458641, 0.007863969542086124, 0.006029809359461069, 0.007500044070184231, 0.0073051899671554565, 0.007618709001690149, 0.007191904354840517, 0.006995835807174444, 0.0065804594196379185, 0.0068306587636470795, 0.008213324472308159, 0.007416401989758015, 0.007577761076390743, 0.0070548467338085175, 0.007182687520980835, 0.007645925506949425, 0.005883274134248495, 0.008277562446892262, 0.007070709485560656, 0.0074732545763254166, 0.008332839235663414, 0.00516532501205802, 0.0076407985761761665, 0.007022082805633545, 0.008354642428457737, 0.007613138761371374, 0.008837160654366016, 0.009431196376681328, 0.005961189046502113, 0.007535617798566818, 0.008031127043068409, 0.00814728531986475, 0.006722090300172567, 0.007279302924871445, 0.0063478173688054085, 0.008409293368458748, 0.006693278439342976, 0.005537636578083038, 0.007990052923560143, 0.007454137317836285, 0.007280564866960049, 0.007377661298960447, 0.008464373648166656, 0.008516805246472359, 0.007528259418904781, 0.006660718936473131, 0.005939063150435686, 0.007494336925446987, 0.0075192577205598354, 0.008497771807014942, 0.006982594728469849, 0.00880538672208786, 0.006413701921701431, 0.007884275168180466, 0.006884515285491943, 0.005704313982278109, 0.007769700139760971, 0.00699155917391181, 0.006719300057739019, 0.008785918354988098, 0.007543093524873257, 0.0073233796283602715, 0.007773094344884157, 0.007735773921012878, 0.006882278714329004, 0.007457981817424297, 0.006787699181586504, 0.006457893177866936, 0.007251005619764328, 0.007319530472159386, 0.007804952096194029, 0.008523492142558098, 0.006359871942549944, 0.0070450445637106895, 0.008121715858578682, 0.007068246603012085, 0.007920648902654648, 0.009230317547917366, 0.0077101862989366055, 0.006760199088603258, 0.006685429718345404, 0.006991931702941656, 0.007891686633229256, 0.009803048335015774, 0.007749700918793678, 0.007976819761097431, 0.008244596421718597, 0.0063975173979997635, 0.006797794718295336, 0.008774234913289547, 0.008305257186293602, 0.006341719068586826, 0.00812542624771595, 0.008004775270819664, 0.008052868768572807, 0.007263257168233395, 0.007985113188624382, 0.007725934498012066, 0.008061598986387253, 0.007711757905781269, 0.007304111495614052, 0.0064095621928572655, 0.006572232116013765, 0.007461276371032, 0.007048098836094141, 0.007960098795592785, 0.0067651052959263325, 0.008267364464700222, 0.0071118795312941074, 0.006902224849909544, 0.007218341343104839, 0.005250822752714157, 0.008010263554751873, 0.006609921343624592, 0.0072931586764752865, 0.006533478852361441, 0.007306870073080063, 0.007047031540423632, 0.0079193701967597, 0.006570529658347368, 0.007031034678220749, 0.007269213907420635, 0.006018075160682201, 0.006266447715461254, 0.008106861263513565]"
train_acc_list,"[9.059377750168245, 9.059377750168245, 13.029973598384842, 10.871253300201895, 10.871253300201895, 10.871253300201895, 10.871253300201895, 10.871253300201895, 10.871253300201895, 10.871253300201895, 10.871253300201895, 10.871253300201895, 10.871253300201895, 10.871253300201895, 10.866076512916084, 10.871253300201895, 10.876430087487705, 10.871253300201895, 11.119739089920795, 11.870373246363307, 13.656364859967903, 14.256872185121914, 13.677072009111146, 17.078221255888597, 19.842625666511363, 19.92545426308433, 22.684681886421288, 24.481027074597506, 29.978775172128174, 36.69824506911011, 45.68514779727701, 50.30801884350572, 53.662577004710876, 57.72635502407206, 62.58735828544805, 67.1791686079619, 70.02640161515762, 74.69068695967283, 77.17036806957603, 81.31179789822436, 83.25826991768909, 87.03214784904489, 88.7301340787907, 91.05451157011957, 92.43153698814515, 94.12434643060517, 94.95780918362064, 96.11223274835638, 97.17347414194751, 96.5729668167935, 98.52979241082984, 97.73774395610084, 98.70062639126158, 98.89734430812238, 98.24506911011026, 98.77310141326294, 98.99570326655278, 99.17689082155614, 99.46161412227572, 99.0578247139825, 99.3063105037014, 99.22865869441425, 99.42019982398924, 98.85593000983589, 98.5608531345447, 99.42019982398924, 99.33219444013045, 99.36325516384532, 98.51426204897241, 99.09406222498318, 99.40984624941761, 99.50820520784801, 99.3580783765595, 99.3529015892737, 99.3063105037014, 99.38913910027438, 98.8093389242636, 99.52373556970544, 99.56514986799192, 99.63762488999328, 99.4512605477041, 99.34254801470207, 99.51338199513383, 99.4512605477041, 99.30113371641559, 99.62209452813585, 99.44090697313247, 99.61691774085003, 99.2131283325568, 99.56514986799192, 98.907697882694, 99.66350882642232, 99.58068022984936, 99.64280167727908, 99.4046694621318, 99.63762488999328, 99.69456955013717, 99.62727131542165, 99.6013873789926, 99.44090697313247, 99.46679090956152, 99.70492312470881, 99.64797846456489, 99.37878552570275, 99.7463374229953, 99.4978516332764, 99.37878552570275, 99.61174095356422, 99.54444271884869, 99.7463374229953, 99.64797846456489, 99.83434280685407, 99.76704457213853, 99.83434280685407, 99.2545426308433, 99.04747113941087, 99.61174095356422, 99.87058031785475, 99.76704457213853, 98.83004607340683, 99.0578247139825, 99.74116063570948, 98.70580317854738, 99.6013873789926, 99.8032820831392, 99.82916601956826, 99.86022674328312, 99.83951959413989, 99.88611067971217, 99.89646425428379, 99.84469638142569, 99.8498731687115, 99.91717140342703, 99.89646425428379, 99.88093389242636, 99.89128746699798, 99.92234819071284, 99.9016410415696, 99.87058031785475, 99.90681782885541, 99.91199461614121, 99.8498731687115, 99.90681782885541, 99.93787855257027, 99.87575710514055, 99.94305533985609, 99.91199461614121, 99.87058031785475, 99.90681782885541, 99.9016410415696, 99.88611067971217, 99.93270176528446, 99.87058031785475, 99.8498731687115, 99.88611067971217, 99.92752497799864, 99.88611067971217, 99.88093389242636, 99.88611067971217, 99.89646425428379, 99.85504995599732, 99.89128746699798, 99.89646425428379, 99.88093389242636, 99.86540353056893, 99.86022674328312, 99.89646425428379, 99.88093389242636, 99.89646425428379, 99.92752497799864, 99.88611067971217, 99.91717140342703, 99.89128746699798, 99.9016410415696, 99.89128746699798, 99.89646425428379, 99.90681782885541, 99.86022674328312, 99.92752497799864, 99.9016410415696, 99.91199461614121, 99.89128746699798, 99.89646425428379, 99.93787855257027, 99.93270176528446, 99.90681782885541, 99.93787855257027, 99.91717140342703, 99.90681782885541, 99.94305533985609, 99.87575710514055, 99.86022674328312, 99.86540353056893, 99.89646425428379, 99.88611067971217, 99.90681782885541, 99.90681782885541, 99.87575710514055, 99.92234819071284, 99.87058031785475, 99.91717140342703, 99.91717140342703, 99.91199461614121, 99.87575710514055, 99.86540353056893, 99.9016410415696, 99.92234819071284, 99.87575710514055, 99.88611067971217, 99.90681782885541, 99.90681782885541, 99.9482321271419, 99.92752497799864, 99.91717140342703, 99.92234819071284, 99.86540353056893, 99.92234819071284, 99.87575710514055, 99.89646425428379, 99.90681782885541, 99.86022674328312, 99.89646425428379, 99.89128746699798, 99.89128746699798, 99.88611067971217, 99.91199461614121, 99.93787855257027, 99.85504995599732, 99.91717140342703, 99.91717140342703, 99.88093389242636, 99.87575710514055, 99.87575710514055, 99.88611067971217, 99.87058031785475, 99.9016410415696, 99.89646425428379, 99.9016410415696, 99.93787855257027, 99.88093389242636, 99.90681782885541, 99.8498731687115, 99.89128746699798, 99.91199461614121, 99.89128746699798, 99.93270176528446, 99.9016410415696, 99.87575710514055, 99.94305533985609, 99.91199461614121, 99.91199461614121, 99.89128746699798, 99.89646425428379, 99.83951959413989, 99.9016410415696, 99.9016410415696, 99.85504995599732, 99.90681782885541, 99.87575710514055, 99.87575710514055, 99.91717140342703, 99.86022674328312, 99.89128746699798, 99.88611067971217, 99.9016410415696, 99.86540353056893, 99.90681782885541, 99.91199461614121, 99.93787855257027, 99.89128746699798, 99.89646425428379, 99.9016410415696, 99.88611067971217, 99.88611067971217, 99.89128746699798, 99.87575710514055, 99.91717140342703, 99.92752497799864, 99.92234819071284, 99.89128746699798, 99.88093389242636, 99.91199461614121, 99.92234819071284, 99.88611067971217, 99.88611067971217, 99.92234819071284, 99.9016410415696, 99.89646425428379, 99.92752497799864, 99.9016410415696, 99.94305533985609, 99.87575710514055, 99.86022674328312, 99.87058031785475, 99.89646425428379, 99.91199461614121, 99.92234819071284, 99.90681782885541, 99.87575710514055, 99.91199461614121]"
val_acc_list,"[9.059612248595759, 9.059612248595759, 13.027722413480703, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.889653922812103, 10.907773147309294, 11.179561514767169, 12.321072658090234, 14.223591230295343, 15.202029353143686, 15.038956332668963, 18.33665519115782, 22.123573111070847, 23.265084254393912, 26.79833303134626, 28.37470556260192, 35.42308389200942, 42.63453524189165, 51.76662438847617, 55.42670773690887, 59.21362565682189, 63.12737814821525, 67.96521108896539, 72.20510962130821, 73.45533611161443, 78.13009603188983, 80.55807211451351, 83.45714803406415, 84.38122848342091, 86.9541583620221, 88.58488856676934, 90.46928791447726, 92.33556803768799, 93.15093314006161, 93.98441746693241, 95.03533248776952, 95.70574379416561, 95.68762456966842, 97.30023554991847, 96.81101648849429, 97.35459322341003, 97.8800507338286, 97.30023554991847, 97.66262003986229, 97.8800507338286, 97.80757383583982, 98.09748142779489, 97.80757383583982, 98.00688530530893, 97.80757383583982, 98.15183910128647, 97.60826236637072, 97.2096394274325, 98.0793622032977, 98.02500452980613, 98.06124297880051, 97.49954701938756, 97.8619315093314, 98.13371987678927, 98.22431599927523, 98.24243522377242, 98.18807755028085, 98.06124297880051, 98.02500452980613, 97.48142779489038, 98.40550824424714, 98.16995832578365, 98.36926979525276, 98.11560065229207, 98.22431599927523, 98.00688530530893, 98.09748142779489, 98.11560065229207, 98.296792897264, 98.06124297880051, 98.38738901974996, 97.89816995832578, 98.02500452980613, 97.91628918282298, 98.31491212176118, 98.33303134625838, 98.47798514223591, 97.98876608081174, 98.44174669324153, 98.11560065229207, 98.35115057075558, 98.11560065229207, 97.97064685631454, 98.44174669324153, 98.24243522377242, 98.22431599927523, 98.06124297880051, 98.45986591773872, 97.78945461134263, 98.15183910128647, 98.38738901974996, 98.22431599927523, 98.4961043667331, 98.38738901974996, 98.5142235912303, 98.42362746874433, 98.2786736727668, 98.02500452980613, 97.89816995832578, 98.45986591773872, 98.36926979525276, 98.55046204022467, 97.48142779489038, 97.57202391737634, 98.45986591773872, 97.22775865192969, 98.5142235912303, 98.53234281572749, 98.53234281572749, 98.4961043667331, 98.55046204022467, 98.5142235912303, 98.5142235912303, 98.60481971371625, 98.60481971371625, 98.58670048921906, 98.4961043667331, 98.55046204022467, 98.64105816271064, 98.60481971371625, 98.55046204022467, 98.4961043667331, 98.53234281572749, 98.55046204022467, 98.55046204022467, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.56858126472187, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.60481971371625, 98.58670048921906, 98.60481971371625, 98.58670048921906, 98.60481971371625, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.60481971371625, 98.60481971371625, 98.56858126472187, 98.60481971371625, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.60481971371625, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.56858126472187, 98.58670048921906, 98.60481971371625, 98.60481971371625, 98.58670048921906, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.58670048921906, 98.58670048921906, 98.56858126472187, 98.56858126472187, 98.58670048921906, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.58670048921906, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.58670048921906, 98.58670048921906, 98.56858126472187, 98.58670048921906, 98.58670048921906, 98.60481971371625, 98.60481971371625, 98.60481971371625, 98.60481971371625, 98.60481971371625, 98.62293893821345, 98.62293893821345, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.58670048921906, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.60481971371625, 98.60481971371625, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.58670048921906, 98.56858126472187, 98.56858126472187, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.56858126472187, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.56858126472187, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.60481971371625, 98.58670048921906, 98.60481971371625, 98.58670048921906, 98.58670048921906, 98.60481971371625, 98.60481971371625, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.56858126472187, 98.60481971371625, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.60481971371625, 98.60481971371625, 98.60481971371625, 98.60481971371625, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.56858126472187, 98.58670048921906, 98.58670048921906, 98.58670048921906, 98.56858126472187, 98.56858126472187, 98.58670048921906, 98.58670048921906, 98.58670048921906]"
test_acc,98.62268938021022
