,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,EFFICIENTNET-B1
loss_list,"[1.9223142862319946, 1.2679953575134277, 0.7283724546432495, 0.4277985394001007, 0.291329950094223, 0.21741119027137756, 0.16969773173332214, 0.13290703296661377, 0.10923462361097336, 0.08659462630748749, 0.07265671342611313, 0.06041261553764343, 0.05131705477833748, 0.04385390132665634, 0.035007089376449585, 0.032252680510282516, 0.026401175186038017, 0.023920953273773193, 0.024120010435581207, 0.021441133692860603, 0.019985681399703026, 0.016024217009544373, 0.015396111644804478, 0.014052755199372768, 0.013661989942193031, 0.013506070710718632, 0.011871562339365482, 0.009661881253123283, 0.0093647176399827, 0.009741785936057568, 0.010004430077970028, 0.008191419765353203, 0.008736229501664639, 0.007971636019647121, 0.008403054438531399, 0.006382025312632322, 0.008076882921159267, 0.006269579753279686, 0.005403994582593441, 0.006996183190494776, 0.006503548938781023, 0.006510199513286352, 0.005964857060462236, 0.005697936285287142, 0.0050649079494178295, 0.00653876131400466, 0.005012108013033867, 0.004948063753545284, 0.006587331183254719, 0.006262574344873428, 0.0056944796815514565, 0.005434906110167503, 0.0038917975034564734, 0.004698341712355614, 0.0036861305125057697, 0.004509232472628355, 0.004091108683496714, 0.003753945929929614, 0.004907934460788965, 0.005520575679838657, 0.003977466840296984, 0.003378682304173708, 0.0030841887928545475, 0.0029396009631454945, 0.003264543367549777, 0.0028562441002577543, 0.003285342827439308, 0.002731570042669773, 0.003994466736912727, 0.0030223566573113203, 0.004022291861474514, 0.0033642929047346115, 0.0036200217436999083, 0.0022731171920895576, 0.0022309732157737017, 0.003058219561353326, 0.0024076674599200487, 0.003266887040808797, 0.0030389041639864445, 0.0026601559948176146, 0.002463818294927478, 0.0020379151683300734, 0.0021873607765883207, 0.0025495111476629972, 0.0020429217256605625, 0.0030677947215735912, 0.0033197763841599226, 0.00232140114530921, 0.0016719114501029253, 0.0022088440600782633, 0.0020347661338746548, 0.0027767950668931007, 0.0022681462578475475, 0.0036762200761586428, 0.0029204287566244602, 0.002652128227055073, 0.0020982485730201006, 0.0024674523156136274, 0.0032116181682795286, 0.002415658440440893, 0.001938384841196239, 0.0023449119180440903, 0.0037131081335246563, 0.002988585503771901, 0.002403234364464879, 0.0024981338065117598, 0.002335128840059042, 0.0018300783121958375, 0.0026379795745015144, 0.0030173445120453835, 0.0022494883742183447, 0.0022014807909727097, 0.0022395604755729437, 0.0024333095643669367, 0.003443084191530943, 0.002083784667775035, 0.0036780869122594595, 0.002316136844456196, 0.0021603123750537634, 0.0021867312025278807, 0.00229858560487628, 0.002751466352492571, 0.003035180503502488, 0.0030713826417922974, 0.002464574994519353, 0.003368089906871319, 0.0024296201299875975, 0.0031870261300355196, 0.001809699577279389, 0.002054407726973295, 0.002817867323756218, 0.002462770091369748, 0.0021066933404654264, 0.003453173441812396, 0.002138180658221245, 0.003473775926977396, 0.0021551758982241154, 0.002459845505654812, 0.003491353476420045, 0.001911198254674673, 0.0025836527347564697, 0.0020777445752173662, 0.004080868326127529, 0.0027925102040171623, 0.002930221613496542, 0.002800174755975604, 0.0020941949915140867, 0.0031114965677261353, 0.002500360133126378, 0.004455053247511387, 0.0034430674277246, 0.0029306861106306314, 0.002505549229681492, 0.0036909969057887793, 0.003969795070588589, 0.0023950960021466017, 0.0025055701844394207, 0.002703872276470065, 0.002547484589740634, 0.0024190081749111414, 0.0020232407841831446, 0.002767775906249881, 0.002891185227781534, 0.0030417933594435453, 0.00199996423907578, 0.0024414793588221073, 0.0018293395405635238, 0.0028236585203558207, 0.0021404253784567118, 0.002180560724809766, 0.0026869087014347315, 0.0017962836427614093, 0.004039727617055178, 0.0025278457906097174, 0.003269150387495756, 0.001707566436380148, 0.0027884836308658123, 0.003174310550093651, 0.0032973706256598234, 0.003173521254211664, 0.002404038328677416, 0.002405117731541395, 0.002260360633954406, 0.0031421263702213764, 0.0026412811130285263, 0.0026627734769135714, 0.003149988129734993, 0.004094755742698908, 0.0028093084692955017, 0.0033419253304600716, 0.002572007942944765, 0.0018115341663360596, 0.0030215743463486433, 0.0018410908523947, 0.002287833718582988, 0.0021875619422644377, 0.002227253280580044, 0.0023552030324935913, 0.0020780013874173164, 0.003308124840259552, 0.0026911860331892967, 0.002331119729205966, 0.0024384919088333845, 0.0029709183145314455, 0.00274999369867146, 0.002153537468984723, 0.002348822308704257, 0.0021732018794864416, 0.002762395655736327, 0.0021133951377123594, 0.0031088520772755146, 0.0027662699576467276, 0.002325627487152815, 0.0038003954105079174, 0.002862175228074193, 0.0023072571493685246, 0.0022059741895645857, 0.004137749783694744, 0.0035508456639945507, 0.00427998136729002, 0.002412325469776988, 0.002046872628852725, 0.0028595400508493185, 0.002321097068488598, 0.003198726801201701, 0.0020563199650496244, 0.003711296943947673, 0.0027674282900989056, 0.001997177256271243, 0.0024778663646429777, 0.002013883087784052, 0.002537347376346588, 0.002359739737585187, 0.002547899493947625, 0.0030759016517549753, 0.0025483141653239727, 0.0019282230641692877, 0.0021789963357150555, 0.0028017961885780096, 0.002174899447709322, 0.002036413876339793, 0.0024590156972408295, 0.002171245636418462, 0.0026524497661739588, 0.003438777755945921, 0.0023840628564357758, 0.003005880629643798, 0.002122432691976428, 0.002197305904701352, 0.0035068197175860405, 0.002980993129312992, 0.0029601454734802246, 0.0033381679095327854, 0.002921441802754998, 0.00338324555195868, 0.0028099652845412493, 0.002627578331157565, 0.002352534094825387, 0.003740584710612893, 0.0027787035796791315, 0.0020132269710302353, 0.002126256935298443, 0.0025004169438034296, 0.002342446008697152, 0.002231291029602289, 0.003368962090462446, 0.002246801508590579, 0.0026395136956125498, 0.002869823481887579, 0.0022815910633653402, 0.0030728692654520273, 0.003172954311594367, 0.00336644914932549, 0.0020369519479572773, 0.0028556000906974077, 0.002897131023928523, 0.0034395079128444195, 0.0017902100225910544, 0.0025222660042345524, 0.0025432328693568707, 0.0029636516701430082, 0.0036707601975649595, 0.0037275932263582945, 0.003811625298112631, 0.0028027419466525316, 0.003127285512164235, 0.0030254980083554983, 0.002013350371271372, 0.0018272105371579528, 0.003010468790307641, 0.0019259495893493295, 0.002811967860907316, 0.002667949302121997, 0.0030877392273396254, 0.0023436916526407003, 0.002605109941214323, 0.003933752421289682, 0.0028460321482270956, 0.002457544906064868, 0.002682371996343136]"
train_acc_list,"[9.059377750168245, 10.881606874773516, 13.035150385670653, 13.029973598384842, 13.029973598384842, 13.84790598954289, 10.596883574053942, 10.871253300201895, 10.871253300201895, 10.871253300201895, 10.860899725630274, 10.69006574519853, 10.260392400476265, 7.816948801573743, 5.83423927110835, 4.0327172956463215, 4.524512087798312, 4.2863798726510325, 5.342444478956359, 8.8885437697365, 12.967852150955117, 14.080861417404359, 13.371641559248332, 12.243101930941657, 8.826422322306776, 10.017083398043175, 15.840969094579904, 18.429362737485118, 18.139462649479732, 22.46725682041725, 27.338613656364856, 31.42309882486929, 35.554175078946, 44.07516695138997, 51.85070145467723, 57.105140549774816, 61.43293472071233, 67.28788114096392, 71.84345395247709, 79.96065641662784, 83.09261272454314, 85.53605632344568, 89.20122172179946, 90.90438473883108, 91.92938862142155, 94.81285913961796, 96.30377387793135, 97.14241341823265, 98.0638815551069, 98.33825128125486, 99.26489620541491, 99.32184086555883, 99.58585701713517, 99.95340891442771, 99.95858570171352, 99.96893927628514, 99.98964642542838, 99.98446963814257, 99.9948232127142, 100.0, 99.9948232127142, 99.9948232127142, 100.0, 100.0, 100.0, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.9948232127142, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.9948232127142, 99.9948232127142, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.9948232127142, 100.0, 100.0, 100.0, 100.0, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.9948232127142, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
val_acc_list,"[9.059612248595759, 10.871534698314912, 13.027722413480703, 13.027722413480703, 13.027722413480703, 14.078637434317812, 10.581627106359848, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.871534698314912, 10.72658090233738, 10.183004167421634, 7.773147309295163, 5.798151839101286, 4.113063960862475, 4.874071389744519, 3.786917919913028, 5.091502083710817, 8.189889472730567, 12.828410944011596, 14.27794890378692, 13.154556984961044, 12.411668780576193, 9.041493024098568, 10.346077187896357, 15.83620221054539, 18.62656278311288, 18.354774415655008, 22.39536147852872, 27.39626743975358, 31.34625838014133, 35.40496466751223, 43.576734915745604, 50.715709367639064, 56.368907410762816, 61.35169414749049, 66.57003080268164, 70.9367639065048, 78.98169958325784, 81.59086791085342, 83.62022105453887, 86.9903968110165, 88.51241166878057, 89.40025366914296, 91.71951440478348, 92.69795252763183, 93.73074832397174, 94.32868273237905, 94.56423265084254, 95.34335930422178, 95.66950534517122, 95.77822069215438, 95.94129371262909, 96.21308208008698, 96.1587244065954, 96.593585794528, 96.33991665156731, 96.5573473455336, 96.593585794528, 96.48487044754485, 96.50298967204203, 96.66606269251676, 96.70230114151114, 96.7747780394999, 96.81101648849429, 96.84725493748869, 96.84725493748869, 96.86537416198587, 96.88349338648305, 96.93785105997463, 96.82913571299149, 96.90161261098025, 96.90161261098025, 96.91973183547744, 96.90161261098025, 96.90161261098025, 96.99220873346621, 96.93785105997463, 96.97408950896902, 96.93785105997463, 96.97408950896902, 96.95597028447183, 96.97408950896902, 96.95597028447183, 96.95597028447183, 96.95597028447183, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.95597028447183, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.95597028447183, 96.97408950896902, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.93785105997463, 96.93785105997463, 96.91973183547744, 96.93785105997463, 96.91973183547744, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.93785105997463, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.93785105997463, 96.93785105997463, 96.95597028447183, 96.93785105997463, 96.95597028447183, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.93785105997463, 96.91973183547744, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.91973183547744, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.95597028447183, 96.93785105997463, 96.95597028447183, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.91973183547744, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.95597028447183, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.91973183547744, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.95597028447183, 96.95597028447183, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.95597028447183, 96.95597028447183, 96.95597028447183, 96.95597028447183, 96.95597028447183, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.93785105997463, 96.95597028447183, 96.93785105997463, 96.93785105997463, 96.93785105997463, 96.95597028447183, 96.95597028447183, 96.95597028447183, 96.93785105997463, 96.93785105997463, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.91973183547744, 96.91973183547744]"
test_acc,96.84668358100761
