,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,EFFICIENTNET-B7
loss_list,"[1.5544065237045288, 0.9265348315238953, 0.8055272698402405, 0.7319930195808411, 0.6989395022392273, 0.6798126101493835, 0.6649199724197388, 0.6583994626998901, 0.6470998525619507, 0.6285083889961243, 0.6356993317604065, 0.6106191873550415, 0.6116849184036255, 0.6211910247802734, 0.5963930487632751, 0.6084339022636414, 0.6003909111022949, 0.5975308418273926, 0.6101581454277039, 0.5913291573524475, 0.5937204360961914, 0.6025241017341614, 0.5796077251434326, 0.6044157147407532, 0.6022780537605286, 0.594390332698822, 0.598526656627655, 0.5889828205108643, 0.5935317873954773, 0.5901198387145996, 0.5942268967628479, 0.586597204208374, 0.5784594416618347, 0.5797982215881348, 0.5854086875915527, 0.5895605683326721, 0.57122403383255, 0.5687666535377502, 0.5934463739395142, 0.5772765874862671, 0.5822576880455017, 0.5771660804748535, 0.5852608680725098, 0.586609959602356, 0.5806258320808411, 0.5776488184928894, 0.5697649121284485, 0.5803664326667786, 0.5895613431930542, 0.5761088132858276, 0.5723333358764648, 0.5946249961853027, 0.5925105214118958, 0.5820896029472351, 0.5708285570144653, 0.5840035080909729, 0.5817896723747253, 0.5718756318092346, 0.5738813281059265, 0.5805739164352417, 0.5815718173980713, 0.5853343605995178, 0.5738862156867981, 0.5742081999778748, 0.5796898603439331, 0.5766404271125793, 0.5789655447006226, 0.5745970606803894, 0.5855804085731506, 0.5795354247093201, 0.5762616991996765, 0.5774958729743958, 0.5808521509170532, 0.5808176398277283, 0.5653948187828064, 0.5813857316970825, 0.5684131383895874, 0.5723179578781128, 0.5827293992042542, 0.5681714415550232, 0.5743555426597595, 0.5910906195640564, 0.5944195985794067, 0.5755634903907776, 0.5743939876556396, 0.5782449841499329, 0.5833137631416321, 0.5685708522796631, 0.5838443040847778, 0.5869365334510803, 0.5906080007553101, 0.5736909508705139, 0.5865364670753479, 0.5622161626815796, 0.5867658853530884, 0.5894858837127686, 0.5877608060836792, 0.5721234679222107, 0.585101306438446, 0.5923430919647217, 0.5769459009170532, 0.5796096920967102, 0.5903182625770569, 0.5850464105606079, 0.5754144787788391, 0.573004424571991, 0.5815271735191345, 0.5866841077804565, 0.5858769416809082, 0.5789439082145691, 0.5786095261573792, 0.5951591730117798, 0.5741710662841797, 0.5868502855300903, 0.5696926116943359, 0.5838062167167664, 0.5786784291267395, 0.5861884951591492, 0.5800751447677612, 0.5667314529418945, 0.5779309272766113, 0.5718238353729248, 0.5856969356536865, 0.5748979449272156, 0.592041552066803, 0.5740709900856018, 0.582190990447998, 0.5794010758399963, 0.5877442359924316, 0.5867120027542114, 0.5733542442321777, 0.5940607190132141, 0.5699668526649475, 0.5748100876808167, 0.5820740461349487, 0.5854065418243408, 0.5743657350540161, 0.5760388970375061, 0.5870688557624817, 0.5712453126907349, 0.5820382237434387, 0.5782021284103394, 0.5905865430831909, 0.5899416208267212, 0.5780078172683716, 0.5925429463386536, 0.5825083255767822, 0.575208842754364, 0.5909908413887024, 0.5838242769241333, 0.578105092048645, 0.596402108669281, 0.5982446074485779, 0.5816486477851868, 0.5869396924972534, 0.5793691873550415, 0.5740154981613159, 0.5845761895179749, 0.5768427848815918, 0.5747252702713013, 0.5727172493934631, 0.5658482313156128, 0.5895453691482544, 0.583132266998291, 0.5818850994110107, 0.5855153799057007, 0.5853412747383118, 0.5804610252380371, 0.57805335521698, 0.5878364443778992, 0.5829743146896362, 0.5886235237121582, 0.5705384612083435, 0.5932769179344177, 0.5779309272766113, 0.5984920263290405, 0.5755540728569031, 0.5993068218231201, 0.582673966884613, 0.5659601092338562, 0.5840694904327393, 0.5684670209884644, 0.585885226726532, 0.5914525985717773, 0.5694572329521179, 0.5711408853530884, 0.5831258296966553, 0.5684365630149841, 0.5668744444847107, 0.577083170413971, 0.571679413318634, 0.5845688581466675, 0.5845423340797424, 0.5854799151420593, 0.5665608644485474, 0.593781054019928, 0.5755077004432678, 0.5779384970664978, 0.5874180197715759, 0.5786765813827515, 0.5817907452583313, 0.584135890007019, 0.5803434252738953, 0.5809471011161804, 0.5842111110687256, 0.5829071402549744, 0.5815834999084473, 0.5789347290992737, 0.5858775973320007, 0.5671640634536743, 0.576142430305481, 0.5766892433166504, 0.5848370790481567, 0.5816220045089722, 0.5747014880180359, 0.5788253545761108, 0.5891373157501221, 0.5815315842628479, 0.5853123068809509, 0.5800849199295044, 0.5804078578948975, 0.5907356142997742, 0.578363299369812, 0.5849059224128723, 0.5664650201797485, 0.5719561576843262, 0.5766549706459045, 0.5751765370368958, 0.5817011594772339, 0.5846452713012695, 0.5837696194648743, 0.5824148058891296, 0.578425407409668, 0.5786893367767334, 0.5843146443367004, 0.5781340599060059, 0.5790864825248718, 0.5890147089958191, 0.5835956335067749, 0.5964977145195007, 0.5838655233383179, 0.5747516751289368, 0.5751336216926575, 0.5738825798034668, 0.5823207497596741, 0.5816771984100342, 0.5839306712150574, 0.5830155611038208, 0.5763003826141357, 0.5790896415710449, 0.5936989784240723, 0.5847989916801453, 0.5786532163619995, 0.5865036249160767, 0.5850743055343628, 0.6023055911064148, 0.5852104425430298, 0.574056088924408, 0.5741375088691711, 0.5760778784751892, 0.5775907635688782, 0.5780637264251709, 0.5825297832489014, 0.5704583525657654, 0.5687007904052734, 0.5736138224601746, 0.5840194225311279, 0.5793964266777039, 0.5775126814842224, 0.5821494460105896, 0.5763954520225525, 0.5878762006759644, 0.5895525813102722, 0.5801025032997131, 0.5775784254074097, 0.582290768623352, 0.5754117369651794, 0.5679707527160645, 0.5843757390975952, 0.5786576271057129, 0.5758957862854004, 0.5829135775566101, 0.5860416293144226, 0.576272189617157, 0.586943507194519, 0.5730689167976379, 0.5873916745185852, 0.5862631797790527, 0.5890313982963562, 0.5925418734550476, 0.5860200524330139, 0.5619169473648071, 0.5888521075248718, 0.5770386457443237, 0.5686199069023132, 0.5713339447975159, 0.5665490627288818, 0.5719534754753113, 0.597591757774353, 0.5807028412818909]"
train_acc_list,"[13.029973598384842, 14.650308018843505, 11.104208728063364, 16.850442615312936, 25.65615778847647, 35.165916032510225, 45.98540145985402, 57.96966402650515, 66.7805559869545, 71.38789667132578, 73.27224724336077, 75.78298907697882, 76.97365015271522, 77.52756639229695, 77.81746648030233, 76.68375006470984, 77.32567168815034, 77.68804679815706, 78.08665941916446, 77.93653258787596, 77.9002950768753, 77.56380390329761, 76.90117513071388, 77.97794688616246, 78.07630584459284, 77.69322358544287, 75.95382305741057, 77.58968783972666, 77.54827354144018, 78.33514520888338, 78.28337733602527, 77.74499145830099, 77.96241652430501, 78.1021897810219, 78.13842729202257, 77.77087539473003, 78.0504219081638, 78.454211316457, 78.50597918931511, 78.0038308225915, 77.96759331159082, 77.88994150230367, 78.23160946316716, 78.16948801573743, 77.9002950768753, 78.24196303773878, 78.51115597660092, 78.15395765388, 78.04524512087798, 77.82264326758813, 78.35585235802661, 77.79158254387328, 78.43350416731376, 78.17466480302325, 78.3040844851685, 78.46456489102863, 77.82782005487394, 78.13325050473676, 77.69840037272868, 77.74499145830099, 78.39208986902729, 78.8424703628928, 78.41279701817052, 77.81746648030233, 78.0038308225915, 78.02971475902055, 78.41797380545633, 78.15395765388, 78.07630584459284, 77.76569860744422, 78.37655950716986, 78.51633276388674, 78.23678625045297, 78.28855412331107, 78.41279701817052, 78.3040844851685, 78.77517212817725, 78.41279701817052, 78.02453797173474, 78.5525702748874, 78.06077548273541, 78.01936118444893, 78.27302376145364, 78.41797380545633, 78.0504219081638, 78.42315059274215, 78.33514520888338, 78.06595227002123, 78.5577470621732, 77.96759331159082, 78.37655950716986, 78.17466480302325, 78.68198995703266, 77.47579851943883, 78.03489154630637, 78.2057255267381, 78.10736656830771, 78.37138271988404, 79.43780090076099, 77.97794688616246, 78.06595227002123, 78.6923435316043, 78.27302376145364, 78.46456489102863, 78.10736656830771, 78.45938810374282, 78.07630584459284, 77.74499145830099, 77.66733964901383, 78.41797380545633, 78.42315059274215, 77.68287001087126, 78.4024434435989, 77.91582543873272, 77.53791996686856, 78.24713982502459, 78.67681316974685, 77.87958792773205, 78.17466480302325, 78.04524512087798, 78.3506755707408, 78.71822746803335, 78.42832738002795, 78.22125588859554, 78.27820054873945, 78.18501837759486, 78.29373091059688, 78.24713982502459, 78.3506755707408, 78.13325050473676, 78.41797380545633, 78.12289693016514, 78.0504219081638, 77.87441114044624, 78.34032199616918, 78.20054873945229, 77.81746648030233, 78.36620593259823, 78.09701299373609, 77.86923435316044, 78.95635968318062, 77.95723973701921, 78.61986850960294, 77.99347724801989, 78.11254335559352, 77.81746648030233, 78.38691308174147, 78.50080240202931, 78.29373091059688, 77.98312367344826, 78.19019516488068, 77.82264326758813, 78.07630584459284, 78.15913444116582, 78.53703991302997, 78.39208986902729, 78.11254335559352, 78.3040844851685, 78.33514520888338, 78.1021897810219, 77.64663249987058, 77.86405756587462, 78.3506755707408, 78.11772014287934, 77.82264326758813, 78.39208986902729, 78.31961484702593, 78.52150955117254, 78.08665941916446, 77.7087539473003, 78.12289693016514, 78.23160946316716, 78.08148263187866, 77.83817362944556, 77.57933426515504, 78.66128280788942, 78.60951493503133, 78.48527204017188, 78.27820054873945, 78.02971475902055, 78.3040844851685, 77.77605218201585, 78.19537195216648, 77.86405756587462, 77.88476471501787, 78.46456489102863, 78.51115597660092, 78.17984159030905, 78.49562561474349, 78.51115597660092, 78.54221670031578, 78.17466480302325, 78.26784697416784, 78.31961484702593, 77.79675933115908, 78.12289693016514, 77.87958792773205, 78.13325050473676, 77.94170937516178, 78.39208986902729, 77.79158254387328, 78.2057255267381, 78.26267018688202, 77.95206294973339, 78.44385774188538, 78.36620593259823, 78.19019516488068, 77.87441114044624, 77.28425738986385, 77.83299684215976, 78.03489154630637, 78.39208986902729, 78.36102914531241, 77.82264326758813, 78.31961484702593, 78.43868095459958, 78.24713982502459, 78.39208986902729, 78.07630584459284, 78.2989076978827, 78.3040844851685, 78.06595227002123, 78.28855412331107, 78.25749339959621, 78.25749339959621, 78.11772014287934, 78.23678625045297, 78.41797380545633, 78.10736656830771, 78.36620593259823, 78.10736656830771, 78.20054873945229, 78.03489154630637, 77.85370399130301, 78.0038308225915, 78.36620593259823, 78.00900760987732, 78.2989076978827, 77.98830046073407, 78.06077548273541, 77.99347724801989, 78.3040844851685, 78.3040844851685, 78.41797380545633, 78.0504219081638, 78.27820054873945, 78.11772014287934, 78.13842729202257, 77.92100222601853, 78.01936118444893, 78.0504219081638, 78.19537195216648, 77.81746648030233, 77.97794688616246, 77.80193611844489, 78.11254335559352, 77.61557177615572, 78.41279701817052, 78.09701299373609, 78.1021897810219, 78.09701299373609, 78.31961484702593, 77.44991458300979, 77.84335041673137, 78.27820054873945, 78.09183620645028, 78.23678625045297, 77.89511828958948, 78.60951493503133, 78.01418439716312, 78.27820054873945, 78.5939845731739, 77.68287001087126, 78.75964176631982, 78.39726665631309, 78.40762023088472, 78.41797380545633, 78.36102914531241, 77.98312367344826, 77.97277009887664, 78.34549878345499, 77.96241652430501, 78.29373091059688, 78.38173629445566, 78.09701299373609, 78.23160946316716, 78.5473934876016, 78.1487808665942, 78.04006833359217, 77.86923435316044, 77.84852720401719, 78.04524512087798, 78.0038308225915, 78.46974167831445, 78.09701299373609, 77.43956100843816, 79.17896153647047, 77.76569860744422, 78.19537195216648, 78.17984159030905]"
val_acc_list,"[13.027722413480703, 12.937126290994746, 8.606631636165972, 16.760282659902156, 31.291900706649756, 46.00471099836927, 59.35857945279942, 76.2819351331763, 87.00851603551368, 90.72295705743794, 93.27776771154194, 94.50987497735098, 96.03188983511505, 96.1406051820982, 96.5754665700308, 94.99909403877514, 96.86537416198587, 96.1768436310926, 96.61170501902518, 96.52110889653923, 96.99220873346621, 96.44863199855045, 96.90161261098025, 97.19152020293531, 97.11904330494654, 96.75665881500272, 95.37959775321616, 95.99565138612067, 96.03188983511505, 97.10092408044936, 97.51766624388476, 97.57202391737634, 97.42707012139881, 97.51766624388476, 97.49954701938756, 97.53578546838196, 97.49954701938756, 97.42707012139881, 97.4633085703932, 97.445189345896, 97.445189345896, 97.55390469287914, 97.53578546838196, 97.49954701938756, 97.51766624388476, 97.59014314187353, 97.53578546838196, 97.59014314187353, 97.60826236637072, 97.57202391737634, 97.59014314187353, 97.55390469287914, 97.53578546838196, 97.57202391737634, 97.53578546838196, 97.53578546838196, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.53578546838196, 97.53578546838196, 97.55390469287914, 97.51766624388476, 97.53578546838196, 97.55390469287914, 97.57202391737634, 97.59014314187353, 97.53578546838196, 97.55390469287914, 97.51766624388476, 97.55390469287914, 97.53578546838196, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.59014314187353, 97.57202391737634, 97.57202391737634, 97.55390469287914, 97.55390469287914, 97.53578546838196, 97.55390469287914, 97.55390469287914, 97.57202391737634, 97.53578546838196, 97.55390469287914, 97.51766624388476, 97.53578546838196, 97.53578546838196, 97.49954701938756, 97.55390469287914, 97.53578546838196, 97.53578546838196, 97.53578546838196, 97.51766624388476, 97.51766624388476, 97.49954701938756, 97.53578546838196, 97.53578546838196, 97.55390469287914, 97.53578546838196, 97.53578546838196, 97.57202391737634, 97.51766624388476, 97.53578546838196, 97.55390469287914, 97.57202391737634, 97.55390469287914, 97.57202391737634, 97.53578546838196, 97.57202391737634, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.57202391737634, 97.57202391737634, 97.53578546838196, 97.55390469287914, 97.53578546838196, 97.51766624388476, 97.55390469287914, 97.57202391737634, 97.53578546838196, 97.55390469287914, 97.55390469287914, 97.53578546838196, 97.57202391737634, 97.55390469287914, 97.55390469287914, 97.57202391737634, 97.57202391737634, 97.57202391737634, 97.59014314187353, 97.57202391737634, 97.55390469287914, 97.57202391737634, 97.57202391737634, 97.57202391737634, 97.55390469287914, 97.59014314187353, 97.53578546838196, 97.53578546838196, 97.53578546838196, 97.51766624388476, 97.57202391737634, 97.55390469287914, 97.57202391737634, 97.53578546838196, 97.53578546838196, 97.53578546838196, 97.57202391737634, 97.53578546838196, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.51766624388476, 97.55390469287914, 97.53578546838196, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.57202391737634, 97.51766624388476, 97.53578546838196, 97.53578546838196, 97.53578546838196, 97.55390469287914, 97.53578546838196, 97.53578546838196, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.49954701938756, 97.51766624388476, 97.53578546838196, 97.55390469287914, 97.55390469287914, 97.57202391737634, 97.53578546838196, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.59014314187353, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.51766624388476, 97.55390469287914, 97.53578546838196, 97.53578546838196, 97.59014314187353, 97.57202391737634, 97.59014314187353, 97.59014314187353, 97.57202391737634, 97.57202391737634, 97.57202391737634, 97.59014314187353, 97.55390469287914, 97.53578546838196, 97.53578546838196, 97.53578546838196, 97.53578546838196, 97.55390469287914, 97.53578546838196, 97.55390469287914, 97.55390469287914, 97.53578546838196, 97.53578546838196, 97.53578546838196, 97.55390469287914, 97.57202391737634, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.49954701938756, 97.51766624388476, 97.55390469287914, 97.57202391737634, 97.57202391737634, 97.57202391737634, 97.55390469287914, 97.59014314187353, 97.55390469287914, 97.59014314187353, 97.57202391737634, 97.59014314187353, 97.59014314187353, 97.55390469287914, 97.55390469287914, 97.53578546838196, 97.51766624388476, 97.53578546838196, 97.55390469287914, 97.59014314187353, 97.55390469287914, 97.53578546838196, 97.57202391737634, 97.55390469287914, 97.59014314187353, 97.55390469287914, 97.55390469287914, 97.57202391737634, 97.53578546838196, 97.57202391737634, 97.59014314187353, 97.55390469287914, 97.57202391737634, 97.55390469287914, 97.53578546838196, 97.55390469287914, 97.59014314187353, 97.55390469287914, 97.53578546838196, 97.55390469287914, 97.59014314187353, 97.53578546838196, 97.57202391737634, 97.55390469287914, 97.57202391737634, 97.55390469287914, 97.55390469287914, 97.53578546838196, 97.55390469287914, 97.55390469287914, 97.57202391737634, 97.55390469287914, 97.53578546838196, 97.57202391737634, 97.59014314187353, 97.55390469287914, 97.57202391737634, 97.59014314187353, 97.51766624388476, 97.55390469287914, 97.55390469287914, 97.55390469287914, 97.57202391737634, 97.59014314187353, 97.55390469287914, 97.53578546838196, 97.57202391737634, 97.55390469287914, 97.53578546838196, 97.55390469287914, 97.55390469287914, 97.59014314187353, 97.55390469287914, 97.55390469287914, 97.53578546838196, 97.55390469287914, 97.57202391737634, 97.57202391737634, 97.59014314187353, 97.55390469287914, 97.55390469287914]"
test_acc,97.5353388909025
