,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,EFFICIENTNET-B7
loss_list,"[1.6104001998901367, 0.9559623599052429, 0.8504142761230469, 0.7909495830535889, 0.7712395191192627, 0.7463628053665161, 0.7063603401184082, 0.7041125297546387, 0.7006797194480896, 0.6823964715003967, 0.6814390420913696, 0.6834543943405151, 0.6511937975883484, 0.6559005379676819, 0.6413558125495911, 0.6450209021568298, 0.6461135745048523, 0.6368986368179321, 0.6449707746505737, 0.6405048370361328, 0.633932888507843, 0.6391380429267883, 0.6366297006607056, 0.6170688271522522, 0.6296057105064392, 0.6230947375297546, 0.626966655254364, 0.6083484888076782, 0.6220563650131226, 0.6193920969963074, 0.6034526824951172, 0.6121440529823303, 0.612322211265564, 0.6046368479728699, 0.6034398078918457, 0.610380232334137, 0.6057414412498474, 0.6080492734909058, 0.612799346446991, 0.6045987010002136, 0.5948498249053955, 0.5913988947868347, 0.5884026288986206, 0.5951661467552185, 0.5989445447921753, 0.5951997637748718, 0.5883938670158386, 0.5991833209991455, 0.592444121837616, 0.5941071510314941, 0.597477376461029, 0.5986922979354858, 0.6051167249679565, 0.5866883993148804, 0.5787389874458313, 0.5951749682426453, 0.6009356379508972, 0.6080150604248047, 0.6003073453903198, 0.5934538245201111, 0.5848828554153442, 0.5921441912651062, 0.6002025008201599, 0.5984818935394287, 0.5849751830101013, 0.5941647291183472, 0.580047607421875, 0.5977596044540405, 0.595277726650238, 0.5881462097167969, 0.5860703587532043, 0.5996018052101135, 0.5824207663536072, 0.5853545665740967, 0.5878438949584961, 0.6055437922477722, 0.5920214653015137, 0.6005167365074158, 0.5985968112945557, 0.596036434173584, 0.5911561846733093, 0.5952834486961365, 0.6008550524711609, 0.6045838594436646, 0.6033214330673218, 0.5882002115249634, 0.5825757384300232, 0.5995771884918213, 0.5967375636100769, 0.5920059084892273, 0.6006250977516174, 0.5928909182548523, 0.5843311548233032, 0.5939291715621948, 0.5916329026222229, 0.5935570001602173, 0.5994635820388794, 0.5971018075942993, 0.5893092155456543, 0.5912436246871948, 0.6001036167144775, 0.5892210602760315, 0.5937284827232361, 0.6092209219932556, 0.6032242178916931, 0.5902180075645447, 0.6012110710144043, 0.594865620136261, 0.5952520370483398, 0.5891396403312683, 0.5967414379119873, 0.5861107110977173, 0.598477840423584, 0.5944554805755615, 0.595588207244873, 0.5931455492973328, 0.5929684042930603, 0.583471417427063, 0.5971459150314331, 0.5918887853622437, 0.5997685790061951, 0.5943304300308228, 0.5880364775657654, 0.5831459164619446, 0.587796151638031, 0.6060901880264282, 0.5868464112281799, 0.5869076251983643, 0.5916171669960022, 0.5836297869682312, 0.5996152758598328, 0.5966833829879761, 0.5833513140678406, 0.5934008359909058, 0.5952749848365784, 0.5856474041938782, 0.598099410533905, 0.5946963429450989, 0.5998049378395081, 0.5994561910629272, 0.5902767181396484, 0.6021458506584167, 0.5945754647254944, 0.5901501178741455, 0.5908588767051697, 0.5853161811828613, 0.5993747115135193, 0.5927940607070923, 0.5970141887664795, 0.6013062596321106, 0.5912173390388489, 0.5809646248817444, 0.5837787389755249, 0.5898647904396057, 0.5945963263511658, 0.5847910642623901, 0.5935155749320984, 0.5950965881347656, 0.5849316716194153, 0.5888346433639526, 0.6045399308204651, 0.5914632081985474, 0.5910288095474243, 0.6000432968139648, 0.5942760109901428, 0.5897402167320251, 0.5975380539894104, 0.5839273929595947, 0.5878504514694214, 0.592195987701416, 0.5993660688400269, 0.5911509394645691, 0.6038686633110046, 0.5892828702926636, 0.5902237296104431, 0.6056039929389954, 0.5836786031723022, 0.5789272785186768, 0.5951607823371887, 0.6045737266540527, 0.5978250503540039, 0.5760971307754517, 0.5897452235221863, 0.5910147428512573, 0.594961404800415, 0.5850304365158081, 0.597485363483429, 0.5934190154075623, 0.5949529409408569, 0.603618860244751, 0.584112823009491, 0.586245059967041, 0.5901364684104919, 0.5811101198196411, 0.5972484946250916, 0.5836557149887085, 0.5976988673210144, 0.6033856868743896, 0.5971328616142273, 0.5959756970405579, 0.5893962979316711, 0.5686443448066711, 0.5913212299346924, 0.588356077671051, 0.5930580496788025, 0.5848421454429626, 0.6120161414146423, 0.5802919268608093, 0.5982876420021057, 0.5947772860527039, 0.61006098985672, 0.5862171053886414, 0.5945007801055908, 0.5871163010597229, 0.6004591584205627, 0.5829456448554993, 0.5869197845458984, 0.585538387298584, 0.5998569130897522, 0.5786820650100708, 0.5977723002433777, 0.5996897220611572, 0.5916966199874878, 0.6035273671150208, 0.5951425433158875, 0.5956737399101257, 0.5957340598106384, 0.5903983116149902, 0.5995591282844543, 0.5967280864715576, 0.6029056906700134, 0.5956351161003113, 0.6069397330284119, 0.5951921343803406, 0.5929954648017883, 0.5953803658485413, 0.5811173915863037, 0.5865607261657715, 0.5979817509651184, 0.5950659513473511, 0.5917539000511169, 0.5988237261772156, 0.584112286567688, 0.5860758423805237, 0.5846379399299622, 0.6008880734443665, 0.5846682786941528, 0.589379072189331, 0.5861779451370239, 0.5958593487739563, 0.5854930281639099, 0.579153835773468, 0.5950008630752563, 0.605333149433136, 0.5719002485275269, 0.5996743440628052, 0.5864154696464539, 0.597517192363739, 0.5989933609962463, 0.5953799486160278, 0.6097550392150879, 0.5888541340827942, 0.595623254776001, 0.597475528717041, 0.5903971195220947, 0.5835402607917786, 0.5964668989181519, 0.5970906019210815, 0.5901073813438416, 0.5908050537109375, 0.605647623538971, 0.5986133813858032, 0.5782436728477478, 0.6016029715538025, 0.5977823734283447, 0.6019266247749329, 0.5960976481437683, 0.5868093371391296, 0.5989855527877808, 0.5869947671890259, 0.588295578956604, 0.5932281613349915, 0.5731837749481201, 0.583540141582489, 0.5880171656608582, 0.5904034376144409, 0.5913797616958618, 0.5962427854537964, 0.5932508707046509, 0.5888399481773376, 0.5943877696990967, 0.5929640531539917, 0.5975995063781738, 0.5957468152046204, 0.5877122282981873, 0.590446412563324, 0.5935371518135071, 0.5835518836975098, 0.5915285348892212, 0.5894699692726135]"
train_acc_list,"[13.029973598384842, 13.262929026246312, 20.77962416524305, 23.528498214008387, 29.41968214526065, 36.69824506911011, 42.46518610550292, 54.53227726872703, 65.56918776207485, 69.415540715432, 72.66138634363514, 74.4784386809546, 74.94952632396334, 75.44132111611533, 76.18160169798624, 75.68980690583423, 75.21354247553968, 77.06683232385981, 76.18677848527204, 76.68892685199566, 76.52844644613552, 76.23854635813015, 76.73034115028213, 75.29119428482683, 76.82870010871254, 76.67857327742404, 76.88046798157063, 76.28513744370244, 76.85458404514158, 77.06683232385981, 77.8071129057307, 76.5646839571362, 76.94258942900036, 76.98918051457265, 77.21695915514832, 77.12895377128953, 77.6569860744422, 78.17984159030905, 78.00900760987732, 77.49650566858209, 77.49650566858209, 78.22125588859554, 78.17466480302325, 78.27302376145364, 77.77605218201585, 78.19537195216648, 77.72946109644354, 77.74499145830099, 78.30926127245431, 77.6103949888699, 77.98312367344826, 77.60004141429829, 78.17466480302325, 77.86923435316044, 77.69840037272868, 77.34637883729357, 78.07112905730703, 77.86923435316044, 77.93653258787596, 78.20054873945229, 78.11254335559352, 78.12807371745095, 78.28855412331107, 78.00900760987732, 78.01418439716312, 77.78640575658746, 78.23160946316716, 77.89511828958948, 78.43350416731376, 77.92617901330433, 77.72946109644354, 77.87441114044624, 77.97277009887664, 78.08148263187866, 77.6518092871564, 78.10736656830771, 77.67251643629963, 77.97794688616246, 77.88476471501787, 78.16948801573743, 77.98830046073407, 77.73981467101517, 77.95723973701921, 78.64057565874619, 77.77087539473003, 78.02971475902055, 78.2057255267381, 77.91582543873272, 78.2989076978827, 77.67769322358544, 77.6518092871564, 78.00900760987732, 77.82782005487394, 77.85888077858881, 77.84335041673137, 77.46544494486722, 77.94688616244758, 78.43350416731376, 77.97794688616246, 77.73981467101517, 78.1021897810219, 78.09701299373609, 77.52238960501113, 78.15395765388, 77.57415747786924, 77.86405756587462, 78.3040844851685, 77.93653258787596, 77.82782005487394, 77.29978775172128, 77.69840037272868, 78.32996842159756, 78.0504219081638, 78.07630584459284, 78.32996842159756, 77.84335041673137, 77.95723973701921, 77.43438422115236, 77.95206294973339, 77.70357716001449, 77.77605218201585, 77.76569860744422, 78.27820054873945, 78.07630584459284, 77.96759331159082, 77.93653258787596, 77.68287001087126, 77.1134234094321, 78.2057255267381, 77.6103949888699, 78.2989076978827, 78.16431122845162, 77.62074856344154, 78.14360407930837, 78.28855412331107, 77.71910752187192, 78.17984159030905, 77.97794688616246, 77.86923435316044, 77.48615209401045, 77.55345032872599, 78.32479163431174, 77.92617901330433, 78.46456489102863, 77.6103949888699, 78.2989076978827, 77.63110213801315, 78.51115597660092, 77.98830046073407, 78.26267018688202, 78.13842729202257, 78.19537195216648, 77.81228969301651, 77.69840037272868, 77.86923435316044, 77.51203603043952, 78.00900760987732, 77.64663249987058, 77.83299684215976, 78.02453797173474, 77.91582543873272, 77.86923435316044, 78.38691308174147, 77.94170937516178, 77.79158254387328, 77.94688616244758, 77.63627892529897, 77.7553450328726, 77.61557177615572, 78.17466480302325, 77.37226277372264, 78.07112905730703, 78.04524512087798, 78.0504219081638, 78.51115597660092, 78.17984159030905, 78.13325050473676, 77.88994150230367, 77.6052182015841, 77.64663249987058, 77.63627892529897, 77.88994150230367, 77.93135580059015, 77.82782005487394, 78.10736656830771, 77.43438422115236, 78.32996842159756, 78.02971475902055, 77.53274317958275, 77.98312367344826, 78.04006833359217, 78.16948801573743, 78.06077548273541, 77.77605218201585, 78.23678625045297, 77.76052182015842, 77.7553450328726, 77.361909199151, 78.16431122845162, 77.95206294973339, 78.63539887146037, 78.0038308225915, 77.99347724801989, 77.93135580059015, 77.95723973701921, 78.00900760987732, 78.21090231402391, 77.96759331159082, 78.17466480302325, 78.02971475902055, 77.86923435316044, 78.21607910130973, 77.74499145830099, 77.5586271160118, 77.88994150230367, 78.17984159030905, 77.63627892529897, 77.71910752187192, 77.82782005487394, 78.18501837759486, 77.96759331159082, 77.78122896930165, 77.69840037272868, 77.85370399130301, 77.96759331159082, 77.83817362944556, 77.73981467101517, 77.41885385929493, 77.72428430915774, 77.82782005487394, 77.8071129057307, 77.95723973701921, 78.04006833359217, 77.47062173215302, 77.81228969301651, 77.93653258787596, 77.76052182015842, 78.15395765388, 78.2989076978827, 77.85370399130301, 77.85370399130301, 77.79675933115908, 77.64663249987058, 78.06595227002123, 78.5525702748874, 77.84852720401719, 77.68804679815706, 78.1487808665942, 77.89511828958948, 77.97794688616246, 77.72428430915774, 77.41367707200911, 77.62592535072734, 77.94170937516178, 77.77605218201585, 77.83817362944556, 78.03489154630637, 77.51203603043952, 78.07630584459284, 78.25749339959621, 78.27302376145364, 77.77605218201585, 77.77605218201585, 78.21607910130973, 77.98312367344826, 77.92617901330433, 77.70357716001449, 77.32049490086452, 78.1487808665942, 77.32567168815034, 78.06077548273541, 78.1487808665942, 78.04006833359217, 77.81228969301651, 77.47579851943883, 78.67163638246105, 77.38779313558007, 77.71393073458611, 77.68287001087126, 77.94688616244758, 78.02971475902055, 77.9002950768753, 78.4024434435989, 77.5586271160118, 77.39296992286587, 77.57933426515504, 77.91582543873272, 77.44991458300979, 77.99865403530569, 78.39208986902729, 77.52756639229695, 77.89511828958948, 77.361909199151, 78.07630584459284, 78.13325050473676, 77.77087539473003, 78.39726665631309, 77.56380390329761, 77.96241652430501, 77.76569860744422]"
val_acc_list,"[13.027722413480703, 13.027722413480703, 23.35568037687987, 29.57057437941656, 38.08660989309657, 47.67167965211089, 57.836564595035334, 74.94111252038412, 89.01974995470195, 90.68671860844356, 93.54955607899981, 95.90505526363472, 96.41239354955607, 97.33647399891284, 97.75321616234825, 97.42707012139881, 97.55390469287914, 97.55390469287914, 97.60826236637072, 97.42707012139881, 97.48142779489038, 97.73509693785107, 97.84381228483421, 97.04656640695778, 97.69885848885667, 97.93440840732016, 97.71697771335387, 97.78945461134263, 98.16995832578365, 97.89816995832578, 98.00688530530893, 97.62638159086791, 97.71697771335387, 98.36926979525276, 98.36926979525276, 98.04312375430332, 98.15183910128647, 98.62293893821345, 98.67729661170502, 98.64105816271064, 98.47798514223591, 98.62293893821345, 98.62293893821345, 98.55046204022467, 98.55046204022467, 98.5142235912303, 98.47798514223591, 98.58670048921906, 98.64105816271064, 98.65917738720783, 98.65917738720783, 98.67729661170502, 98.65917738720783, 98.69541583620222, 98.65917738720783, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.65917738720783, 98.65917738720783, 98.65917738720783, 98.67729661170502, 98.65917738720783, 98.67729661170502, 98.64105816271064, 98.62293893821345, 98.67729661170502, 98.65917738720783, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.67729661170502, 98.62293893821345, 98.62293893821345, 98.69541583620222, 98.69541583620222, 98.65917738720783, 98.65917738720783, 98.69541583620222, 98.7135350606994, 98.65917738720783, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.64105816271064, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.64105816271064, 98.67729661170502, 98.65917738720783, 98.65917738720783, 98.65917738720783, 98.65917738720783, 98.64105816271064, 98.65917738720783, 98.62293893821345, 98.67729661170502, 98.65917738720783, 98.65917738720783, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.69541583620222, 98.67729661170502, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.7135350606994, 98.69541583620222, 98.64105816271064, 98.65917738720783, 98.67729661170502, 98.69541583620222, 98.65917738720783, 98.64105816271064, 98.65917738720783, 98.65917738720783, 98.65917738720783, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.69541583620222, 98.65917738720783, 98.67729661170502, 98.65917738720783, 98.65917738720783, 98.67729661170502, 98.64105816271064, 98.67729661170502, 98.69541583620222, 98.69541583620222, 98.69541583620222, 98.69541583620222, 98.69541583620222, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.64105816271064, 98.65917738720783, 98.69541583620222, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.65917738720783, 98.62293893821345, 98.67729661170502, 98.67729661170502, 98.65917738720783, 98.69541583620222, 98.69541583620222, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.65917738720783, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.65917738720783, 98.67729661170502, 98.65917738720783, 98.67729661170502, 98.69541583620222, 98.69541583620222, 98.65917738720783, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.69541583620222, 98.69541583620222, 98.7135350606994, 98.65917738720783, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.65917738720783, 98.67729661170502, 98.69541583620222, 98.62293893821345, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.69541583620222, 98.69541583620222, 98.69541583620222, 98.69541583620222, 98.67729661170502, 98.69541583620222, 98.67729661170502, 98.62293893821345, 98.65917738720783, 98.67729661170502, 98.64105816271064, 98.64105816271064, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.64105816271064, 98.64105816271064, 98.67729661170502, 98.65917738720783, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.64105816271064, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.65917738720783, 98.69541583620222, 98.67729661170502, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.69541583620222, 98.67729661170502, 98.62293893821345, 98.69541583620222, 98.67729661170502, 98.69541583620222, 98.65917738720783, 98.7135350606994, 98.69541583620222, 98.69541583620222, 98.7135350606994, 98.69541583620222, 98.67729661170502, 98.65917738720783, 98.69541583620222, 98.7135350606994, 98.69541583620222, 98.69541583620222, 98.69541583620222, 98.67729661170502, 98.67729661170502, 98.65917738720783, 98.67729661170502, 98.67729661170502, 98.67729661170502, 98.69541583620222, 98.7135350606994, 98.67729661170502, 98.69541583620222, 98.69541583620222, 98.67729661170502, 98.65917738720783, 98.67729661170502, 98.67729661170502, 98.65917738720783, 98.69541583620222, 98.67729661170502, 98.69541583620222, 98.64105816271064, 98.67729661170502, 98.64105816271064, 98.62293893821345, 98.67729661170502, 98.69541583620222, 98.69541583620222, 98.69541583620222]"
test_acc,98.65893439652048
