,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,RESNET152
loss_list,"[0.7892197966575623, 0.1716300994157791, 0.0550248958170414, 0.025429964065551758, 0.011210255324840546, 0.0065864990465343, 0.008734825067222118, 0.015000075101852417, 0.012780741788446903, 0.01009376160800457, 0.006667850073426962, 0.008314925245940685, 0.004037939943373203, 0.000960649223998189, 0.0007339742733165622, 0.0007155400817282498, 0.0005358460475690663, 0.0005858512595295906, 0.0006278168293647468, 0.00045271957060322165, 0.00040727885789237916, 0.0004052259318996221, 0.00036373542388901114, 0.0004792489926330745, 0.0003357225505169481, 0.0003277817741036415, 0.000350923219230026, 0.00030324162798933685, 0.0003342978598084301, 0.000287369592115283, 0.0002760437491815537, 0.00028321752324700356, 0.0002694371505640447, 0.00027205506921745837, 0.00024997908622026443, 0.0002510189078748226, 0.0002433365589240566, 0.00025141387595795095, 0.00022592893219552934, 0.00023217925627250224, 0.00021080275473650545, 0.00020119096734561026, 0.00019940394849982113, 0.00019769520440604538, 0.00019589623843785375, 0.00018502063176129013, 0.00018019267008639872, 0.00017629437206778675, 0.00018087333592120558, 0.00016577354108449072, 0.00021500834554899484, 0.0001716610131552443, 0.00015936439740471542, 0.00016704428708180785, 0.00014945869043003768, 0.00015839487605262548, 0.00016028198297135532, 0.00014688348164781928, 0.0001439059997210279, 0.00013984955148771405, 0.00014128106704447418, 0.0001370074023725465, 0.00013365448103286326, 0.00012700716615654528, 0.00012402830179780722, 0.00011972797801718116, 0.0001300062140217051, 0.00012545540812425315, 0.00011609881767071784, 0.00011648844520095736, 0.00011918636300833896, 0.00011787237599492073, 0.00011497142986627296, 0.00011063433339586481, 0.00010927548282779753, 0.00010701580322347581, 0.00010188254964305088, 0.0001059597052517347, 9.996922017307952e-05, 0.00010026749805547297, 9.831543866312131e-05, 9.378030517837033e-05, 9.522619802737609e-05, 8.890810568118468e-05, 8.866073767421767e-05, 8.980024722404778e-05, 8.861302194418386e-05, 8.848329161992297e-05, 9.015513933263719e-05, 8.493477798765525e-05, 0.0001009506595437415, 8.540519047528505e-05, 8.423194230999798e-05, 8.505810546921566e-05, 8.237517613451928e-05, 8.158828131854534e-05, 7.843459025025368e-05, 7.817659206921235e-05, 7.725733303232118e-05, 7.65392542234622e-05, 7.222543354146183e-05, 7.185629510786384e-05, 7.198928506113589e-05, 7.195457146735862e-05, 6.898462015669793e-05, 6.820583075750619e-05, 7.195377111202106e-05, 6.769912579329684e-05, 6.51605732855387e-05, 6.504268094431609e-05, 6.354093056870624e-05, 6.171538552735001e-05, 6.501300231320783e-05, 6.422142905648798e-05, 6.047835267963819e-05, 5.9039339248556644e-05, 5.878052979824133e-05, 5.7591169024817646e-05, 6.124519131844863e-05, 5.6830034736776724e-05, 5.707968375645578e-05, 5.7881617976818234e-05, 5.422921822173521e-05, 5.4787386034149677e-05, 5.2832918299827725e-05, 5.3250856581144035e-05, 5.6663375289645046e-05, 5.116691318107769e-05, 5.3379135351860896e-05, 4.8942780267680064e-05, 5.43141140951775e-05, 4.851246558246203e-05, 4.973587056156248e-05, 5.075711669633165e-05, 4.8556699766777456e-05, 4.593511039274745e-05, 5.031878026784398e-05, 4.591347533278167e-05, 4.761855598189868e-05, 4.527446799329482e-05, 4.626467125490308e-05, 4.434248694451526e-05, 4.235119195072912e-05, 4.393481503939256e-05, 4.238462133798748e-05, 4.0377071854891255e-05, 4.0848623029887676e-05, 4.154832276981324e-05, 4.090320726390928e-05, 4.240188354742713e-05, 4.112071474082768e-05, 3.934191045118496e-05, 4.0714090573601425e-05, 3.75191739294678e-05, 3.7348305340856314e-05, 3.839553028228693e-05, 3.8976715586613864e-05, 3.935832137358375e-05, 3.509599991957657e-05, 3.6018969694850966e-05, 3.5050848964601755e-05, 3.5471002775011584e-05, 3.585837839636952e-05, 3.836634277831763e-05, 3.7222511309664696e-05, 3.474498225841671e-05, 3.488536458462477e-05, 3.486843343125656e-05, 3.322989505250007e-05, 3.3357478969264776e-05, 3.1159623176790774e-05, 3.2442956580780447e-05, 3.1547588150715455e-05, 3.320131145301275e-05, 3.21177467412781e-05, 3.3043179428204894e-05, 3.22044943459332e-05, 3.072008985327557e-05, 3.357926107128151e-05, 3.1451480026589707e-05, 3.1832194508751854e-05, 3.1827701604925096e-05, 2.9950111638754606e-05, 3.064755946979858e-05, 3.36606681230478e-05, 3.011139233422e-05, 3.0579605663660914e-05, 3.328860839246772e-05, 3.333100539748557e-05, 3.12263255182188e-05, 3.11916483042296e-05, 2.957601100206375e-05, 3.0294973839772865e-05, 2.9653740057256073e-05, 3.099663808825426e-05, 3.090406971750781e-05, 3.1031966500449926e-05, 3.045595258299727e-05, 3.0428891477640718e-05, 2.9444165193126537e-05, 3.2652798836352304e-05, 2.961572135973256e-05, 3.288739389972761e-05, 3.112822741968557e-05, 2.909501017711591e-05, 3.0662875360576436e-05, 3.072946492466144e-05, 2.9983182685100473e-05, 3.077769360970706e-05, 3.1849016522755846e-05, 3.0736740882275626e-05, 3.0006900487933308e-05, 3.0592524126404896e-05, 3.0280967621365562e-05, 3.107506563537754e-05, 3.0021421480341814e-05, 3.143588764942251e-05, 3.077844303334132e-05, 3.0699076887685806e-05, 3.0607199732912704e-05, 3.0331228117574938e-05, 3.110850593657233e-05, 3.1180923542706296e-05, 3.0503197194775566e-05, 3.1286686862586066e-05, 3.074337655561976e-05, 3.148315227008425e-05, 3.370740887476131e-05, 3.076196298934519e-05, 3.083930641878396e-05, 3.0870425689499825e-05, 3.017527524207253e-05, 3.155623926431872e-05, 2.9769023967674002e-05, 3.133748396066949e-05, 3.216211553080939e-05, 3.0188964956323616e-05, 3.016707705683075e-05, 2.980288991238922e-05, 3.132109122816473e-05, 3.035580630239565e-05, 3.107715383521281e-05, 3.376655513420701e-05, 3.6446177546167746e-05, 3.2051026209956035e-05, 2.965036401292309e-05, 3.194633245584555e-05, 3.550383189576678e-05, 3.156578168272972e-05, 3.105327414232306e-05, 2.9760372854070738e-05, 2.9989174436195754e-05, 3.130798359052278e-05, 3.081056638620794e-05, 3.284672129666433e-05, 3.4328753827139735e-05, 3.663589450297877e-05, 3.050349187105894e-05, 3.0482124202535488e-05, 2.940470221801661e-05, 3.0332661481224932e-05, 3.0914121452951804e-05, 2.9690536393900402e-05, 3.0013588911970146e-05, 3.12965021294076e-05, 3.179645864292979e-05, 3.0134780899970792e-05, 3.057868161704391e-05, 3.0091829103184864e-05, 3.081389149883762e-05, 2.9599435947602615e-05, 3.057988215005025e-05, 2.990331267938018e-05, 2.9909657314419746e-05, 3.019159339601174e-05, 2.975018651341088e-05, 3.011933949892409e-05, 3.007304621860385e-05, 3.093019040534273e-05, 3.1021321774460375e-05, 3.0313914976431988e-05, 2.9645958420587704e-05, 2.9772869311273098e-05, 3.0223221983760595e-05, 3.081627073697746e-05, 3.094374551437795e-05, 3.065615601371974e-05, 3.0257233447628096e-05, 3.012793604284525e-05, 3.2262767490465194e-05, 3.0012835850357078e-05, 2.9738745070062578e-05, 3.2026771805249155e-05, 2.9690518204006366e-05, 2.9582050046883523e-05, 3.0246746973716654e-05, 3.1074021535459906e-05, 3.0257935577537864e-05, 3.1321327696787193e-05, 3.140019180136733e-05]"


train_acc_list,"[17.802971475902055, 14.660661593415124, 32.72764922089351, 49.02417559662474, 90.06056841124398, 96.97675622508672, 98.00693689496298, 95.00957705647875, 96.99746337422995, 98.93875860640887, 98.85075322255008, 99.46161412227572, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
