,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,RESNET18
loss_list,"[1.501838207244873, 0.9828969240188599, 0.8699094653129578, 0.8053978681564331, 0.7567713856697083, 0.7469172477722168, 0.7132452726364136, 0.7040467858314514, 0.6716577410697937, 0.6638731956481934, 0.6580955386161804, 0.6503188014030457, 0.6581670045852661, 0.6388437747955322, 0.6233912706375122, 0.6235599517822266, 0.6133755445480347, 0.6254768967628479, 0.6009325981140137, 0.6071828603744507, 0.6169590950012207, 0.606781542301178, 0.590382993221283, 0.5965125560760498, 0.594532310962677, 0.5915636420249939, 0.5979472994804382, 0.6040515899658203, 0.6107963919639587, 0.5831822752952576, 0.5871593952178955, 0.5756831765174866, 0.5761260390281677, 0.5848177671432495, 0.5864574313163757, 0.5858163237571716, 0.5641525387763977, 0.5726949572563171, 0.5885796546936035, 0.5898906588554382, 0.5922717452049255, 0.5934977531433105, 0.5797121524810791, 0.5971854329109192, 0.5788394808769226, 0.5720185041427612, 0.5745635628700256, 0.5929374098777771, 0.578007698059082, 0.5740994215011597, 0.5765812993049622, 0.5779051780700684, 0.5814129710197449, 0.5784878730773926, 0.5694054365158081, 0.5777294635772705, 0.5845849514007568, 0.5776674151420593, 0.5783348083496094, 0.5780515670776367, 0.5742239356040955, 0.5768536329269409, 0.5819227695465088, 0.5643916130065918, 0.5919124484062195, 0.5874201655387878, 0.5905797481536865, 0.5771826505661011, 0.5812889337539673, 0.5883404612541199, 0.5798973441123962, 0.5858456492424011, 0.5864893198013306, 0.5774834752082825, 0.5817416310310364, 0.576878547668457, 0.5782482624053955, 0.5821067690849304, 0.59749436378479, 0.5759897232055664, 0.5859519839286804, 0.5864675641059875, 0.5820983648300171, 0.5965959429740906, 0.5890065431594849, 0.5822514295578003, 0.5744369029998779, 0.5787538886070251, 0.5788467526435852, 0.5876746773719788, 0.5668091177940369, 0.5864635705947876, 0.5926522612571716, 0.595206081867218, 0.5800544023513794, 0.5799710750579834, 0.5927927494049072, 0.5884284973144531, 0.5861076712608337, 0.566789448261261, 0.5933805704116821, 0.5897272229194641, 0.5703486204147339, 0.5755905508995056, 0.569241464138031, 0.5867357850074768, 0.5787976384162903, 0.5851161479949951, 0.5784255266189575, 0.5774892568588257, 0.5818309187889099, 0.5887765288352966, 0.5906307697296143, 0.5820070505142212, 0.5876962542533875, 0.5722851753234863, 0.5839038491249084, 0.5764437913894653, 0.5893639326095581, 0.571173906326294, 0.587074339389801, 0.5771749019622803, 0.5733998417854309, 0.5655940175056458, 0.5753587484359741, 0.5636011362075806, 0.5792970657348633, 0.5915703773498535, 0.5856341123580933, 0.6024277210235596, 0.5775403380393982, 0.5881953835487366, 0.5741468667984009, 0.5732930898666382, 0.5794625282287598, 0.5775554180145264, 0.5728638172149658, 0.5821042060852051, 0.569677472114563, 0.5756567120552063, 0.5816212296485901, 0.577997088432312, 0.582120954990387, 0.5907453298568726, 0.5794264078140259, 0.5861506462097168, 0.5826175212860107, 0.5829463005065918, 0.5829524993896484, 0.5836768746376038, 0.5943595767021179, 0.5843645930290222, 0.5914502143859863, 0.5777847766876221, 0.5814412832260132, 0.5858840942382812, 0.5764942765235901, 0.5868233442306519, 0.582521378993988, 0.59502112865448, 0.5987271070480347, 0.5849242806434631, 0.5747393369674683, 0.5724246501922607, 0.582983136177063, 0.5783894658088684, 0.5732577443122864, 0.5883451700210571, 0.5843190550804138, 0.5809977054595947, 0.577732264995575, 0.5662984251976013, 0.5699107646942139, 0.5903598666191101, 0.5862557291984558, 0.5790802836418152, 0.5826489925384521, 0.5783244967460632, 0.5837812423706055, 0.5662750005722046, 0.5777422785758972, 0.5871457457542419, 0.5870493650436401, 0.578067421913147, 0.5794137716293335, 0.5830076932907104, 0.5787641406059265, 0.5786464214324951, 0.5709256529808044, 0.5956875681877136, 0.5862093567848206, 0.5811814069747925, 0.5851638317108154, 0.5857340097427368, 0.5862945914268494, 0.5832463502883911, 0.5850870013237, 0.584879457950592, 0.5848697423934937, 0.5931532979011536, 0.5889344215393066, 0.5790398716926575, 0.5751264691352844, 0.578535258769989, 0.5925266742706299, 0.5800015926361084, 0.5826935172080994, 0.5748110413551331, 0.5804604291915894, 0.583389401435852, 0.5723913311958313, 0.5748887062072754, 0.5770843625068665, 0.572738528251648, 0.5792697072029114, 0.5884373784065247, 0.5910347104072571, 0.5893692970275879, 0.5728110671043396, 0.5775309801101685, 0.5872359871864319, 0.5910384654998779, 0.5781766176223755, 0.583777666091919, 0.5776321291923523, 0.5811983942985535, 0.5780638456344604, 0.5679188966751099, 0.5831062197685242, 0.5825047492980957, 0.5696321725845337, 0.5759804844856262, 0.584412157535553, 0.5802308917045593, 0.5715873837471008, 0.5724862813949585, 0.5853302478790283, 0.5925605297088623, 0.5893514156341553, 0.5745280981063843, 0.5946803689002991, 0.5784718990325928, 0.5748127698898315, 0.5860860347747803, 0.5904335975646973, 0.5834689140319824, 0.5848475098609924, 0.583695650100708, 0.5749176740646362, 0.5824039578437805, 0.5843049883842468, 0.5713776350021362, 0.5763624906539917, 0.5662447214126587, 0.5750657916069031, 0.583977222442627, 0.5898048877716064, 0.5817266702651978, 0.5723710060119629, 0.5877392888069153, 0.5850914120674133, 0.5728048086166382, 0.57523113489151, 0.5837804675102234, 0.6023499965667725, 0.5783700942993164, 0.5834413766860962, 0.5906519889831543, 0.5869221687316895, 0.5779526233673096, 0.5969060063362122, 0.5787457823753357, 0.5814061760902405, 0.5832581520080566, 0.5767035484313965, 0.5744036436080933, 0.5820515751838684, 0.5745974183082581, 0.5690169930458069, 0.5881825685501099, 0.5776835083961487, 0.5719848871231079, 0.5816541314125061, 0.5897241830825806, 0.5842428207397461, 0.5651650428771973, 0.5918264985084534, 0.5869631767272949, 0.580784022808075, 0.5678565502166748, 0.57785564661026, 0.5786274671554565, 0.5856944918632507, 0.5863248109817505, 0.5675778388977051, 0.587074339389801, 0.5825474858283997, 0.5944546461105347, 0.5670534372329712, 0.5803613066673279]"
train_acc_list,"[13.454470155821296, 22.575969353419268, 36.97779158254387, 60.92043277941709, 69.84521406015428, 71.51731635347105, 74.12124035823368, 74.17300823109179, 71.38789667132578, 72.27312729719935, 71.48107884247035, 73.07035253921417, 74.18336180566341, 75.20318890096806, 75.28601749754102, 74.7735155562458, 75.57591758554642, 72.58373453434798, 72.70280064192163, 75.70016048040587, 75.97453020655381, 76.20230884712947, 77.13413055857535, 75.38437645597142, 76.69410363928147, 76.29031423098824, 77.1134234094321, 77.67251643629963, 77.3670859864368, 78.26267018688202, 78.01418439716312, 77.91582543873272, 77.78122896930165, 78.2989076978827, 78.10736656830771, 78.49044882745768, 77.662162861728, 78.66128280788942, 78.41279701817052, 77.38261634829425, 77.8071129057307, 78.44903452917119, 78.70787389346172, 77.78640575658746, 77.92617901330433, 78.53703991302997, 78.39208986902729, 78.08148263187866, 78.0038308225915, 77.97277009887664, 77.68287001087126, 77.82782005487394, 78.06595227002123, 78.37138271988404, 77.92617901330433, 77.97277009887664, 77.78640575658746, 78.12807371745095, 77.91582543873272, 77.83299684215976, 78.35585235802661, 78.07630584459284, 77.94688616244758, 78.08665941916446, 77.91582543873272, 77.99347724801989, 77.97794688616246, 78.10736656830771, 77.92617901330433, 77.66733964901383, 78.18501837759486, 77.72428430915774, 78.38173629445566, 78.13842729202257, 78.33514520888338, 77.72428430915774, 77.56380390329761, 78.24196303773878, 77.75016824558679, 78.36102914531241, 78.01936118444893, 78.13325050473676, 78.10736656830771, 77.88476471501787, 77.92100222601853, 77.95723973701921, 77.662162861728, 78.34032199616918, 78.25749339959621, 77.55345032872599, 78.39726665631309, 78.74411140446239, 77.95723973701921, 78.27302376145364, 77.82264326758813, 78.04524512087798, 77.80193611844489, 77.83299684215976, 78.16948801573743, 78.25231661231041, 78.10736656830771, 78.10736656830771, 78.11254335559352, 78.10736656830771, 78.01936118444893, 77.95206294973339, 77.71910752187192, 78.26784697416784, 77.77087539473003, 78.14360407930837, 78.49044882745768, 78.48009525288606, 78.26784697416784, 78.15913444116582, 78.49044882745768, 78.17984159030905, 77.8071129057307, 77.76569860744422, 77.99865403530569, 78.1487808665942, 78.43350416731376, 78.25231661231041, 78.1021897810219, 77.66733964901383, 77.97277009887664, 78.36102914531241, 78.19019516488068, 78.45938810374282, 78.1021897810219, 78.01418439716312, 77.49650566858209, 77.83299684215976, 77.63110213801315, 78.17466480302325, 77.8071129057307, 78.32996842159756, 78.36102914531241, 77.98830046073407, 77.84335041673137, 78.15395765388, 78.5473934876016, 77.91582543873272, 78.26267018688202, 78.39726665631309, 77.78122896930165, 78.07630584459284, 78.23678625045297, 77.57933426515504, 78.03489154630637, 77.77087539473003, 77.80193611844489, 77.55345032872599, 77.42920743386654, 77.96241652430501, 77.64663249987058, 78.2057255267381, 77.91582543873272, 78.27820054873945, 78.08665941916446, 78.08665941916446, 77.94170937516178, 78.38173629445566, 77.39296992286587, 78.10736656830771, 77.6052182015841, 78.32996842159756, 78.29373091059688, 77.79158254387328, 77.62074856344154, 77.71393073458611, 77.70357716001449, 78.0555986954496, 77.98312367344826, 78.37138271988404, 78.51115597660092, 78.22643267588136, 78.09183620645028, 78.33514520888338, 77.43956100843816, 78.34032199616918, 77.64663249987058, 78.36102914531241, 78.06595227002123, 78.02971475902055, 78.13842729202257, 77.96759331159082, 77.73463788372936, 78.0555986954496, 77.31014132629291, 77.55345032872599, 78.23678625045297, 77.4085002847233, 77.99865403530569, 78.06077548273541, 78.25749339959621, 77.95723973701921, 77.64663249987058, 77.98830046073407, 78.1487808665942, 78.1487808665942, 78.44385774188538, 78.09183620645028, 78.2989076978827, 78.61986850960294, 77.75016824558679, 77.9106486514469, 77.8071129057307, 78.34549878345499, 78.00900760987732, 78.22125588859554, 78.21607910130973, 78.03489154630637, 78.39208986902729, 77.72946109644354, 78.3040844851685, 78.25749339959621, 78.24196303773878, 77.71393073458611, 77.9106486514469, 78.1487808665942, 78.08148263187866, 77.83299684215976, 78.3040844851685, 77.98830046073407, 78.44385774188538, 77.54827354144018, 77.57933426515504, 77.53274317958275, 78.45938810374282, 78.23160946316716, 78.02453797173474, 77.95723973701921, 77.84852720401719, 77.7553450328726, 78.88906144846509, 78.53703991302997, 77.92100222601853, 77.89511828958948, 78.07630584459284, 78.23160946316716, 77.87958792773205, 78.07112905730703, 78.03489154630637, 77.94170937516178, 78.29373091059688, 77.47062173215302, 78.27302376145364, 78.39208986902729, 78.46456489102863, 77.70357716001449, 78.3040844851685, 78.10736656830771, 77.6052182015841, 77.99865403530569, 78.37138271988404, 77.98830046073407, 77.56380390329761, 78.4024434435989, 77.97794688616246, 78.43868095459958, 77.67769322358544, 78.1021897810219, 78.0504219081638, 78.12807371745095, 78.02453797173474, 78.1021897810219, 78.00900760987732, 77.68287001087126, 78.14360407930837, 77.81228969301651, 78.39726665631309, 77.94688616244758, 77.84852720401719, 77.47062173215302, 78.21090231402391, 78.42832738002795, 77.68287001087126, 78.28337733602527, 77.97277009887664, 78.28337733602527, 77.63110213801315, 77.662162861728, 78.13325050473676, 77.94688616244758, 77.89511828958948, 77.55345032872599, 77.72946109644354, 77.84852720401719, 77.76052182015842, 77.94170937516178, 78.0038308225915, 78.39208986902729, 77.93135580059015, 77.87441114044624, 78.42832738002795, 77.71393073458611, 77.88476471501787, 78.21090231402391, 77.85370399130301, 77.75016824558679]"
val_acc_list,"[13.390106903424535, 27.21507519478166, 48.32397173400979, 80.15944917557528, 89.30965754665701, 90.08878420003624, 92.38992571117957, 92.67983330313463, 87.98695415836202, 90.10690342453344, 88.0231926073564, 89.58144591411488, 90.75919550643232, 92.35368726218518, 92.00942199673854, 91.17593766986774, 92.24497191520203, 87.58833121942381, 88.89291538322159, 92.67983330313463, 92.17249501721327, 92.86102554810654, 93.94817901793803, 91.8825874252582, 93.13281391556441, 92.00942199673854, 93.38648305852509, 93.42272150751948, 93.51331763000543, 94.4555173038594, 94.54611342634536, 94.6548287733285, 94.6548287733285, 94.69106722232289, 94.40115963036783, 94.76354412031165, 94.6548287733285, 94.74542489581445, 94.6367095488313, 94.74542489581445, 94.92661714078638, 94.6367095488313, 94.74542489581445, 94.69106722232289, 94.79978256930603, 94.85414024279761, 94.8722594672948, 94.83602101830041, 94.76354412031165, 94.92661714078638, 94.81790179380323, 94.79978256930603, 94.76354412031165, 94.79978256930603, 94.78166334480885, 94.81790179380323, 94.76354412031165, 94.79978256930603, 94.81790179380323, 94.85414024279761, 94.83602101830041, 94.890378691792, 94.83602101830041, 94.83602101830041, 94.78166334480885, 94.74542489581445, 94.85414024279761, 94.83602101830041, 94.96285558978076, 94.81790179380323, 94.8722594672948, 94.79978256930603, 94.74542489581445, 94.8722594672948, 94.85414024279761, 94.74542489581445, 94.76354412031165, 94.83602101830041, 94.6729479978257, 94.74542489581445, 94.79978256930603, 94.85414024279761, 94.76354412031165, 94.72730567131727, 94.79978256930603, 94.83602101830041, 94.85414024279761, 94.83602101830041, 94.81790179380323, 94.76354412031165, 94.85414024279761, 94.79978256930603, 94.72730567131727, 94.78166334480885, 94.85414024279761, 94.79978256930603, 94.79978256930603, 94.8722594672948, 94.94473636528356, 94.85414024279761, 94.78166334480885, 94.85414024279761, 94.85414024279761, 94.8722594672948, 94.81790179380323, 94.81790179380323, 94.83602101830041, 94.81790179380323, 94.70918644682007, 94.78166334480885, 94.79978256930603, 94.70918644682007, 94.83602101830041, 94.85414024279761, 94.79978256930603, 94.81790179380323, 94.78166334480885, 94.890378691792, 94.92661714078638, 94.83602101830041, 94.83602101830041, 94.83602101830041, 94.85414024279761, 94.890378691792, 94.81790179380323, 94.890378691792, 94.81790179380323, 94.79978256930603, 94.83602101830041, 94.70918644682007, 94.85414024279761, 94.79978256930603, 94.72730567131727, 94.79978256930603, 94.79978256930603, 94.83602101830041, 94.76354412031165, 94.83602101830041, 94.90849791628918, 94.85414024279761, 94.8722594672948, 94.78166334480885, 94.85414024279761, 94.78166334480885, 94.890378691792, 94.78166334480885, 94.81790179380323, 94.83602101830041, 94.83602101830041, 94.79978256930603, 94.79978256930603, 94.76354412031165, 94.78166334480885, 94.83602101830041, 94.83602101830041, 94.83602101830041, 94.83602101830041, 94.85414024279761, 94.890378691792, 94.72730567131727, 94.85414024279761, 94.72730567131727, 94.83602101830041, 94.81790179380323, 94.8722594672948, 94.81790179380323, 94.76354412031165, 94.79978256930603, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.92661714078638, 94.890378691792, 94.83602101830041, 94.85414024279761, 94.81790179380323, 94.85414024279761, 94.72730567131727, 94.83602101830041, 94.83602101830041, 94.890378691792, 94.81790179380323, 94.92661714078638, 94.96285558978076, 94.85414024279761, 94.74542489581445, 94.92661714078638, 94.74542489581445, 94.79978256930603, 94.85414024279761, 94.81790179380323, 94.81790179380323, 94.83602101830041, 94.85414024279761, 94.76354412031165, 94.81790179380323, 94.78166334480885, 94.890378691792, 94.81790179380323, 94.79978256930603, 94.890378691792, 94.85414024279761, 94.890378691792, 94.83602101830041, 94.78166334480885, 94.83602101830041, 94.85414024279761, 94.78166334480885, 94.72730567131727, 94.81790179380323, 94.83602101830041, 94.85414024279761, 94.76354412031165, 94.85414024279761, 94.81790179380323, 94.79978256930603, 94.890378691792, 94.81790179380323, 94.83602101830041, 94.81790179380323, 94.79978256930603, 94.78166334480885, 94.79978256930603, 94.92661714078638, 94.90849791628918, 94.8722594672948, 94.74542489581445, 94.83602101830041, 94.79978256930603, 94.83602101830041, 94.92661714078638, 94.85414024279761, 94.79978256930603, 94.78166334480885, 94.81790179380323, 94.890378691792, 94.8722594672948, 94.72730567131727, 94.83602101830041, 94.94473636528356, 94.78166334480885, 94.79978256930603, 94.90849791628918, 94.85414024279761, 94.90849791628918, 94.83602101830041, 94.78166334480885, 94.76354412031165, 94.81790179380323, 94.79978256930603, 94.79978256930603, 94.90849791628918, 94.8722594672948, 94.79978256930603, 94.890378691792, 94.76354412031165, 94.81790179380323, 94.83602101830041, 94.76354412031165, 94.79978256930603, 94.90849791628918, 94.8722594672948, 94.92661714078638, 94.81790179380323, 94.81790179380323, 94.890378691792, 94.83602101830041, 94.79978256930603, 94.74542489581445, 94.79978256930603, 94.85414024279761, 94.81790179380323, 94.85414024279761, 94.8722594672948, 94.85414024279761, 94.92661714078638, 94.78166334480885, 94.83602101830041, 94.90849791628918, 94.8722594672948, 94.74542489581445, 94.76354412031165, 94.76354412031165, 94.90849791628918, 94.890378691792, 94.92661714078638, 94.83602101830041, 94.83602101830041, 94.78166334480885, 94.8722594672948, 94.8722594672948, 94.92661714078638, 94.85414024279761, 94.94473636528356, 94.81790179380323, 94.81790179380323, 94.8722594672948, 94.79978256930603, 94.8722594672948, 94.85414024279761]"
test_acc,95.3243928959768
