,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,RESNET18
loss_list,"[1.031009316444397, 0.3768979609012604, 0.27063438296318054, 0.21749968826770782, 0.18395589292049408, 0.1589878499507904, 0.1457112431526184, 0.1282140016555786, 0.11904264986515045, 0.09957843273878098, 0.09111883491277695, 0.09155069291591644, 0.08291544765233994, 0.07700078934431076, 0.06898010522127151, 0.07023415714502335, 0.06347394734621048, 0.06059666723012924, 0.05605604872107506, 0.05385955423116684, 0.0510176420211792, 0.046125490218400955, 0.04484955221414566, 0.04569920524954796, 0.04321024939417839, 0.042963992804288864, 0.04119059816002846, 0.03638220205903053, 0.03723594546318054, 0.03625637665390968, 0.036978382617235184, 0.03547772020101547, 0.034623462706804276, 0.029584847390651703, 0.03185451030731201, 0.03466618433594704, 0.0293973907828331, 0.02935854159295559, 0.026075216010212898, 0.027774155139923096, 0.026997676119208336, 0.029894348233938217, 0.026646975427865982, 0.02305256761610508, 0.024258414283394814, 0.026963399723172188, 0.02425435371696949, 0.024771636351943016, 0.021669641137123108, 0.022446470335125923, 0.024958860129117966, 0.020812295377254486, 0.021594176068902016, 0.019293978810310364, 0.018926968798041344, 0.01675194688141346, 0.01854805275797844, 0.015925075858831406, 0.01770665869116783, 0.01524387113749981, 0.017868904396891594, 0.01470969058573246, 0.014300798065960407, 0.015891972929239273, 0.016868360340595245, 0.016496408730745316, 0.013987619429826736, 0.015823017805814743, 0.01575275883078575, 0.014915110543370247, 0.014412746764719486, 0.014461221173405647, 0.013356092385947704, 0.013424396514892578, 0.014052210375666618, 0.015025162138044834, 0.01574217900633812, 0.015717236325144768, 0.010567869059741497, 0.011485440656542778, 0.012955914251506329, 0.012755627743899822, 0.014604645781219006, 0.013029859401285648, 0.013447466306388378, 0.01066018920391798, 0.007400714326649904, 0.005966288968920708, 0.007032537367194891, 0.0077310120686888695, 0.006758856121450663, 0.007017973344773054, 0.007841806858778, 0.005635072942823172, 0.005509038455784321, 0.006374894641339779, 0.005127909127622843, 0.005822957959026098, 0.007398582063615322, 0.007119796704500914, 0.005568552762269974, 0.005535316187888384, 0.004850509110838175, 0.004834617953747511, 0.006197757087647915, 0.005619467236101627, 0.00600017374381423, 0.004317287355661392, 0.004026890732347965, 0.005513753276318312, 0.005050579085946083, 0.005772491451352835, 0.004141653422266245, 0.004058980382978916, 0.004466823767870665, 0.0039655594155192375, 0.003991865087300539, 0.005273537244647741, 0.0048271832056343555, 0.004801610019057989, 0.005431263707578182, 0.005415513180196285, 0.0042670792900025845, 0.00493120402097702, 0.004400331526994705, 0.004035580437630415, 0.0039734914898872375, 0.0037421195302158594, 0.004832658916711807, 0.004268919117748737, 0.0038249462377279997, 0.004828483797609806, 0.005846066400408745, 0.00495821051299572, 0.0035988539457321167, 0.003478568745777011, 0.003600051626563072, 0.005187408998608589, 0.0051424759440124035, 0.0038835571613162756, 0.004151497967541218, 0.005341436248272657, 0.004168152809143066, 0.003871526336297393, 0.005749656353145838, 0.0043053338304162025, 0.004702892620116472, 0.00358256115578115, 0.004690880421549082, 0.003955110441893339, 0.004892044700682163, 0.004763233941048384, 0.004312169272452593, 0.0042754351161420345, 0.004603862762451172, 0.0035655791871249676, 0.004485788755118847, 0.0039006981533020735, 0.005065990146249533, 0.0032668928615748882, 0.005470687057822943, 0.005264495965093374, 0.004092357587069273, 0.003839343786239624, 0.004210210405290127, 0.004868535324931145, 0.0038809501565992832, 0.005238394718617201, 0.004512023646384478, 0.006111155729740858, 0.004318038001656532, 0.004495733883231878, 0.004901489708572626, 0.003950789570808411, 0.004080967511981726, 0.003347434103488922, 0.002978249918669462, 0.00444337772205472, 0.003495010081678629, 0.005469940602779388, 0.0045572854578495026, 0.004124869592487812, 0.004611814394593239, 0.0039200447499752045, 0.004182376898825169, 0.004450620152056217, 0.004061629995703697, 0.004705768544226885, 0.00561418104916811, 0.004370054230093956, 0.004419336095452309, 0.004301317967474461, 0.004908066242933273, 0.004185358062386513, 0.005090041551738977, 0.004534283187240362, 0.004326369613409042, 0.00511259725317359, 0.004156823735684156, 0.004388242028653622, 0.0031485017389059067, 0.00343831698410213, 0.0034174213651567698, 0.0044990889728069305, 0.006219239439815283, 0.004567998461425304, 0.005279138218611479, 0.004815383814275265, 0.004383634775876999, 0.003994881175458431, 0.003609307575970888, 0.004175443202257156, 0.004022665321826935, 0.005576541181653738, 0.0038035805337131023, 0.005179786588996649, 0.003818715224042535, 0.004139278084039688, 0.004704805091023445, 0.0043512810952961445, 0.005211575888097286, 0.0035952632315456867, 0.003696608357131481, 0.00522252544760704, 0.0035597055684775114, 0.003677728585898876, 0.003912054933607578, 0.004272854421287775, 0.004304251167923212, 0.004744410049170256, 0.004123572260141373, 0.0043001240119338036, 0.004670335911214352, 0.004995319526642561, 0.004251760896295309, 0.003951763268560171, 0.004329034127295017, 0.004976893309503794, 0.004700770601630211, 0.005012655630707741, 0.004519423469901085, 0.005864821374416351, 0.004536727908998728, 0.004927353467792273, 0.0050129094161093235, 0.004865812137722969, 0.004911799915134907, 0.0037217065691947937, 0.004800816532224417, 0.004945495631545782, 0.004625159315764904, 0.00475635239854455, 0.005480241496115923, 0.004014931619167328, 0.004258887376636267, 0.005443768110126257, 0.004992851987481117, 0.005487540736794472, 0.003628865350037813, 0.004951081238687038, 0.004943758249282837, 0.004990851040929556, 0.004794910550117493, 0.004522648174315691, 0.004394328221678734, 0.005483409855514765, 0.004112549126148224, 0.0047663114964962006, 0.004786865320056677, 0.003386975498870015, 0.005153673700988293, 0.003580903634428978, 0.0044479211792349815, 0.004115303512662649, 0.0036325722467154264, 0.004532554652541876, 0.005122257396578789, 0.005295335315167904, 0.004839853849261999, 0.0039157443679869175, 0.004554176237434149, 0.004017695318907499, 0.005509598180651665, 0.005670961923897266, 0.004208169411867857, 0.004083591978996992, 0.004603560548275709, 0.004829996731132269, 0.004272474907338619, 0.004799485206604004, 0.003901607124134898, 0.004481630865484476, 0.0047104270197451115, 0.0048728822730481625, 0.004984474740922451, 0.005200273357331753, 0.004479624796658754, 0.004344717599451542, 0.004773071501404047, 0.004687413573265076]"
train_acc_list,"[13.029973598384842, 19.92545426308433, 17.792617901330434, 60.95667029041777, 87.74136770720091, 92.31764766785733, 88.28493037221101, 88.30046073406844, 88.75084122793395, 92.23481907128436, 85.31863125744164, 91.52042242584251, 92.84050318372418, 95.20111818605373, 96.81627581922658, 94.05187140860382, 90.17963451881762, 95.90516125692396, 97.74292074338665, 96.78521509551172, 96.84215975565564, 94.11916964331935, 98.03799761867785, 98.14671015167987, 85.28239374644096, 91.42724025469794, 93.31676761401873, 98.09494227882176, 94.38318579489568, 97.58761712481234, 96.83180618108402, 97.69632965781436, 97.25112595123466, 98.04317440596367, 97.5203188900968, 96.89910441579956, 95.71362012734896, 98.42107987782782, 95.67220582906248, 98.33825128125486, 97.9137547238184, 97.35466169695087, 97.02852409794481, 96.71274007351039, 96.33483460164621, 95.38748252834291, 98.64368173111767, 94.94227882176321, 98.43143345239945, 97.55137961381168, 98.83522286069265, 96.21576849407258, 98.39519594139877, 98.26577625925351, 97.48925816638194, 97.35466169695087, 90.6662525236838, 98.20365481182378, 99.17689082155614, 98.04835119324947, 98.66956566754672, 99.38396231298856, 98.48320132525754, 99.0060568411244, 94.58508049904229, 98.89216752083657, 96.81109903194077, 95.65667546720505, 99.08370865041155, 94.6886162447585, 96.49013822022053, 97.00264016151576, 98.77310141326294, 96.2261220686442, 94.33659470932339, 92.49883522286069, 98.00176010767717, 98.34342806854066, 98.90252109540819, 96.73344722265362, 96.88357405394213, 99.00088005383859, 96.20023813221515, 98.3123673448258, 98.66956566754672, 99.72563027385205, 99.7463374229953, 99.78257493399596, 99.80845887042501, 99.86540353056893, 99.8032820831392, 99.83434280685407, 99.86540353056893, 99.87058031785475, 99.87575710514055, 99.83434280685407, 99.86022674328312, 99.83951959413989, 99.86022674328312, 99.87058031785475, 99.8498731687115, 99.88093389242636, 99.8498731687115, 99.86540353056893, 99.89646425428379, 99.82916601956826, 99.86540353056893, 99.86022674328312, 99.87575710514055, 99.84469638142569, 99.88093389242636, 99.89128746699798, 99.88093389242636, 99.86022674328312, 99.86540353056893, 99.88611067971217, 99.87575710514055, 99.83951959413989, 99.91199461614121, 99.83951959413989, 99.88611067971217, 99.86540353056893, 99.9016410415696, 99.88611067971217, 99.86022674328312, 99.87058031785475, 99.91199461614121, 99.90681782885541, 99.9016410415696, 99.91199461614121, 99.87058031785475, 99.9016410415696, 99.88093389242636, 99.8498731687115, 99.88611067971217, 99.9016410415696, 99.87058031785475, 99.89128746699798, 99.91199461614121, 99.89128746699798, 99.92234819071284, 99.90681782885541, 99.8498731687115, 99.88093389242636, 99.88611067971217, 99.93270176528446, 99.89646425428379, 99.91717140342703, 99.92234819071284, 99.88093389242636, 99.88093389242636, 99.86540353056893, 99.87575710514055, 99.87058031785475, 99.86022674328312, 99.93270176528446, 99.92234819071284, 99.87575710514055, 99.86540353056893, 99.88093389242636, 99.86022674328312, 99.86540353056893, 99.90681782885541, 99.8498731687115, 99.8498731687115, 99.8498731687115, 99.89646425428379, 99.83951959413989, 99.86022674328312, 99.92234819071284, 99.87058031785475, 99.91717140342703, 99.88611067971217, 99.87058031785475, 99.90681782885541, 99.91199461614121, 99.89646425428379, 99.94305533985609, 99.88093389242636, 99.91199461614121, 99.89128746699798, 99.86022674328312, 99.85504995599732, 99.88611067971217, 99.89646425428379, 99.88093389242636, 99.88093389242636, 99.88611067971217, 99.90681782885541, 99.87575710514055, 99.9016410415696, 99.9016410415696, 99.86022674328312, 99.9016410415696, 99.93787855257027, 99.87058031785475, 99.88093389242636, 99.92752497799864, 99.9016410415696, 99.88093389242636, 99.9016410415696, 99.92752497799864, 99.91199461614121, 99.84469638142569, 99.9016410415696, 99.88093389242636, 99.89128746699798, 99.85504995599732, 99.91717140342703, 99.89646425428379, 99.9016410415696, 99.87575710514055, 99.93270176528446, 99.85504995599732, 99.92752497799864, 99.88093389242636, 99.83951959413989, 99.89646425428379, 99.91199461614121, 99.91199461614121, 99.89646425428379, 99.85504995599732, 99.93270176528446, 99.87058031785475, 99.9016410415696, 99.89646425428379, 99.90681782885541, 99.92752497799864, 99.93270176528446, 99.88611067971217, 99.90681782885541, 99.88093389242636, 99.91199461614121, 99.85504995599732, 99.87058031785475, 99.87058031785475, 99.9016410415696, 99.9016410415696, 99.90681782885541, 99.87575710514055, 99.82916601956826, 99.88611067971217, 99.89646425428379, 99.89128746699798, 99.92234819071284, 99.89128746699798, 99.86540353056893, 99.90681782885541, 99.88611067971217, 99.91199461614121, 99.89128746699798, 99.90681782885541, 99.87575710514055, 99.87575710514055, 99.92234819071284, 99.89646425428379, 99.92234819071284, 99.92752497799864, 99.91199461614121, 99.9016410415696, 99.91717140342703, 99.88093389242636, 99.88093389242636, 99.89128746699798, 99.90681782885541, 99.88093389242636, 99.89646425428379, 99.88611067971217, 99.87058031785475, 99.87575710514055, 99.86540353056893, 99.8498731687115, 99.90681782885541, 99.87058031785475, 99.88611067971217, 99.85504995599732, 99.89128746699798, 99.87575710514055, 99.87575710514055, 99.88093389242636, 99.86022674328312, 99.90681782885541, 99.88093389242636, 99.87058031785475, 99.87575710514055, 99.88611067971217, 99.88611067971217, 99.89646425428379, 99.86540353056893, 99.89646425428379, 99.93787855257027, 99.86540353056893, 99.89128746699798, 99.86022674328312, 99.88093389242636, 99.86022674328312, 99.90681782885541, 99.87575710514055, 99.85504995599732, 99.92752497799864]"
val_acc_list,"[13.027722413480703, 19.713716252944373, 18.39101286464939, 63.30857039318717, 88.18626562783113, 91.71951440478348, 89.41837289364015, 88.98351150570755, 89.00163073020475, 92.13625656821888, 86.21127015763726, 91.48396448631999, 93.3502446095307, 94.92661714078638, 95.88693603913752, 93.3502446095307, 88.38557709730024, 94.890378691792, 96.48487044754485, 96.33991665156731, 95.68762456966842, 92.62547562964305, 96.66606269251676, 96.5573473455336, 85.23283203478891, 89.99818807755028, 94.12937126290994, 96.3761551005617, 93.65827142598296, 95.7601014676572, 95.3071208552274, 96.48487044754485, 96.593585794528, 96.70230114151114, 95.95941293712629, 95.0896901612611, 94.038775140424, 96.3580358760645, 93.91194056894365, 96.90161261098025, 96.73853959050552, 95.86881681464034, 94.99909403877514, 94.50987497735098, 95.10780938575829, 94.32868273237905, 96.99220873346621, 92.77042942562058, 97.02844718246058, 96.03188983511505, 97.04656640695778, 94.0206559159268, 97.35459322341003, 96.26743975357854, 95.86881681464034, 96.10436673310382, 89.45461134263454, 96.03188983511505, 97.445189345896, 96.70230114151114, 96.52110889653923, 97.66262003986229, 96.73853959050552, 96.93785105997463, 93.58579452799421, 97.22775865192969, 95.52455154919369, 94.70918644682007, 97.55390469287914, 92.9516216705925, 95.36147852871896, 95.47019387570212, 96.95597028447183, 94.6729479978257, 92.33556803768799, 90.99474542489581, 96.32179742707012, 96.5754665700308, 97.15528175394094, 95.70574379416561, 95.32524007972458, 97.73509693785107, 94.20184816089872, 96.64794346801958, 96.3761551005617, 97.95252763181736, 97.97064685631454, 98.06124297880051, 98.06124297880051, 98.04312375430332, 98.11560065229207, 98.00688530530893, 98.13371987678927, 98.02500452980613, 98.02500452980613, 98.0793622032977, 98.15183910128647, 98.04312375430332, 98.13371987678927, 98.11560065229207, 98.18807755028085, 98.02500452980613, 98.06124297880051, 98.15183910128647, 98.0793622032977, 98.06124297880051, 98.06124297880051, 97.91628918282298, 98.02500452980613, 98.15183910128647, 98.11560065229207, 98.09748142779489, 98.0793622032977, 98.09748142779489, 98.04312375430332, 98.00688530530893, 98.13371987678927, 98.0793622032977, 98.11560065229207, 98.15183910128647, 98.09748142779489, 98.13371987678927, 98.13371987678927, 98.11560065229207, 98.09748142779489, 98.0793622032977, 98.09748142779489, 98.11560065229207, 98.13371987678927, 98.13371987678927, 98.13371987678927, 98.11560065229207, 98.13371987678927, 98.13371987678927, 98.0793622032977, 98.11560065229207, 98.09748142779489, 98.11560065229207, 98.09748142779489, 98.11560065229207, 98.11560065229207, 98.11560065229207, 98.13371987678927, 98.13371987678927, 98.09748142779489, 98.13371987678927, 98.0793622032977, 98.09748142779489, 98.09748142779489, 98.13371987678927, 98.09748142779489, 98.11560065229207, 98.13371987678927, 98.11560065229207, 98.11560065229207, 98.11560065229207, 98.13371987678927, 98.09748142779489, 98.15183910128647, 98.11560065229207, 98.16995832578365, 98.0793622032977, 98.11560065229207, 98.13371987678927, 98.09748142779489, 98.11560065229207, 98.11560065229207, 98.09748142779489, 98.0793622032977, 98.0793622032977, 98.11560065229207, 98.13371987678927, 98.09748142779489, 98.13371987678927, 98.13371987678927, 98.13371987678927, 98.15183910128647, 98.13371987678927, 98.06124297880051, 98.09748142779489, 98.15183910128647, 98.13371987678927, 98.11560065229207, 98.09748142779489, 98.09748142779489, 98.09748142779489, 98.15183910128647, 98.09748142779489, 98.0793622032977, 98.11560065229207, 98.15183910128647, 98.11560065229207, 98.11560065229207, 98.15183910128647, 98.13371987678927, 98.11560065229207, 98.15183910128647, 98.0793622032977, 98.0793622032977, 98.09748142779489, 98.11560065229207, 98.11560065229207, 98.09748142779489, 98.0793622032977, 98.11560065229207, 98.11560065229207, 98.11560065229207, 98.16995832578365, 98.13371987678927, 98.11560065229207, 98.18807755028085, 98.09748142779489, 98.09748142779489, 98.11560065229207, 98.09748142779489, 98.09748142779489, 98.13371987678927, 98.13371987678927, 98.15183910128647, 98.11560065229207, 98.11560065229207, 98.13371987678927, 98.11560065229207, 98.16995832578365, 98.13371987678927, 98.0793622032977, 98.11560065229207, 98.11560065229207, 98.11560065229207, 98.16995832578365, 98.16995832578365, 98.09748142779489, 98.11560065229207, 98.0793622032977, 98.09748142779489, 98.16995832578365, 98.15183910128647, 98.09748142779489, 98.09748142779489, 98.15183910128647, 98.13371987678927, 98.11560065229207, 98.11560065229207, 98.09748142779489, 98.15183910128647, 98.16995832578365, 98.09748142779489, 98.11560065229207, 98.11560065229207, 98.11560065229207, 98.11560065229207, 98.11560065229207, 98.11560065229207, 98.11560065229207, 98.09748142779489, 98.11560065229207, 98.15183910128647, 98.09748142779489, 98.15183910128647, 98.13371987678927, 98.13371987678927, 98.16995832578365, 98.15183910128647, 98.11560065229207, 98.09748142779489, 98.15183910128647, 98.16995832578365, 98.15183910128647, 98.18807755028085, 98.15183910128647, 98.15183910128647, 98.15183910128647, 98.11560065229207, 98.11560065229207, 98.11560065229207, 98.09748142779489, 98.11560065229207, 98.09748142779489, 98.09748142779489, 98.13371987678927, 98.09748142779489, 98.0793622032977, 98.16995832578365, 98.13371987678927, 98.15183910128647, 98.11560065229207, 98.11560065229207, 98.13371987678927, 98.13371987678927, 98.11560065229207, 98.09748142779489, 98.15183910128647, 98.15183910128647, 98.09748142779489, 98.11560065229207, 98.13371987678927, 98.13371987678927, 98.09748142779489, 98.11560065229207, 98.09748142779489]"
test_acc,97.86154403769481
