,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,RESNET18
loss_list,"[1.498380422592163, 1.0344749689102173, 0.9146887063980103, 0.858062744140625, 0.8254900574684143, 0.8027560114860535, 0.7878134250640869, 0.7607995867729187, 0.7575515508651733, 0.7327796816825867, 0.7263217568397522, 0.7051385641098022, 0.7162429690361023, 0.6916155815124512, 0.6933929324150085, 0.6884411573410034, 0.6797152757644653, 0.686346173286438, 0.6888244152069092, 0.6734495759010315, 0.6584446430206299, 0.6582440137863159, 0.6519595384597778, 0.6531500816345215, 0.659620463848114, 0.65239417552948, 0.6465778350830078, 0.6333962678909302, 0.6405243277549744, 0.6335514783859253, 0.6427393555641174, 0.6393740773200989, 0.6454310417175293, 0.6382745504379272, 0.6059281826019287, 0.6200427412986755, 0.6171059012413025, 0.6218158602714539, 0.6188250780105591, 0.6121037006378174, 0.6180660128593445, 0.6140298247337341, 0.5959659814834595, 0.6156424880027771, 0.6211293339729309, 0.6167849898338318, 0.6212123036384583, 0.6123849153518677, 0.6122329831123352, 0.6165859699249268, 0.6210659742355347, 0.6221451163291931, 0.6142824292182922, 0.6140404343605042, 0.6125308871269226, 0.6060318946838379, 0.6265994906425476, 0.621687650680542, 0.6181126236915588, 0.6119347810745239, 0.6123625040054321, 0.600667417049408, 0.611150860786438, 0.6201022267341614, 0.6118534803390503, 0.6188409924507141, 0.6258200407028198, 0.6278777122497559, 0.6179602742195129, 0.6302878260612488, 0.6103523969650269, 0.6174544095993042, 0.6087810397148132, 0.6135914921760559, 0.6149026155471802, 0.6227771043777466, 0.6214171051979065, 0.6186333298683167, 0.6018783450126648, 0.6049033403396606, 0.6062315106391907, 0.6291274428367615, 0.6235979199409485, 0.6095260381698608, 0.6150120496749878, 0.6144640445709229, 0.6134543418884277, 0.6147831082344055, 0.6158252954483032, 0.6052011251449585, 0.6272668242454529, 0.6185088157653809, 0.6036940217018127, 0.6071590781211853, 0.6046127080917358, 0.6197491884231567, 0.6316920518875122, 0.6153049468994141, 0.6087915301322937, 0.6124454140663147, 0.6185628175735474, 0.6293407082557678, 0.6084173917770386, 0.6265766620635986, 0.6178118586540222, 0.6018335819244385, 0.6137258410453796, 0.6268197894096375, 0.607556164264679, 0.5917023420333862, 0.612488329410553, 0.6143231391906738, 0.6251561641693115, 0.6146326065063477, 0.6083317399024963, 0.6229398846626282, 0.618685245513916, 0.6197580099105835, 0.6193820238113403, 0.6255400776863098, 0.6070773005485535, 0.6097095012664795, 0.6147367358207703, 0.6155812740325928, 0.6174442768096924, 0.6214877963066101, 0.625994086265564, 0.6170463562011719, 0.5936337113380432, 0.621381402015686, 0.6167241334915161, 0.6326330304145813, 0.6146808862686157, 0.6254048943519592, 0.6075959205627441, 0.6202664375305176, 0.6121475696563721, 0.6053801774978638, 0.6215125918388367, 0.6194971799850464, 0.6215239763259888, 0.6047943830490112, 0.6048932671546936, 0.6137391328811646, 0.6142821907997131, 0.6183969378471375, 0.6153685450553894, 0.6141107678413391, 0.618285059928894, 0.6042270064353943, 0.6111605167388916, 0.6264181733131409, 0.6093186140060425, 0.6114047169685364, 0.6208436489105225, 0.6132529973983765, 0.6066926717758179, 0.6064375638961792, 0.6125874519348145, 0.6146805286407471, 0.6249756217002869, 0.609117865562439, 0.6116465926170349, 0.6071498394012451, 0.6280915141105652, 0.6192640066146851, 0.6171498894691467, 0.6184009909629822, 0.6138817667961121, 0.6085403561592102, 0.6194239854812622, 0.6104042530059814, 0.6097878813743591, 0.6166808009147644, 0.6053647398948669, 0.612462043762207, 0.6084959506988525, 0.6278110146522522, 0.6093826293945312, 0.6164147257804871, 0.6225088834762573, 0.6052851676940918, 0.62382972240448, 0.6169646382331848, 0.6102650761604309, 0.6211657524108887, 0.6204002499580383, 0.6164970397949219, 0.6250830292701721, 0.6148340702056885, 0.6193779706954956, 0.6073174476623535, 0.6204671263694763, 0.6204550266265869, 0.6159796714782715, 0.6188970804214478, 0.6128209233283997, 0.6162305474281311, 0.6154031753540039, 0.6091911792755127, 0.6173935532569885, 0.6181888580322266, 0.620374321937561, 0.5962091684341431, 0.6199786067008972, 0.6203879117965698, 0.6204368472099304, 0.614683210849762, 0.6033892035484314, 0.6203314661979675, 0.6261465549468994, 0.6144567131996155, 0.619055449962616, 0.6099598407745361, 0.614814281463623, 0.6008195281028748, 0.6155497431755066, 0.6156310439109802, 0.6071922183036804, 0.6018445491790771, 0.623434841632843, 0.6180769801139832, 0.6145111322402954, 0.6026613116264343, 0.6178743243217468, 0.6094777584075928, 0.6094912886619568, 0.6117032766342163, 0.6100776791572571, 0.6127849817276001, 0.615983247756958, 0.6126384139060974, 0.6159147620201111, 0.6176937222480774, 0.6240086555480957, 0.6217385530471802, 0.6027992963790894, 0.6108803153038025, 0.6150655150413513, 0.6089881658554077, 0.614597499370575, 0.6139795184135437, 0.6157204508781433, 0.6184202432632446, 0.6101197004318237, 0.6065742373466492, 0.6223586797714233, 0.619097888469696, 0.6100839376449585, 0.6111365556716919, 0.6076096892356873, 0.6144665479660034, 0.6141930818557739, 0.6185738444328308, 0.6139140129089355, 0.6241955757141113, 0.6133102178573608, 0.6078818440437317, 0.6035271286964417, 0.6184552907943726, 0.6159824728965759, 0.6066173315048218, 0.6085243821144104, 0.6163493990898132, 0.6120898127555847, 0.6051033139228821, 0.6143606901168823, 0.6136383414268494, 0.6130622625350952, 0.6161643862724304, 0.6186169385910034, 0.6106066703796387, 0.6104604005813599, 0.6127229928970337, 0.6137487292289734, 0.6170134544372559, 0.6199350953102112, 0.6130850911140442, 0.6119793653488159, 0.598795473575592, 0.6082483530044556, 0.609802782535553, 0.621468722820282, 0.6146344542503357, 0.6143258213996887, 0.6146951913833618, 0.6084122061729431, 0.6303732395172119, 0.619940996170044, 0.6056290864944458, 0.6185296177864075, 0.6159692406654358, 0.6023650765419006, 0.6113345623016357, 0.6040463447570801, 0.6257637739181519, 0.6156894564628601, 0.6105217933654785, 0.608767032623291, 0.6218835115432739]"
train_acc_list,"[13.526945177822643, 16.809028317026453, 36.79660402754051, 55.03960242273644, 64.27499094062225, 68.89268519956515, 70.34736242687788, 70.6062017911684, 72.31454159548584, 69.59672827043536, 71.98840399647979, 72.82186674949527, 72.86845783506756, 73.57250090593777, 73.89863850494383, 72.31454159548584, 73.7381580990837, 74.34384221152352, 73.84169384479992, 73.8313402702283, 74.55091370295594, 72.02464150748045, 73.24636330693171, 74.85116736553296, 70.36806957602111, 72.67173991820675, 74.82528342910389, 73.13765077392969, 75.12553709168091, 73.05482217735674, 73.86757778122896, 75.669099756691, 74.78904591810323, 76.75104829942538, 76.02112129212611, 76.52326965884971, 76.49738572242066, 76.88564476885644, 76.52844644613552, 77.34637883729357, 77.39296992286587, 76.81834653414091, 77.00471087643008, 77.55345032872599, 76.81316974685511, 76.52844644613552, 76.73034115028213, 77.361909199151, 76.96847336542942, 76.84940725785577, 77.1600144950044, 77.13930734586117, 76.99953408914428, 77.23248951700575, 76.9632965781436, 76.69410363928147, 76.85458404514158, 77.04612517471658, 76.78210902314024, 76.87011440699901, 77.1134234094321, 76.49220893513485, 77.12377698400373, 76.69410363928147, 76.97882694000103, 76.73034115028213, 76.78210902314024, 76.94776621628617, 76.97365015271522, 77.01506445100172, 76.82352332142672, 76.78210902314024, 76.67857327742404, 77.01506445100172, 77.45509137029559, 77.27390381529223, 77.54827354144018, 77.23248951700575, 77.12895377128953, 76.33690531656055, 76.89082155614227, 77.33084847543614, 76.88046798157063, 77.00471087643008, 76.83387689599834, 76.9115287052855, 76.74587151213956, 77.13413055857535, 76.97882694000103, 77.07200911114562, 76.79246259771186, 76.81834653414091, 76.92705906714293, 76.75622508671118, 76.5646839571362, 76.80799295956929, 77.13930734586117, 77.05647874928819, 77.3567324118652, 77.04094838743076, 77.3670859864368, 77.02024123828753, 77.5016824558679, 77.21695915514832, 76.81316974685511, 77.23766630429155, 77.2583734534348, 76.83905368328415, 77.1600144950044, 76.70445721385309, 77.02541802557333, 76.66821970285241, 76.99435730185846, 76.96847336542942, 76.57503753170782, 77.29461096443548, 77.77087539473003, 77.02024123828753, 77.20142879329089, 76.77175544856863, 77.04094838743076, 76.55433038256459, 77.31014132629291, 77.30496453900709, 76.90117513071388, 76.89082155614227, 76.85458404514158, 76.8597608324274, 77.26872702800642, 77.04612517471658, 76.27478386913081, 77.28425738986385, 76.82352332142672, 77.2583734534348, 76.31102138013149, 76.55433038256459, 76.69928042656727, 76.42491070041932, 77.12377698400373, 76.99435730185846, 76.68375006470984, 76.72516436299632, 77.02541802557333, 76.85458404514158, 77.22213594243412, 77.1186001967179, 77.4602681575814, 76.9632965781436, 76.68375006470984, 77.2117823678625, 77.02541802557333, 77.17554485686183, 77.1548377077186, 77.1548377077186, 76.79246259771186, 76.70445721385309, 76.98918051457265, 76.38349640213283, 76.94776621628617, 76.99953408914428, 77.34637883729357, 76.85458404514158, 76.94776621628617, 76.84940725785577, 76.73551793756795, 76.90117513071388, 76.97882694000103, 77.72428430915774, 77.42403064658073, 76.56986074442202, 76.68375006470984, 76.68892685199566, 76.84940725785577, 76.97365015271522, 76.76140187399699, 77.02541802557333, 76.9581197908578, 77.18589843143346, 77.21695915514832, 76.64233576642336, 76.96847336542942, 77.27908060257805, 76.82352332142672, 76.78210902314024, 76.47150178599162, 77.44991458300979, 76.87529119428483, 76.77693223585443, 77.06683232385981, 77.27908060257805, 76.6630429155666, 76.53362323342134, 77.1082466221463, 76.87011440699901, 77.23248951700575, 76.51291608427809, 76.9115287052855, 77.1134234094321, 77.5016824558679, 77.4602681575814, 77.29461096443548, 77.1548377077186, 76.84940725785577, 77.06165553657401, 76.67857327742404, 77.48615209401045, 76.62680540456593, 77.29978775172128, 76.9581197908578, 76.89082155614227, 77.31014132629291, 77.02024123828753, 76.80281617228349, 76.40420355127607, 77.19625200600507, 77.32049490086452, 76.95294300357199, 77.06165553657401, 77.8071129057307, 76.75622508671118, 77.14448413314697, 77.23248951700575, 76.98400372728685, 77.04094838743076, 76.9063519179997, 76.72516436299632, 76.67339649013823, 77.08236268571724, 77.07200911114562, 77.04612517471658, 77.04612517471658, 76.90117513071388, 77.18589843143346, 76.8597608324274, 77.31014132629291, 76.68375006470984, 77.02541802557333, 77.19107521871926, 77.27390381529223, 76.51291608427809, 76.54915359527877, 77.14448413314697, 77.02024123828753, 76.65786612828079, 76.98400372728685, 76.7148107884247, 77.59486462701247, 77.20142879329089, 77.00988766371589, 77.32567168815034, 76.35243567841798, 77.02024123828753, 76.67339649013823, 77.49132888129627, 76.63715897913754, 77.48615209401045, 77.48615209401045, 76.9063519179997, 77.18589843143346, 77.06683232385981, 77.28425738986385, 76.67339649013823, 77.1600144950044, 76.3679660402754, 77.28425738986385, 76.94776621628617, 76.63715897913754, 77.22213594243412, 76.71998757571052, 77.10306983486048, 76.57503753170782, 76.67857327742404, 77.22213594243412, 76.74587151213956, 77.60004141429829, 77.51203603043952, 76.66821970285241, 76.83387689599834, 76.85458404514158, 76.99953408914428, 77.06683232385981, 76.98918051457265, 77.07200911114562, 77.06683232385981, 76.82870010871254, 76.69928042656727, 77.02024123828753, 76.89082155614227, 77.1548377077186, 76.70445721385309, 77.06165553657401, 77.04612517471658, 76.92705906714293, 77.85370399130301, 76.88564476885644, 77.2117823678625, 76.77693223585443, 76.81834653414091, 76.87529119428483, 76.75104829942538]"
val_acc_list,"[13.172676209458235, 17.611886211270157, 47.85287189708281, 73.61840913208914, 84.36310925892371, 89.63580358760646, 91.90070664975539, 91.48396448631999, 93.38648305852509, 89.79887660808117, 92.62547562964305, 93.22341003805037, 93.45895995651387, 94.32868273237905, 94.56423265084254, 92.67983330313463, 94.07501358941838, 95.18028628374705, 94.00253669142961, 93.8032252219605, 94.96285558978076, 91.8825874252582, 94.54611342634536, 94.6729479978257, 89.20094219967385, 93.47707918101106, 95.45207465120494, 91.81011052726943, 95.47019387570212, 92.98786011958688, 95.0534517122667, 96.53922812103643, 95.70574379416561, 96.1587244065954, 96.97408950896902, 97.06468563145498, 97.17340097843812, 97.33647399891284, 96.93785105997463, 97.19152020293531, 97.04656640695778, 97.30023554991847, 97.28211632542127, 97.26399710092409, 97.22775865192969, 97.19152020293531, 97.19152020293531, 97.24587787642689, 97.2096394274325, 97.24587787642689, 97.22775865192969, 97.2096394274325, 97.24587787642689, 97.24587787642689, 97.28211632542127, 97.30023554991847, 97.24587787642689, 97.26399710092409, 97.2096394274325, 97.22775865192969, 97.22775865192969, 97.22775865192969, 97.30023554991847, 97.24587787642689, 97.2096394274325, 97.22775865192969, 97.17340097843812, 97.22775865192969, 97.22775865192969, 97.22775865192969, 97.22775865192969, 97.26399710092409, 97.22775865192969, 97.2096394274325, 97.22775865192969, 97.2096394274325, 97.2096394274325, 97.24587787642689, 97.24587787642689, 97.19152020293531, 97.2096394274325, 97.24587787642689, 97.28211632542127, 97.22775865192969, 97.22775865192969, 97.28211632542127, 97.22775865192969, 97.31835477441565, 97.24587787642689, 97.30023554991847, 97.24587787642689, 97.22775865192969, 97.22775865192969, 97.24587787642689, 97.24587787642689, 97.22775865192969, 97.24587787642689, 97.19152020293531, 97.22775865192969, 97.24587787642689, 97.24587787642689, 97.24587787642689, 97.26399710092409, 97.22775865192969, 97.10092408044936, 97.28211632542127, 97.26399710092409, 97.26399710092409, 97.22775865192969, 97.22775865192969, 97.26399710092409, 97.33647399891284, 97.22775865192969, 97.26399710092409, 97.28211632542127, 97.30023554991847, 97.28211632542127, 97.22775865192969, 97.22775865192969, 97.2096394274325, 97.24587787642689, 97.19152020293531, 97.22775865192969, 97.26399710092409, 97.2096394274325, 97.19152020293531, 97.33647399891284, 97.22775865192969, 97.26399710092409, 97.22775865192969, 97.22775865192969, 97.22775865192969, 97.24587787642689, 97.2096394274325, 97.31835477441565, 97.22775865192969, 97.26399710092409, 97.26399710092409, 97.30023554991847, 97.31835477441565, 97.30023554991847, 97.19152020293531, 97.30023554991847, 97.26399710092409, 97.28211632542127, 97.28211632542127, 97.30023554991847, 97.30023554991847, 97.30023554991847, 97.26399710092409, 97.24587787642689, 97.2096394274325, 97.26399710092409, 97.26399710092409, 97.31835477441565, 97.22775865192969, 97.22775865192969, 97.24587787642689, 97.28211632542127, 97.24587787642689, 97.28211632542127, 97.26399710092409, 97.22775865192969, 97.17340097843812, 97.22775865192969, 97.26399710092409, 97.24587787642689, 97.26399710092409, 97.26399710092409, 97.24587787642689, 97.26399710092409, 97.24587787642689, 97.24587787642689, 97.24587787642689, 97.24587787642689, 97.26399710092409, 97.31835477441565, 97.22775865192969, 97.24587787642689, 97.28211632542127, 97.26399710092409, 97.30023554991847, 97.22775865192969, 97.24587787642689, 97.26399710092409, 97.28211632542127, 97.22775865192969, 97.30023554991847, 97.22775865192969, 97.22775865192969, 97.28211632542127, 97.24587787642689, 97.30023554991847, 97.2096394274325, 97.17340097843812, 97.30023554991847, 97.31835477441565, 97.28211632542127, 97.30023554991847, 97.28211632542127, 97.28211632542127, 97.26399710092409, 97.24587787642689, 97.35459322341003, 97.22775865192969, 97.2096394274325, 97.33647399891284, 97.28211632542127, 97.30023554991847, 97.26399710092409, 97.22775865192969, 97.33647399891284, 97.28211632542127, 97.2096394274325, 97.31835477441565, 97.28211632542127, 97.31835477441565, 97.26399710092409, 97.22775865192969, 97.26399710092409, 97.2096394274325, 97.28211632542127, 97.24587787642689, 97.26399710092409, 97.19152020293531, 97.2096394274325, 97.28211632542127, 97.30023554991847, 97.28211632542127, 97.30023554991847, 97.2096394274325, 97.19152020293531, 97.24587787642689, 97.22775865192969, 97.24587787642689, 97.22775865192969, 97.28211632542127, 97.31835477441565, 97.19152020293531, 97.22775865192969, 97.24587787642689, 97.24587787642689, 97.2096394274325, 97.22775865192969, 97.26399710092409, 97.26399710092409, 97.15528175394094, 97.24587787642689, 97.28211632542127, 97.35459322341003, 97.30023554991847, 97.26399710092409, 97.26399710092409, 97.24587787642689, 97.31835477441565, 97.26399710092409, 97.22775865192969, 97.22775865192969, 97.30023554991847, 97.33647399891284, 97.22775865192969, 97.26399710092409, 97.28211632542127, 97.24587787642689, 97.22775865192969, 97.31835477441565, 97.22775865192969, 97.22775865192969, 97.28211632542127, 97.22775865192969, 97.17340097843812, 97.28211632542127, 97.24587787642689, 97.2096394274325, 97.28211632542127, 97.22775865192969, 97.24587787642689, 97.26399710092409, 97.22775865192969, 97.35459322341003, 97.33647399891284, 97.24587787642689, 97.2096394274325, 97.33647399891284, 97.30023554991847, 97.30023554991847, 97.28211632542127, 97.22775865192969, 97.30023554991847, 97.24587787642689, 97.24587787642689, 97.28211632542127, 97.24587787642689, 97.30023554991847, 97.28211632542127, 97.30023554991847, 97.22775865192969, 97.26399710092409, 97.24587787642689, 97.22775865192969]"
test_acc,97.68031895614354
