,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,VGG11
loss_list,"[1.757082462310791, 1.215945839881897, 1.0231224298477173, 0.8970078229904175, 0.7693807482719421, 0.6658982634544373, 0.6658180952072144, 0.6466664671897888, 0.5715701580047607, 0.5515355467796326, 0.47248977422714233, 0.45609891414642334, 0.3892182409763336, 0.4182509779930115, 0.3785298466682434, 0.36987870931625366, 0.34076714515686035, 0.34310391545295715, 0.32256385684013367, 0.31642165780067444, 0.3112829029560089, 0.3082747161388397, 0.3047266900539398, 0.32733362913131714, 0.2977205514907837, 0.27418917417526245, 0.2657683491706848, 0.24841561913490295, 0.2449297457933426, 0.2333364188671112, 0.22686085104942322, 0.21373367309570312, 0.2293156087398529, 0.20565593242645264, 0.20559029281139374, 0.21992354094982147, 0.20663367211818695, 0.18947353959083557, 0.20311717689037323, 0.20613640546798706, 0.20168909430503845, 0.17016877233982086, 0.18002691864967346, 0.18335871398448944, 0.18137258291244507, 0.1603679358959198, 0.1539914757013321, 0.1656842678785324, 0.1606360822916031, 0.16770033538341522, 0.16045618057250977, 0.1418026238679886, 0.13402687013149261, 0.14323368668556213, 0.1325763314962387, 0.13922016322612762, 0.14101019501686096, 0.1306803971529007, 0.13231690227985382, 0.12303254753351212, 0.11238157004117966, 0.12157168239355087, 0.1280795931816101, 0.11864414066076279, 0.13827650249004364, 0.11245925724506378, 0.10515137761831284, 0.11025586724281311, 0.10238216072320938, 0.10301516950130463, 0.1202106848359108, 0.09604136645793915, 0.10189502686262131, 0.09185168147087097, 0.09297781437635422, 0.09418299049139023, 0.08779161423444748, 0.09921552240848541, 0.08434971421957016, 0.08182015269994736, 0.08403000235557556, 0.1065562292933464, 0.08396504074335098, 0.07576113939285278, 0.08233972638845444, 0.08300526440143585, 0.08914145082235336, 0.07724009454250336, 0.08075177669525146, 0.07258900254964828, 0.07219340652227402, 0.08221278339624405, 0.07290516048669815, 0.07146041840314865, 0.0611942894756794, 0.07395917177200317, 0.08706720918416977, 0.1083705797791481, 0.07100041955709457, 0.0600486695766449, 0.06732676178216934, 0.07212205231189728, 0.059304747730493546, 0.05479372665286064, 0.05172059312462807, 0.058889955282211304, 0.07763799279928207, 0.07444772869348526, 0.05621921271085739, 0.07116607576608658, 0.07244863361120224, 0.04298354312777519, 0.0338306725025177, 0.0351821705698967, 0.0321560837328434, 0.029524311423301697, 0.029968982562422752, 0.028111765161156654, 0.028934616595506668, 0.030636081472039223, 0.02889304794371128, 0.025492539629340172, 0.02807961404323578, 0.02716495469212532, 0.02540302835404873, 0.023080626502633095, 0.0234239399433136, 0.02302687056362629, 0.023460902273654938, 0.02416011318564415, 0.02285246178507805, 0.023297686129808426, 0.02562267705798149, 0.025828195735812187, 0.022840116173028946, 0.023019663989543915, 0.021614091470837593, 0.022885756567120552, 0.021274561062455177, 0.02246040850877762, 0.022183792665600777, 0.02302323468029499, 0.02291218936443329, 0.022725464776158333, 0.022099502384662628, 0.022967027500271797, 0.021550502628087997, 0.02050952799618244, 0.01967288926243782, 0.02100384049117565, 0.019285257905721664, 0.020291557535529137, 0.019986208528280258, 0.018857242539525032, 0.02017170749604702, 0.01985633745789528, 0.01848159357905388, 0.019524775445461273, 0.020082464441657066, 0.019909577444195747, 0.020046327263116837, 0.01725526712834835, 0.01990334503352642, 0.020067451521754265, 0.0199827179312706, 0.02115410566329956, 0.018973685801029205, 0.019516825675964355, 0.019288906827569008, 0.018315883353352547, 0.017976844683289528, 0.019954022020101547, 0.017620813101530075, 0.01917499676346779, 0.020857298746705055, 0.02125580981373787, 0.01920856349170208, 0.022145647555589676, 0.02033405937254429, 0.020211802795529366, 0.021365538239479065, 0.02008107863366604, 0.0184655599296093, 0.01899348758161068, 0.020482584834098816, 0.019734736531972885, 0.018386654555797577, 0.016474273055791855, 0.017745977267622948, 0.019349750131368637, 0.019178573042154312, 0.018983975052833557, 0.01874839887022972, 0.01777869276702404, 0.018288131803274155, 0.019651489332318306, 0.017157401889562607, 0.01952086202800274, 0.019843097776174545, 0.01811513490974903, 0.020409924909472466, 0.01866835169494152, 0.02054327353835106, 0.018752409145236015, 0.02006024681031704, 0.020646197721362114, 0.01846650429069996, 0.01872127503156662, 0.02205461636185646, 0.02003886178135872, 0.019698256626725197, 0.019089238718152046, 0.018286993727087975, 0.020274391397833824, 0.02024717628955841, 0.019433733075857162, 0.019481416791677475, 0.017955541610717773, 0.01887417584657669, 0.02003665268421173, 0.019010622054338455, 0.018741430714726448, 0.020352160558104515, 0.019342249259352684, 0.018934156745672226, 0.01861104927957058, 0.020457999780774117, 0.019387220963835716, 0.021842896938323975, 0.019756631925702095, 0.020645197480916977, 0.019533811137080193, 0.01881476864218712, 0.019214756786823273, 0.021218305453658104, 0.019656287506222725, 0.019501544535160065, 0.020059363916516304, 0.019506890326738358, 0.01859092339873314, 0.020714376121759415, 0.019596368074417114, 0.020695239305496216, 0.019617224112153053, 0.01964987814426422, 0.018367286771535873, 0.0183861181139946, 0.017671190202236176, 0.019221045076847076, 0.018288584426045418, 0.01930094324052334, 0.01981579139828682, 0.020153528079390526, 0.01932583749294281, 0.01862752065062523, 0.02003241702914238, 0.019167885184288025, 0.019652917981147766, 0.019579166546463966, 0.020023440942168236, 0.019892768934369087, 0.01935005374252796, 0.020064091309905052, 0.018053844571113586, 0.018957650288939476, 0.01976541243493557, 0.01877809502184391, 0.01774934120476246, 0.020710069686174393, 0.020157501101493835, 0.020686043426394463, 0.019591936841607094, 0.019980253651738167, 0.018848171457648277, 0.019926713779568672, 0.018796896561980247, 0.018358903005719185, 0.019541194662451744, 0.018812645226716995, 0.018869373947381973, 0.02034636028110981, 0.019651159644126892, 0.019194182008504868, 0.020118849352002144, 0.02122935838997364, 0.019272401928901672, 0.019879668951034546, 0.018852856010198593, 0.020008116960525513, 0.01902412436902523, 0.018465515226125717, 0.01879175379872322, 0.02144254371523857, 0.01957649178802967, 0.01808662712574005, 0.01912824623286724, 0.020834142342209816, 0.020303519442677498, 0.019914772361516953, 0.019262071698904037]"
train_acc_list,"[51.28643164052389, 59.81260030025366, 64.02650515090335, 72.67691670549257, 77.03059481285915, 79.08577936532588, 76.74069472485375, 77.77087539473003, 82.84930372211005, 83.25826991768909, 83.14955738468707, 83.73453434798364, 86.73189418646787, 87.91737847491846, 87.63783196148471, 88.49200186364342, 89.20122172179946, 87.95879277320495, 89.32028782937309, 89.77584511052441, 89.80690583423927, 90.15892736967437, 88.97344308122379, 88.11927317906508, 89.81725940881088, 90.96650618626082, 91.71714034270332, 91.84656002484857, 92.19340477299788, 92.66449241600662, 93.43065693430657, 93.13040327172956, 91.91385825956412, 93.67914272402547, 92.98027644044107, 91.22016876326552, 94.03116425946058, 93.33229797587617, 92.93368535486877, 94.3935393694673, 94.03634104674639, 93.72573380959777, 94.65755552104363, 93.51348553087954, 93.446187296164, 94.10881606874774, 92.0018636434229, 93.7412641714552, 94.0881089196045, 93.90174457731531, 95.59973080706114, 95.19594139876793, 95.43925040120101, 95.17005746233887, 95.45478076305844, 95.60490759434694, 96.20023813221515, 96.24165243050163, 96.14329347207124, 96.39695604907594, 96.08634881192731, 96.41248641093337, 95.40301289020034, 96.25718279235906, 96.40730962364756, 96.76450794636848, 97.00264016151576, 96.21059170678676, 97.00781694880158, 97.33395454780764, 97.00264016151576, 96.78521509551172, 96.68167934979552, 97.62903142309882, 96.78003830822591, 97.6704457213853, 96.01905057721179, 97.64456178495625, 97.64973857224206, 97.38054563337992, 97.44784386809546, 96.21576849407258, 97.41160635709478, 97.8102189781022, 97.3650152715225, 97.34430812237925, 96.70756328622457, 97.44266708080966, 97.16312056737588, 97.48925816638194, 98.26577625925351, 97.04405445980224, 98.17259408810892, 97.92928508567583, 97.77915825438733, 97.05958482165968, 97.89822436196096, 97.4685510172387, 97.79468861624477, 97.72221359424341, 97.89304757467515, 97.6704457213853, 98.41590309054202, 98.74721747683388, 97.30289382409278, 98.40554951597039, 96.87839726665631, 98.07423512967853, 98.17259408810892, 97.63938499767045, 98.19847802453798, 98.91805145726562, 99.1095925868406, 99.27524977998654, 99.14065331055546, 99.17689082155614, 99.11994616141223, 99.13029973598385, 99.18206760884195, 99.29078014184397, 99.18206760884195, 99.2131283325568, 99.29078014184397, 99.23901226898587, 99.3529015892737, 99.24418905627168, 99.29595692912979, 99.37360873841695, 99.30113371641559, 99.22348190712844, 99.28042656727236, 99.31148729098722, 99.38396231298856, 99.30113371641559, 99.39949267484599, 99.46161412227572, 99.38396231298856, 99.32701765284465, 99.27524977998654, 99.39431588756018, 99.3477248019879, 99.44090697313247, 99.36843195113113, 99.3477248019879, 99.37878552570275, 99.41502303670342, 99.40984624941761, 99.43573018584667, 99.38913910027438, 99.51855878241963, 99.44090697313247, 99.53408914427706, 99.44090697313247, 99.44090697313247, 99.43573018584667, 99.3580783765595, 99.4564373349899, 99.4512605477041, 99.44090697313247, 99.48749805870477, 99.44090697313247, 99.37360873841695, 99.47714448413315, 99.48232127141895, 99.51338199513383, 99.44090697313247, 99.42019982398924, 99.4512605477041, 99.39431588756018, 99.49267484599058, 99.4564373349899, 99.47714448413315, 99.53408914427706, 99.47714448413315, 99.47714448413315, 99.46679090956152, 99.5547962934203, 99.47196769684734, 99.4046694621318, 99.46161412227572, 99.50820520784801, 99.4564373349899, 99.44608376041828, 99.41502303670342, 99.50820520784801, 99.56514986799192, 99.42537661127504, 99.42019982398924, 99.43055339856085, 99.42537661127504, 99.4978516332764, 99.52373556970544, 99.43055339856085, 99.47714448413315, 99.5030284205622, 99.40984624941761, 99.38913910027438, 99.4564373349899, 99.52891235699126, 99.54444271884869, 99.43573018584667, 99.53408914427706, 99.48232127141895, 99.53408914427706, 99.49267484599058, 99.4512605477041, 99.48749805870477, 99.4512605477041, 99.42537661127504, 99.38396231298856, 99.46161412227572, 99.3477248019879, 99.37878552570275, 99.42537661127504, 99.47196769684734, 99.41502303670342, 99.49267484599058, 99.43055339856085, 99.48749805870477, 99.48232127141895, 99.4564373349899, 99.46679090956152, 99.51855878241963, 99.48749805870477, 99.41502303670342, 99.46679090956152, 99.44608376041828, 99.43055339856085, 99.40984624941761, 99.47714448413315, 99.46161412227572, 99.46161412227572, 99.52891235699126, 99.53408914427706, 99.46161412227572, 99.42537661127504, 99.54444271884869, 99.46161412227572, 99.50820520784801, 99.4978516332764, 99.46679090956152, 99.58585701713517, 99.48232127141895, 99.4564373349899, 99.47196769684734, 99.55997308070611, 99.40984624941761, 99.44090697313247, 99.48232127141895, 99.42019982398924, 99.44090697313247, 99.4564373349899, 99.44090697313247, 99.44090697313247, 99.51855878241963, 99.40984624941761, 99.50820520784801, 99.47196769684734, 99.43573018584667, 99.54961950613449, 99.44090697313247, 99.46161412227572, 99.47714448413315, 99.5547962934203, 99.46679090956152, 99.4564373349899, 99.43573018584667, 99.47714448413315, 99.42019982398924, 99.5030284205622, 99.48749805870477, 99.42537661127504, 99.53408914427706, 99.46679090956152, 99.4512605477041, 99.48232127141895, 99.36325516384532, 99.54961950613449, 99.4512605477041, 99.4978516332764, 99.49267484599058, 99.4564373349899, 99.42019982398924, 99.44608376041828, 99.44090697313247, 99.42537661127504, 99.50820520784801, 99.48232127141895, 99.4512605477041, 99.47714448413315, 99.39431588756018, 99.40984624941761, 99.43055339856085, 99.5030284205622, 99.4046694621318, 99.47196769684734, 99.42019982398924, 99.4512605477041, 99.38396231298856, 99.4564373349899]"
val_acc_list,"[50.951259286102555, 60.337017575647764, 63.96086247508607, 73.47345533611161, 77.45968472549374, 80.08697227758653, 78.76426888929153, 78.99981880775503, 82.65990215618771, 82.58742525819895, 82.84109440115964, 84.99728211632542, 86.26562783112884, 88.09566950534517, 87.08099293350244, 87.78764268889292, 88.56676934227215, 88.07755028084799, 89.63580358760646, 89.87135350606994, 88.74796158724406, 89.45461134263454, 89.79887660808117, 87.09911215799964, 88.94727305671317, 90.21561877151657, 90.75919550643232, 90.86791085341548, 92.11813734372168, 91.41148758833123, 92.9516216705925, 91.97318354774416, 90.61424171045479, 92.67983330313463, 92.78854865011778, 91.08534154738177, 93.54955607899981, 92.44428338467114, 90.8316724044211, 93.33212538503352, 92.9335024460953, 92.77042942562058, 93.40460228302229, 92.9335024460953, 92.55299873165428, 92.5167602826599, 89.69016126109803, 91.68327595578909, 93.29588693603914, 92.82478709911216, 93.96629824243522, 93.71262909947454, 93.87570211994927, 93.45895995651387, 94.32868273237905, 94.14749048740714, 94.4736365283566, 94.8722594672948, 94.38304040587063, 94.54611342634536, 93.87570211994927, 94.69106722232289, 93.54955607899981, 94.92661714078638, 94.890378691792, 94.6367095488313, 94.90849791628918, 94.0206559159268, 94.54611342634536, 94.78166334480885, 95.28900163073021, 94.07501358941838, 94.85414024279761, 95.57890922268527, 94.69106722232289, 95.70574379416561, 93.67639065048016, 95.37959775321616, 94.81790179380323, 94.56423265084254, 95.41583620221054, 93.85758289545207, 95.41583620221054, 95.28900163073021, 94.890378691792, 94.32868273237905, 93.8032252219605, 95.36147852871896, 94.99909403877514, 95.56078999818808, 95.61514767167965, 94.41927885486501, 95.47019387570212, 95.0715709367639, 94.99909403877514, 95.0534517122667, 94.94473636528356, 94.8722594672948, 95.16216705924987, 95.14404783475268, 95.19840550824425, 95.36147852871896, 95.66950534517122, 96.10436673310382, 94.54611342634536, 95.95941293712629, 94.70918644682007, 95.23464395723863, 95.10780938575829, 94.74542489581445, 95.95941293712629, 96.26743975357854, 96.28555897807574, 96.1406051820982, 96.19496285558978, 96.41239354955607, 96.21308208008698, 96.10436673310382, 96.21308208008698, 96.32179742707012, 96.33991665156731, 96.26743975357854, 96.32179742707012, 96.44863199855045, 96.32179742707012, 96.08624750860663, 96.1406051820982, 96.19496285558978, 96.28555897807574, 96.08624750860663, 96.52110889653923, 96.62982424352238, 96.48487044754485, 96.3761551005617, 96.53922812103643, 96.28555897807574, 96.28555897807574, 96.41239354955607, 96.44863199855045, 96.32179742707012, 96.3761551005617, 96.24932052908134, 96.46675122304765, 96.3761551005617, 96.53922812103643, 96.3580358760645, 96.28555897807574, 96.46675122304765, 96.43051277405327, 96.32179742707012, 96.3761551005617, 96.3580358760645, 96.33991665156731, 96.3580358760645, 96.3761551005617, 96.39427432505889, 96.28555897807574, 96.32179742707012, 96.30367820257293, 96.26743975357854, 96.3580358760645, 96.41239354955607, 96.33991665156731, 96.28555897807574, 96.33991665156731, 96.23120130458418, 96.26743975357854, 96.43051277405327, 96.41239354955607, 96.39427432505889, 96.41239354955607, 96.39427432505889, 96.39427432505889, 96.39427432505889, 96.41239354955607, 96.41239354955607, 96.41239354955607, 96.41239354955607, 96.41239354955607, 96.41239354955607, 96.41239354955607, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3761551005617, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.33991665156731, 96.33991665156731, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645, 96.3580358760645]"
test_acc,96.37549836897426
