,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,VGG11
loss_list,"[1.751259446144104, 1.2125991582870483, 1.0104142427444458, 0.8509141802787781, 0.7778992056846619, 0.6837575435638428, 0.6769282221794128, 0.5737932324409485, 0.522906482219696, 0.6987603306770325, 0.5365520715713501, 0.45347705483436584, 0.39572811126708984, 0.3675593435764313, 0.3539672791957855, 0.33268508315086365, 0.32215872406959534, 0.29289335012435913, 0.2561578154563904, 0.2667861878871918, 0.25406309962272644, 0.2167859822511673, 0.21181297302246094, 0.22951433062553406, 0.20017147064208984, 0.18079687654972076, 0.16980043053627014, 0.15175630152225494, 0.13983340561389923, 0.1673046201467514, 0.5438147783279419, 0.23694372177124023, 0.18133796751499176, 0.1424456089735031, 0.12380311638116837, 0.11596138030290604, 0.12226583063602448, 0.10154926031827927, 0.09701114892959595, 0.11067651212215424, 0.0831390917301178, 0.10579070448875427, 0.08974668383598328, 0.06193805858492851, 0.058816276490688324, 0.06497730314731598, 0.06899823248386383, 0.05846317857503891, 0.05049419775605202, 0.06520525366067886, 0.0539427325129509, 0.0553608201444149, 0.036223337054252625, 0.026443306356668472, 0.032008830457925797, 0.030872194096446037, 0.026704104617238045, 0.05321652814745903, 0.11786730587482452, 0.09377682954072952, 0.03848933428525925, 0.025864839553833008, 0.022252561524510384, 0.020262395963072777, 0.018195416778326035, 0.016185343265533447, 0.015128430910408497, 0.01379696000367403, 0.012577599845826626, 0.011483600363135338, 0.010666810907423496, 0.009561927989125252, 0.009000604040920734, 0.008955123834311962, 0.00822318997234106, 0.008118094876408577, 0.007525954861193895, 0.007939247414469719, 0.0066061560064554214, 0.006808326579630375, 0.0063562337309122086, 0.006801173090934753, 0.005961064249277115, 0.005663429852575064, 0.005525070242583752, 0.005366096738725901, 0.004932831972837448, 0.005219176411628723, 0.005387266166508198, 0.0045291827991604805, 0.004551686346530914, 0.004803061485290527, 0.004645667038857937, 0.004078692756593227, 0.004109128378331661, 0.003692065831273794, 0.0037695260252803564, 0.003833227325230837, 0.0039323619566857815, 0.0037168296985328197, 0.0038335579447448254, 0.0032882490195333958, 0.0031985724344849586, 0.0031354613602161407, 0.002938799327239394, 0.002904300345107913, 0.0028998428024351597, 0.0030404801946133375, 0.0025132789742201567, 0.002882556989789009, 0.0028790391515940428, 0.002553011057898402, 0.002420176984742284, 0.0027103296015411615, 0.0024116174317896366, 0.00244206003844738, 0.002322468673810363, 0.002144667087122798, 0.0020902317482978106, 0.002124476246535778, 0.0022591070737689734, 0.0019542386289685965, 0.002090150024741888, 0.0018335337517783046, 0.001803780090995133, 0.002068769186735153, 0.0017882464453577995, 0.0017226238269358873, 0.0019363944884389639, 0.0019060197519138455, 0.001994919031858444, 0.0018991143442690372, 0.0015190981794148684, 0.0015624237712472677, 0.0014410415897145867, 0.001454359502531588, 0.0015939782606437802, 0.0013496651081368327, 0.0013357977150008082, 0.0012249856954440475, 0.001414232305251062, 0.0013385419733822346, 0.0012816188391298056, 0.001300505711697042, 0.0011751677375286818, 0.0011187142226845026, 0.0012824184959754348, 0.0014080533292144537, 0.001244150917045772, 0.0011158725246787071, 0.0011052065528929234, 0.0011304147774353623, 0.0010317907435819507, 0.0012490951921790838, 0.0009650745778344572, 0.0008890399476513267, 0.0009013685048557818, 0.0009073475957848132, 0.0010850585531443357, 0.0010319030843675137, 0.000987034640274942, 0.001006700680591166, 0.0008013702463358641, 0.0008528074831701815, 0.0008236657013185322, 0.0008977930992841721, 0.0006918603321537375, 0.000746226345654577, 0.0007118938374333084, 0.0007377422880381346, 0.0008169988868758082, 0.0008234797278419137, 0.0008201284799724817, 0.0007030568085610867, 0.0008023717673495412, 0.0007325232727453113, 0.0007082960219122469, 0.0008612644742242992, 0.0007456486928276718, 0.0007678212132304907, 0.0007557877106592059, 0.0008083572029136121, 0.0007604813436046243, 0.0008914268692024052, 0.0007169524906203151, 0.000778941554017365, 0.0006666311528533697, 0.0007954209577292204, 0.0007218169630505145, 0.0007519912905991077, 0.0007294380920939147, 0.0006914352998137474, 0.0007556212367489934, 0.0007394358399324119, 0.0007151932804845273, 0.0007114684558473527, 0.0006735913339070976, 0.0006816262030042708, 0.000645203806925565, 0.0007263493025675416, 0.000694011920131743, 0.0007345622288994491, 0.0006714359624311328, 0.0006903194589540362, 0.0008434680639766157, 0.0007639225223101676, 0.0007623276906087995, 0.0008041352266445756, 0.0008049667812883854, 0.0007287360494956374, 0.0008608344942331314, 0.0006811358616687357, 0.0007390998653136194, 0.0007230970659293234, 0.000753136700950563, 0.0008009823504835367, 0.0007557431817986071, 0.0008196756825782359, 0.0006662853993475437, 0.0007381385657936335, 0.0006660005310550332, 0.0007534856558777392, 0.0007996796048246324, 0.0008323669899255037, 0.0007297270931303501, 0.0007016281597316265, 0.0007453550933860242, 0.000777386303525418, 0.0008344126981683075, 0.0008158091804943979, 0.0007097032503224909, 0.0006443554302677512, 0.0008123163133859634, 0.0007371252286247909, 0.0007856471347622573, 0.0008258007001131773, 0.0007176053477451205, 0.0007100973161868751, 0.0007041214848868549, 0.0007319406140595675, 0.0007396371220238507, 0.0006453153328038752, 0.0006496573332697153, 0.0006972852279432118, 0.000761038507334888, 0.0008061755797825754, 0.0007227275054901838, 0.0007617553928866982, 0.00074624118860811, 0.0008368176640942693, 0.0007058161427266896, 0.0008232405525632203, 0.0006145896622911096, 0.0006635504541918635, 0.0006542484043166041, 0.0008264571079052985, 0.0008442389080300927, 0.0006971294642426074, 0.0007505738758482039, 0.0008450021268799901, 0.0008753089350648224, 0.0007262546569108963, 0.0007291611982509494, 0.0007184171699918807, 0.0008276676526293159, 0.0007070472347550094, 0.0007913695299066603, 0.0007247609901241958, 0.0007571507594548166, 0.0008318068576045334, 0.0007041542557999492, 0.0007318146526813507, 0.0006672450108453631, 0.0007215673103928566, 0.0008256324799731374, 0.0007060503703542054, 0.0007579772500321269, 0.0006654613534919918, 0.0008290415280498564, 0.0007624388672411442, 0.0006675051408819854, 0.000750320206861943, 0.0006644721725024283, 0.0006915553822182119, 0.0007733818492852151, 0.0007142942049540579, 0.0008015495259314775, 0.0007518582860939205, 0.0007531244191341102, 0.0007374027045443654, 0.0007192168268375099, 0.0007153680198825896, 0.0007038421463221312, 0.0007355065899901092, 0.0007255246746353805, 0.0007548155263066292, 0.0007301951409317553, 0.0007242535939440131, 0.0007217297679744661, 0.0007155472412705421]"


train_acc_list,"[53.97836102914532, 59.854014598540154, 65.95227002122482, 69.92286586944142, 76.68375006470984, 69.9539265931563, 77.35155562457938, 75.78298907697882, 85.23062587358285, 79.08060257804007, 84.99767044572138, 85.73277424030647, 87.82419630377389, 88.80778588807786, 88.21763213749547, 89.95185587824196, 90.3194077755345, 91.83102966299114, 91.862090386706, 89.21157529637107, 92.76285137443703, 93.14593363358699, 91.61878138427292, 91.5152456385567, 93.73608738416938, 94.92157167261998, 95.20111818605373, 95.17523424962468, 96.13293989749961, 70.99963762488998, 89.9259719418129, 93.8447999171714, 95.35124501734224, 96.16917740850029, 94.90086452347674, 95.58937723248951, 97.18382771651913, 97.89304757467515, 95.35124501734224, 96.94051871408604, 98.09494227882176, 95.1804110369105, 98.28648340839675, 98.03799761867785, 97.93963866024745, 97.04923124708806, 97.99658332039137, 98.5608531345447, 95.88445410778071, 98.49355489982916, 99.02158720298183, 98.51943883625822, 99.37360873841695, 99.19242118341357, 99.41502303670342, 99.51338199513383, 98.84557643526428, 97.88269400010353, 94.74556090490242, 98.60744422011699, 99.31666407827302, 99.48749805870477, 99.52891235699126, 99.60656416627842, 99.68421597556556, 99.72563027385205, 99.7463374229953, 99.79810529585339, 99.83434280685407, 99.82916601956826, 99.8498731687115, 99.87058031785475, 99.89646425428379, 99.89646425428379, 99.89646425428379, 99.93270176528446, 99.93270176528446, 99.92234819071284, 99.92752497799864, 99.91199461614121, 99.91199461614121, 99.92752497799864, 99.94305533985609, 99.92234819071284, 99.94305533985609, 99.93787855257027, 99.95858570171352, 99.95858570171352, 99.96893927628514, 99.96893927628514, 99.96376248899934, 99.96376248899934, 99.97411606357095, 99.96893927628514, 99.96376248899934, 99.97411606357095, 99.97411606357095, 99.97411606357095, 99.97411606357095, 99.97929285085677, 99.96893927628514, 99.97411606357095, 99.97411606357095, 99.98446963814257, 99.98446963814257, 99.97929285085677, 99.98964642542838, 99.98446963814257, 99.98964642542838, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.98964642542838, 99.98964642542838, 99.98964642542838, 99.98964642542838, 99.98964642542838, 100.0, 99.9948232127142, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 99.9948232127142, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
