,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,VGG19
loss_list,"[2.074601650238037, 1.6602946519851685, 1.4948598146438599, 1.425301432609558, 1.2881433963775635, 1.2358611822128296, 1.1550493240356445, 1.1255481243133545, 1.1059048175811768, 1.0464571714401245, 1.0334019660949707, 1.0415476560592651, 1.0096486806869507, 0.9896718263626099, 0.9726359844207764, 0.9864343404769897, 0.9461753368377686, 0.9084058403968811, 0.9104040861129761, 0.8959359526634216, 0.8936766386032104, 0.8713538646697998, 0.8597229719161987, 0.8775520324707031, 0.8632751107215881, 0.8392518758773804, 0.8445304036140442, 0.8223681449890137, 0.8166070580482483, 0.8157773017883301, 0.8036052584648132, 0.785597562789917, 0.792202889919281, 0.7717414498329163, 0.7770471572875977, 0.7742082476615906, 0.7641702890396118, 0.7659971117973328, 0.7280699014663696, 0.7481403946876526, 0.7621006369590759, 0.7345735430717468, 0.7149791121482849, 0.7096942663192749, 0.716465175151825, 0.7175425291061401, 0.700084924697876, 0.6966153383255005, 0.6977666020393372, 0.6901495456695557, 0.6986648440361023, 0.6786245703697205, 0.6687846779823303, 0.6742111444473267, 0.6773421168327332, 0.6761533617973328, 0.6694943904876709, 0.6611247658729553, 0.6713923215866089, 0.6746010184288025, 0.6600874662399292, 0.6552720665931702, 0.6463081240653992, 0.6584218144416809, 0.6746885180473328, 0.6670028567314148, 0.6677947044372559, 0.6543207764625549, 0.6381843686103821, 0.6442213654518127, 0.6294506788253784, 0.6783303022384644, 0.6463947296142578, 0.6356179118156433, 0.6449337601661682, 0.6381927132606506, 0.630341649055481, 0.6177452802658081, 0.5974369049072266, 0.6008307933807373, 0.5900351405143738, 0.6051594018936157, 0.59001225233078, 0.6024552583694458, 0.6036625504493713, 0.5894443988800049, 0.592502772808075, 0.5893537998199463, 0.6064738035202026, 0.5957629680633545, 0.6041469573974609, 0.6020105481147766, 0.5932430624961853, 0.5813393592834473, 0.5887167453765869, 0.5902667045593262, 0.604180634021759, 0.6022127866744995, 0.5919206738471985, 0.5881749391555786, 0.5940588712692261, 0.5861861705780029, 0.6058552861213684, 0.6001904010772705, 0.5896577835083008, 0.5906292796134949, 0.6027216911315918, 0.5995259881019592, 0.5930421948432922, 0.5930904746055603, 0.5967052578926086, 0.5820111632347107, 0.5973479747772217, 0.5888187289237976, 0.5934138298034668, 0.59649258852005, 0.5920597910881042, 0.5879415273666382, 0.5906090140342712, 0.6042331457138062, 0.5851778388023376, 0.5947684645652771, 0.5832402110099792, 0.594911515712738, 0.5851446986198425, 0.5827057361602783, 0.5904923677444458, 0.5991901159286499, 0.5902534127235413, 0.5878308415412903, 0.5991871953010559, 0.5852397084236145, 0.5862030982971191, 0.5945479869842529, 0.592819333076477, 0.5887247920036316, 0.6085273623466492, 0.5966562628746033, 0.5880566835403442, 0.5921181440353394, 0.593407154083252, 0.5926119089126587, 0.5989813208580017, 0.6036298871040344, 0.5920815467834473, 0.5952582359313965, 0.5966023206710815, 0.5954489707946777, 0.5844224095344543, 0.5991719961166382, 0.5839195847511292, 0.5844006538391113, 0.593154788017273, 0.6017723083496094, 0.5914180278778076, 0.5979909300804138, 0.5923558473587036, 0.5962167978286743, 0.5970333218574524, 0.5938416719436646, 0.5827968120574951, 0.5953234434127808, 0.592465877532959, 0.5872811079025269, 0.5872290134429932, 0.5876724720001221, 0.5917707085609436, 0.5857719779014587, 0.5843283534049988, 0.5747148394584656, 0.5900723934173584, 0.5868258476257324, 0.5814576148986816, 0.5860525965690613, 0.5839659571647644, 0.5828430652618408, 0.5866934657096863, 0.5963268280029297, 0.5832006335258484, 0.5974709391593933, 0.5945600867271423, 0.5848506093025208, 0.5974645018577576, 0.5857946276664734, 0.6071861982345581, 0.5807780027389526, 0.5829736590385437, 0.5955222249031067, 0.6078166365623474, 0.5891336798667908, 0.5944359302520752, 0.5907570123672485, 0.5982925295829773, 0.6039753556251526, 0.5993937253952026, 0.5950021147727966, 0.607438325881958, 0.6015408635139465, 0.5954989194869995, 0.6047326326370239, 0.5953572988510132, 0.5944355726242065, 0.583541989326477, 0.5982585549354553, 0.596254825592041, 0.6015362739562988, 0.5874638557434082, 0.597978413105011, 0.6095173358917236, 0.6017590761184692, 0.5934489369392395, 0.5959309935569763, 0.5992007255554199, 0.592588484287262, 0.5871647596359253, 0.5909148454666138, 0.57681804895401, 0.588483452796936, 0.5894008278846741, 0.5996912717819214, 0.5803645849227905, 0.5912857055664062, 0.597903847694397, 0.5824029445648193, 0.593062162399292, 0.596424400806427, 0.5990980863571167, 0.5783557891845703, 0.5808473825454712, 0.5843255519866943, 0.5917788147926331, 0.5861713290214539, 0.5873780250549316, 0.5860816836357117, 0.5915854573249817, 0.5901469588279724, 0.5923037528991699, 0.5879102945327759, 0.597011148929596, 0.6036939024925232, 0.5961342453956604, 0.5894428491592407, 0.590575098991394, 0.5983098745346069, 0.5924379825592041, 0.5912541747093201, 0.5785954594612122, 0.5872472524642944, 0.6007986664772034, 0.5866395235061646, 0.5906648635864258, 0.578830897808075, 0.5893129110336304, 0.588898241519928, 0.5849388837814331, 0.6037217378616333, 0.5929698348045349, 0.5908365249633789, 0.6028880476951599, 0.5821621417999268, 0.5842890739440918, 0.593447208404541, 0.5986685752868652, 0.5929519534111023, 0.5935356020927429, 0.5985557436943054, 0.580816388130188, 0.5766326785087585, 0.5808323621749878, 0.598873496055603, 0.5918009281158447, 0.5848259925842285, 0.5889769792556763, 0.6031474471092224, 0.5991566777229309, 0.5818206667900085, 0.5964723229408264, 0.6026467680931091, 0.5849339962005615, 0.5873188376426697, 0.5890250205993652, 0.5923613905906677, 0.5941891670227051, 0.5817314982414246, 0.5811675786972046, 0.5931111574172974, 0.5782167911529541, 0.5832163095474243, 0.5901645421981812, 0.5919314622879028, 0.5968098044395447, 0.581802248954773, 0.5849161148071289, 0.5966780185699463, 0.5918936729431152, 0.5907340049743652, 0.5904704928398132, 0.5889371037483215, 0.5961161255836487, 0.5991912484169006]"
train_acc_list,"[34.49811047264068, 41.507480457628, 50.08024020293006, 50.87228865765906, 53.377853703991306, 57.747062173215305, 54.206139669720976, 62.111093855153484, 60.38722368897862, 59.06714293109696, 60.74442201169954, 62.84619764973858, 64.1559248330486, 63.912615830615515, 65.40353056892893, 62.68571724387845, 67.00315784024434, 66.86338458352746, 66.89962209452813, 67.64507946368484, 67.56742765439768, 67.95568670083347, 68.2300564269814, 66.90479888181395, 68.45783506755707, 67.59331159082673, 69.57602112129213, 70.41466066159342, 70.57514106745354, 67.99192421183413, 70.9582233266035, 68.83574053942124, 71.34130558575347, 71.900398612621, 72.68727028006418, 71.67779675933116, 71.13423409432107, 72.81151317492365, 72.76492208935134, 71.79168607961898, 72.67691670549257, 73.19977222135942, 73.63462235336749, 71.16529481803593, 73.26707045607496, 72.8891649842108, 74.11606357094786, 73.89863850494383, 74.30242791323704, 74.44220116995393, 72.99270072992701, 74.69068695967283, 75.65874618211937, 74.42149402081068, 73.37578298907698, 74.29207433866543, 75.79334265155045, 73.40684371279184, 75.38437645597142, 75.47755862711601, 75.59144794740385, 75.65874618211937, 75.5241497126883, 75.669099756691, 73.37578298907698, 75.05306206967956, 74.98576383496402, 75.94346948283895, 76.0677123776984, 76.02629807941192, 75.86581767355179, 75.52932649997412, 75.66392296940518, 76.63198219185173, 76.64751255370916, 76.58021431899364, 76.44561784956257, 77.32567168815034, 77.24284309157736, 77.39814671015168, 77.64145571258477, 77.44991458300979, 77.46544494486722, 77.84852720401719, 76.98400372728685, 77.49132888129627, 77.63110213801315, 77.28943417714966, 77.3567324118652, 77.92100222601853, 77.49132888129627, 77.31531811357871, 77.5016824558679, 78.12289693016514, 77.44991458300979, 78.06077548273541, 77.6103949888699, 77.76052182015842, 77.21695915514832, 77.84335041673137, 77.30496453900709, 78.25749339959621, 78.04006833359217, 77.81228969301651, 77.99347724801989, 77.80193611844489, 77.71393073458611, 77.94688616244758, 77.76052182015842, 77.42920743386654, 77.5586271160118, 77.80193611844489, 77.33084847543614, 77.24284309157736, 77.78640575658746, 77.00471087643008, 77.68804679815706, 77.79158254387328, 77.43438422115236, 77.24284309157736, 77.27908060257805, 77.63110213801315, 77.96759331159082, 77.62592535072734, 77.54309675415438, 77.57933426515504, 77.81746648030233, 77.57415747786924, 78.13842729202257, 77.28425738986385, 77.77605218201585, 78.23678625045297, 77.82264326758813, 76.9632965781436, 77.73463788372936, 77.4033234974375, 77.6103949888699, 77.73463788372936, 77.31531811357871, 77.45509137029559, 77.32567168815034, 77.6569860744422, 77.69322358544287, 77.79158254387328, 77.77087539473003, 77.58451105244085, 77.37743956100844, 77.68287001087126, 78.06077548273541, 77.42920743386654, 77.51721281772532, 77.85888077858881, 78.02453797173474, 77.86405756587462, 77.9054718641611, 77.89511828958948, 77.32049490086452, 77.37743956100844, 77.03059481285915, 77.37226277372264, 77.42920743386654, 77.84335041673137, 77.89511828958948, 77.48097530672464, 77.6569860744422, 77.70357716001449, 77.72946109644354, 77.71910752187192, 78.19019516488068, 77.7087539473003, 77.4085002847233, 77.87958792773205, 77.13413055857535, 78.07630584459284, 77.4085002847233, 78.28337733602527, 77.39296992286587, 77.4602681575814, 77.64145571258477, 78.09701299373609, 77.5586271160118, 77.96241652430501, 78.06595227002123, 78.49562561474349, 77.42920743386654, 78.1021897810219, 77.62074856344154, 77.95206294973339, 77.76569860744422, 78.07630584459284, 78.2989076978827, 77.98830046073407, 77.71910752187192, 77.58968783972666, 77.35155562457938, 77.68804679815706, 77.56898069058342, 77.94688616244758, 77.63627892529897, 78.0555986954496, 77.98312367344826, 77.85370399130301, 78.00900760987732, 77.61557177615572, 77.87441114044624, 77.84335041673137, 78.01418439716312, 78.12289693016514, 77.81746648030233, 77.70357716001449, 77.96759331159082, 78.07630584459284, 77.48615209401045, 77.42920743386654, 77.5068592431537, 78.08148263187866, 77.77087539473003, 77.74499145830099, 78.19019516488068, 77.67769322358544, 77.33602526272195, 78.06595227002123, 77.43956100843816, 77.2583734534348, 78.0038308225915, 77.84852720401719, 77.3670859864368, 77.73463788372936, 77.77605218201585, 77.09271626028887, 77.63627892529897, 77.31014132629291, 77.78640575658746, 77.56898069058342, 77.97794688616246, 77.44991458300979, 77.56898069058342, 77.53274317958275, 77.77087539473003, 77.47579851943883, 77.68287001087126, 77.88994150230367, 77.45509137029559, 77.66733964901383, 77.61557177615572, 78.26784697416784, 78.33514520888338, 78.0504219081638, 77.76052182015842, 77.96241652430501, 77.49132888129627, 77.52756639229695, 77.64663249987058, 77.69840037272868, 78.06077548273541, 78.09183620645028, 77.83299684215976, 77.94688616244758, 77.63110213801315, 77.57415747786924, 77.6052182015841, 78.16431122845162, 78.36620593259823, 77.63627892529897, 77.45509137029559, 77.9002950768753, 77.06165553657401, 78.2989076978827, 77.60004141429829, 77.88476471501787, 78.0504219081638, 77.56898069058342, 77.61557177615572, 77.87441114044624, 77.93135580059015, 77.72946109644354, 77.93135580059015, 77.86923435316044, 77.71393073458611, 77.4602681575814, 78.04524512087798, 78.09183620645028, 77.68287001087126, 77.84852720401719, 77.77605218201585, 77.42920743386654, 77.22213594243412, 78.42315059274215, 77.58451105244085, 78.06077548273541, 77.10306983486048, 77.71910752187192, 78.3040844851685, 77.61557177615572, 78.26784697416784, 77.46544494486722, 77.78640575658746, 77.43438422115236, 78.16431122845162, 78.13842729202257]"
val_acc_list,"[44.93567675303497, 55.499184634897624, 68.32759557890923, 68.97988766080812, 69.8677296611705, 77.87642688892915, 72.76680558072115, 82.58742525819895, 81.80829860481971, 79.27160717521289, 81.55462946185904, 83.87389019749955, 83.80141329951078, 83.20347889110347, 87.3709005254575, 84.1637977894546, 86.86356223953615, 87.64268889291539, 87.09911215799964, 88.16814640333394, 87.3709005254575, 88.0231926073564, 88.42181554629461, 86.22938938213444, 88.51241166878057, 87.26218517847435, 89.58144591411488, 90.46928791447726, 89.63580358760646, 88.45805399528899, 90.68671860844356, 87.58833121942381, 89.63580358760646, 90.63236093495199, 90.55988403696323, 91.10346077187896, 89.43649211813735, 91.10346077187896, 91.01286464939301, 89.41837289364015, 91.44772603732561, 91.55644138430876, 91.75575285377786, 87.98695415836202, 91.6470375067947, 89.98006885305308, 92.08189889472732, 91.73763362928067, 91.91882587425259, 91.55644138430876, 90.75919550643232, 92.37180648668237, 92.5167602826599, 91.93694509874977, 91.48396448631999, 91.13969922087335, 92.60735640514585, 90.19749954701939, 91.70139518028628, 91.55644138430876, 92.38992571117957, 92.11813734372168, 91.61079905780034, 92.2993295886936, 89.99818807755028, 91.01286464939301, 91.15781844537054, 92.57111795615147, 92.77042942562058, 91.68327595578909, 92.55299873165428, 92.20873346620765, 92.24497191520203, 92.55299873165428, 92.58923718064867, 92.5348795071571, 91.81011052726943, 93.04221779307845, 93.29588693603914, 93.44084073201667, 93.27776771154194, 93.24152926254756, 93.31400616053634, 93.38648305852509, 93.31400616053634, 93.44084073201667, 93.3683638340279, 93.44084073201667, 93.42272150751948, 93.44084073201667, 93.44084073201667, 93.42272150751948, 93.45895995651387, 93.45895995651387, 93.42272150751948, 93.49519840550823, 93.44084073201667, 93.45895995651387, 93.44084073201667, 93.42272150751948, 93.45895995651387, 93.3502446095307, 93.40460228302229, 93.45895995651387, 93.40460228302229, 93.47707918101106, 93.44084073201667, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.49519840550823, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.53143685450263, 93.53143685450263, 93.54955607899981, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.54955607899981, 93.54955607899981, 93.54955607899981, 93.54955607899981, 93.54955607899981, 93.54955607899981, 93.54955607899981, 93.54955607899981, 93.54955607899981, 93.54955607899981, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.53143685450263, 93.53143685450263, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.53143685450263, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.51331763000543, 93.49519840550823, 93.49519840550823, 93.49519840550823, 93.49519840550823, 93.49519840550823, 93.47707918101106, 93.49519840550823, 93.49519840550823, 93.49519840550823, 93.49519840550823, 93.49519840550823, 93.49519840550823, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.49519840550823, 93.49519840550823, 93.49519840550823, 93.49519840550823, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.47707918101106, 93.44084073201667, 93.45895995651387, 93.45895995651387, 93.44084073201667, 93.44084073201667, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.47707918101106, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.47707918101106, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.45895995651387, 93.44084073201667, 93.44084073201667, 93.45895995651387, 93.44084073201667]"
test_acc,93.18593693367163
