,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,VGG19
loss_list,"[2.072960376739502, 1.6415425539016724, 1.5816936492919922, 1.367806315422058, 1.290359616279602, 1.2604910135269165, 1.2087955474853516, 1.2328063249588013, 1.1338883638381958, 1.1329469680786133, 1.0755423307418823, 1.1170276403427124, 1.052621603012085, 1.0299521684646606, 1.033797025680542, 0.9856684803962708, 0.9758724570274353, 0.9546325206756592, 0.9439111948013306, 0.9375197887420654, 0.9445520639419556, 0.9374125599861145, 0.9107633233070374, 0.899075984954834, 0.8833317160606384, 0.895783007144928, 0.8845308423042297, 0.8904020190238953, 0.8739683032035828, 0.851590096950531, 0.8519502282142639, 0.8395992517471313, 0.8464823365211487, 0.8572849631309509, 0.8220351338386536, 0.8524121046066284, 0.8156477212905884, 0.8190358877182007, 0.8223829865455627, 0.8364695906639099, 0.8136976957321167, 0.807608425617218, 0.8119927644729614, 0.796200156211853, 0.7929052114486694, 0.8108578324317932, 0.8052839636802673, 0.7859809994697571, 0.7810614109039307, 0.7650189399719238, 0.8016670942306519, 0.7637500762939453, 0.7703016400337219, 0.7714309096336365, 0.7714998722076416, 0.77399080991745, 0.7411990761756897, 0.7748363018035889, 0.7425765991210938, 0.7581983208656311, 0.7597157955169678, 0.7731162309646606, 0.7480736970901489, 0.7150709629058838, 0.7020800113677979, 0.6928530931472778, 0.6976492404937744, 0.7059335708618164, 0.712680995464325, 0.7030270099639893, 0.6866370439529419, 0.7076789736747742, 0.698451578617096, 0.689721941947937, 0.704334557056427, 0.6946082711219788, 0.6980243921279907, 0.683483898639679, 0.6881776452064514, 0.6870399117469788, 0.6773406267166138, 0.685167133808136, 0.6840089559555054, 0.6955465078353882, 0.6699784398078918, 0.6903870105743408, 0.6822798848152161, 0.6797197461128235, 0.6886587142944336, 0.696012020111084, 0.6937229037284851, 0.7000434994697571, 0.6816548109054565, 0.6817616820335388, 0.6875457167625427, 0.6839511394500732, 0.6967326402664185, 0.6968129277229309, 0.6888656616210938, 0.6982855796813965, 0.6698691248893738, 0.6921974420547485, 0.6993868350982666, 0.6856920123100281, 0.6865776777267456, 0.6838008165359497, 0.6918064951896667, 0.6870846748352051, 0.6870278716087341, 0.688894510269165, 0.6899822354316711, 0.6886002421379089, 0.6931366324424744, 0.6996373534202576, 0.689853310585022, 0.6872143149375916, 0.6833218932151794, 0.697914719581604, 0.6881414651870728, 0.6906031966209412, 0.6880496144294739, 0.6857931017875671, 0.6915075778961182, 0.6933661103248596, 0.6896986961364746, 0.6810285449028015, 0.6809971332550049, 0.6962705850601196, 0.6953696012496948, 0.6876744031906128, 0.7072593569755554, 0.6889386773109436, 0.6776191592216492, 0.6872071623802185, 0.6862441897392273, 0.7037027478218079, 0.6828553080558777, 0.6947571039199829, 0.6905433535575867, 0.6758643388748169, 0.6923975348472595, 0.7025141716003418, 0.6907172799110413, 0.6996769309043884, 0.6836751103401184, 0.6926417946815491, 0.6841525435447693, 0.6860658526420593, 0.6945610046386719, 0.7059293985366821, 0.6884728670120239, 0.6879830360412598, 0.6773253679275513, 0.6880553364753723, 0.6865326166152954, 0.6930931806564331, 0.6954113841056824, 0.6788235306739807, 0.6835466027259827, 0.692285418510437, 0.6941791772842407, 0.6797356605529785, 0.6842284202575684, 0.6980648636817932, 0.6903828382492065, 0.6826950907707214, 0.6916114091873169, 0.6838293671607971, 0.6746166348457336, 0.7078233361244202, 0.6814905405044556, 0.6812812685966492, 0.684943675994873, 0.6777834296226501, 0.6953136920928955, 0.6884409785270691, 0.6966203451156616, 0.6941120624542236, 0.6821235418319702, 0.6872270703315735, 0.6820778846740723, 0.6911687254905701, 0.6864678859710693, 0.6958191990852356, 0.6974904537200928, 0.6911349892616272, 0.6870254278182983, 0.6734623312950134, 0.6843957304954529, 0.6879903078079224, 0.6874532699584961, 0.6847423315048218, 0.6856569051742554, 0.6794268488883972, 0.6899659037590027, 0.6831361651420593, 0.6831454038619995, 0.6855721473693848, 0.6936224699020386, 0.6881498694419861, 0.6842756271362305, 0.6883535981178284, 0.688014805316925, 0.6971675157546997, 0.686257541179657, 0.6913276314735413, 0.6912336945533752, 0.6946954727172852, 0.6780872941017151, 0.6871412992477417, 0.6901790499687195, 0.6835765838623047, 0.689612090587616, 0.689346432685852, 0.6899946331977844, 0.6913195848464966, 0.6869711875915527, 0.683192789554596, 0.6774659752845764, 0.6924452781677246, 0.6845262050628662, 0.6903525590896606, 0.6877872347831726, 0.6781032681465149, 0.6891734004020691, 0.6783745884895325, 0.6941410899162292, 0.6839039325714111, 0.6739413142204285, 0.6923168897628784, 0.6952885389328003, 0.6932812333106995, 0.6902643442153931, 0.6891878843307495, 0.6803598403930664, 0.6943432688713074, 0.6939321756362915, 0.6868003010749817, 0.6921668648719788, 0.6829002499580383, 0.6883155107498169, 0.6844446063041687, 0.6853482127189636, 0.678828775882721, 0.6835660338401794, 0.6915612816810608, 0.6924970746040344, 0.7030318379402161, 0.6869485378265381, 0.6927229762077332, 0.6841979622840881, 0.6912045478820801, 0.6831470727920532, 0.6937164068222046, 0.6813004612922668, 0.6876303553581238, 0.6843897104263306, 0.69568932056427, 0.6996209621429443, 0.7004189491271973, 0.6887911558151245, 0.6950205564498901, 0.6794247031211853, 0.6999426484107971, 0.6810689568519592, 0.6915848255157471, 0.6854718327522278, 0.6725785732269287, 0.6861752867698669, 0.6952228546142578, 0.6874538064002991, 0.6935808062553406, 0.6841193437576294, 0.683600664138794, 0.7043405175209045, 0.6793459057807922, 0.6791273951530457, 0.6849857568740845, 0.6816944479942322, 0.6908112168312073, 0.7022761702537537, 0.6857426166534424, 0.6899071335792542, 0.6908358335494995, 0.6781668066978455, 0.690547525882721, 0.6845402121543884, 0.6846727132797241, 0.6712222695350647, 0.6844270825386047, 0.6928611993789673, 0.6817365884780884, 0.6811133027076721, 0.6934478282928467, 0.6754734516143799, 0.6810575127601624, 0.6918396353721619, 0.6871141791343689, 0.6936882138252258, 0.6866122484207153]"
train_acc_list,"[33.62841020862453, 33.26085831133199, 48.09235388517886, 51.75751928353264, 49.257131024486206, 55.3087953615986, 52.75146244240824, 58.97913754723818, 56.918776207485635, 61.267277527566385, 59.093026867526014, 60.92043277941709, 62.40099394315888, 64.46653207019723, 63.83496402132837, 65.04633224620801, 65.05668582077962, 65.76590567893565, 66.45441838794845, 65.74519852979242, 67.14810788424703, 65.3414091214992, 66.62525236838019, 67.11187037324636, 66.330175493089, 66.0350986177978, 67.54672050525444, 67.4794222705389, 67.70202412382875, 68.99104415799555, 69.13599420199824, 69.79862297458197, 67.98674742454833, 69.47766216286173, 67.4794222705389, 69.15152456385567, 70.43019102345085, 69.49836931200497, 70.50266604545219, 69.68473365429413, 69.4207175027178, 68.90821556142258, 70.36289278873531, 70.90645545374541, 70.7563286224569, 71.5483770771859, 71.05658228503391, 69.76756225086712, 71.02034477403323, 69.88145157115494, 70.61655536574001, 69.45695501371848, 71.65708961018792, 72.03499508205208, 71.3464823730393, 71.95734327276492, 72.42325412848786, 71.96769684733654, 70.94786975203189, 71.90557539990682, 71.84345395247709, 72.3404255319149, 72.23688978619869, 74.01770461251748, 73.50002588393643, 73.80027954651344, 74.11088678366205, 73.99699746337423, 74.29725112595123, 74.05911891080396, 74.03841176166071, 74.15230108194855, 74.39043329709583, 73.91416886680126, 73.99699746337423, 73.74851167365533, 74.36972614795258, 74.69586374695864, 74.61303515038567, 74.2351296785215, 74.75798519438837, 74.76316198167417, 74.0280581870891, 74.51985297924108, 74.70104053424444, 74.07464927266139, 74.84081379096132, 74.29725112595123, 74.80457627996066, 74.26619040223638, 74.3749029352384, 74.69586374695864, 74.36972614795258, 74.59750478852824, 74.11606357094786, 74.75798519438837, 74.46808510638297, 74.6803333851012, 74.3800797225242, 74.85116736553296, 74.05394212351814, 74.49914583009785, 74.61821193767149, 74.36972614795258, 74.35419578609515, 74.14712429466273, 74.91846560024848, 74.76316198167417, 74.14712429466273, 74.29207433866543, 74.25066004037895, 74.29725112595123, 74.19371538023502, 74.11606357094786, 74.17818501837759, 74.51467619195527, 74.90293523839105, 74.30760470052286, 74.61821193767149, 73.88310814308639, 74.97023347310659, 74.10053320909043, 74.75280840710255, 74.5302065538127, 74.70621732153026, 74.22477610394989, 74.98576383496402, 73.8365170575141, 74.51985297924108, 74.60268157581405, 74.41631723352488, 74.75280840710255, 74.21442252937827, 74.43184759538231, 74.90293523839105, 74.43702438266811, 74.3334886369519, 74.09535642180462, 74.39561008438163, 74.01252782523167, 74.15747786923436, 74.7786923435316, 73.94522959051612, 74.29725112595123, 74.81492985453228, 74.71657089610187, 74.30760470052286, 73.92969922865869, 75.18248175182481, 74.27136718952218, 74.11606357094786, 74.48879225552622, 74.79939949267485, 74.36972614795258, 74.50949940466947, 74.14712429466273, 74.06429569808977, 74.51985297924108, 74.6285655122431, 74.50949940466947, 74.55091370295594, 74.4784386809546, 75.12553709168091, 74.72174768338769, 74.6751565978154, 74.84599057824714, 74.276543976808, 74.49914583009785, 74.78904591810323, 74.65444944867215, 74.73727804524512, 74.27136718952218, 74.18336180566341, 74.09535642180462, 74.7786923435316, 75.10482994253766, 74.78386913081742, 74.64409587410053, 74.57679763938499, 74.61303515038567, 74.15747786923436, 74.42149402081068, 74.39561008438163, 74.69068695967283, 74.41631723352488, 74.86152094010457, 74.82528342910389, 74.15747786923436, 74.57679763938499, 74.54573691567013, 74.39561008438163, 74.7269244706735, 74.54573691567013, 74.32313506238029, 74.76833876895998, 73.9814671015168, 74.34384221152352, 73.7795723973702, 74.41631723352488, 74.21959931666407, 74.01770461251748, 74.70621732153026, 74.61303515038567, 74.19371538023502, 74.17300823109179, 74.74245483253094, 74.94434953667754, 74.14712429466273, 74.74763161981674, 74.61821193767149, 74.95470311124916, 74.34901899880934, 74.9288191748201, 74.53538334109851, 74.06429569808977, 74.84599057824714, 74.65962623595797, 74.2299528912357, 74.66480302324378, 74.39043329709583, 73.92969922865869, 74.55091370295594, 74.3334886369519, 74.30760470052286, 74.26101361495057, 74.22477610394989, 74.87705130196201, 74.45773153181136, 74.39561008438163, 74.30760470052286, 74.24548325309313, 74.71139410881607, 74.66480302324378, 73.88828493037221, 74.98576383496402, 74.05911891080396, 74.69586374695864, 74.47326189366879, 74.63374229952892, 74.76833876895998, 74.09017963451882, 74.76833876895998, 74.12641714551948, 74.30242791323704, 74.61821193767149, 75.0271781332505, 74.0798260599472, 74.3749029352384, 74.6285655122431, 74.86669772739039, 74.60785836309985, 74.49914583009785, 74.51467619195527, 74.61303515038567, 74.71139410881607, 74.6751565978154, 74.3749029352384, 74.79939949267485, 73.97629031423098, 74.94434953667754, 74.4836154682404, 74.88222808924782, 74.63374229952892, 74.42149402081068, 74.72174768338769, 74.5250297665269, 74.74245483253094, 74.71139410881607, 74.20406895480664, 75.09965315525186, 74.78904591810323, 74.3749029352384, 74.21959931666407, 74.66997981052958, 74.57679763938499, 74.10053320909043, 74.65962623595797, 74.6751565978154, 74.15747786923436, 74.4836154682404, 74.98576383496402, 74.90293523839105, 74.57679763938499, 74.5302065538127, 73.71745094994047, 74.91846560024848, 74.30760470052286, 74.25066004037895, 74.33866542423772, 74.41631723352488, 74.44737795723974, 74.35937257338095, 74.90811202567687, 74.3334886369519, 74.20924574209245, 74.65444944867215, 74.39043329709583, 74.09017963451882, 74.30760470052286, 74.4836154682404]"
val_acc_list,"[45.243703569487224, 40.36963217974271, 64.90306214894002, 69.17919913027723, 65.55535423083893, 74.48813190795434, 69.99456423265084, 80.06885305308933, 74.7961587244066, 82.4424714622214, 79.28972639971009, 82.42435223772424, 83.07664431962311, 85.92136256568219, 84.76173219786193, 85.95760101467658, 86.86356223953615, 86.71860844355862, 86.9903968110165, 86.88168146403335, 88.6754846892553, 87.20782750498279, 87.28030440297155, 87.26218517847435, 87.31654285196593, 88.49429244428339, 87.62456966841819, 87.67892734190977, 88.87479615872441, 90.10690342453344, 89.61768436310926, 90.26997644500815, 88.65736546475812, 90.55988403696323, 87.06287370900525, 90.36057256749412, 91.33901069034245, 90.77731473092952, 91.70139518028628, 89.72639971009241, 89.87135350606994, 89.49084979162892, 91.71951440478348, 92.3174488131908, 91.30277224134808, 92.17249501721327, 91.2302953433593, 90.34245334299692, 92.5348795071571, 91.04910309838739, 92.02754122123574, 88.60300779126653, 92.5348795071571, 92.91538322159812, 93.18717158905598, 92.42616416017394, 93.24152926254756, 93.02409856858127, 92.44428338467114, 93.49519840550823, 92.55299873165428, 93.45895995651387, 94.12937126290994, 94.41927885486501, 94.60047109983692, 94.76354412031165, 94.72730567131727, 94.890378691792, 94.74542489581445, 94.81790179380323, 94.85414024279761, 94.60047109983692, 94.85414024279761, 94.90849791628918, 94.8722594672948, 94.49175575285378, 94.81790179380323, 94.8722594672948, 94.98097481427796, 94.94473636528356, 94.81790179380323, 94.79978256930603, 94.890378691792, 94.92661714078638, 94.90849791628918, 94.890378691792, 94.96285558978076, 94.94473636528356, 94.890378691792, 94.890378691792, 94.76354412031165, 94.79978256930603, 94.85414024279761, 94.890378691792, 94.85414024279761, 94.8722594672948, 94.890378691792, 94.890378691792, 94.8722594672948, 94.8722594672948, 94.890378691792, 94.8722594672948, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.890378691792, 94.90849791628918, 94.90849791628918, 94.90849791628918, 94.90849791628918, 94.90849791628918, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.90849791628918, 94.90849791628918, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.890378691792, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.890378691792, 94.890378691792, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.890378691792, 94.8722594672948, 94.8722594672948, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.8722594672948, 94.85414024279761, 94.85414024279761, 94.890378691792, 94.890378691792, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.8722594672948, 94.85414024279761, 94.85414024279761, 94.83602101830041, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.85414024279761, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.890378691792, 94.90849791628918, 94.890378691792, 94.8722594672948, 94.890378691792, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.890378691792, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.8722594672948, 94.890378691792, 94.890378691792, 94.8722594672948, 94.890378691792, 94.90849791628918, 94.92661714078638, 94.92661714078638, 94.92661714078638, 94.90849791628918, 94.90849791628918, 94.90849791628918, 94.90849791628918, 94.90849791628918, 94.90849791628918, 94.90849791628918, 94.90849791628918, 94.90849791628918, 94.90849791628918, 94.92661714078638, 94.92661714078638, 94.92661714078638, 94.90849791628918, 94.90849791628918, 94.92661714078638, 94.92661714078638, 94.90849791628918, 94.90849791628918, 94.90849791628918]"
test_acc,95.17941283073577
