,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,EFFICIENTNET-B7
loss_list,"[1.6408733129501343, 1.018399953842163, 0.8874938488006592, 0.8239647746086121, 0.7947958111763, 0.7588011026382446, 0.7518446445465088, 0.7386050224304199, 0.7157990336418152, 0.7078136205673218, 0.7024044990539551, 0.6883559823036194, 0.677347719669342, 0.6801721453666687, 0.6637706756591797, 0.6634219884872437, 0.6705852150917053, 0.6460935473442078, 0.6543613076210022, 0.6447180509567261, 0.6464388370513916, 0.6430054306983948, 0.6412369608879089, 0.630428671836853, 0.6352571845054626, 0.6364353895187378, 0.6260353326797485, 0.6315441131591797, 0.6314203143119812, 0.6234816312789917, 0.6127122044563293, 0.6016523838043213, 0.6186327934265137, 0.6247599124908447, 0.6254889965057373, 0.6118447184562683, 0.6194248199462891, 0.619289755821228, 0.6035811901092529, 0.6092547178268433, 0.6166938543319702, 0.590149998664856, 0.627017080783844, 0.5775513648986816, 0.5992913246154785, 0.5908605456352234, 0.6010995507240295, 0.5949733257293701, 0.590117335319519, 0.6097579002380371, 0.6021393537521362, 0.5926769971847534, 0.6100534796714783, 0.6029175519943237, 0.611258327960968, 0.6051051020622253, 0.5986557602882385, 0.5931578278541565, 0.5944666862487793, 0.6017493605613708, 0.5996733903884888, 0.5944308042526245, 0.5844611525535583, 0.5972272157669067, 0.6033627986907959, 0.5978375673294067, 0.592853844165802, 0.5915125608444214, 0.5950320363044739, 0.5939192771911621, 0.6116806268692017, 0.5867995619773865, 0.6069471836090088, 0.5912903547286987, 0.5953459143638611, 0.594989538192749, 0.5911447405815125, 0.5972836017608643, 0.5903353095054626, 0.6005293726921082, 0.5992112159729004, 0.6037858128547668, 0.5992922186851501, 0.6080796718597412, 0.5907831192016602, 0.596767246723175, 0.5976501703262329, 0.5874801874160767, 0.5947201251983643, 0.5967515707015991, 0.5972981452941895, 0.6043818593025208, 0.5859639644622803, 0.5940462350845337, 0.5903174877166748, 0.5921640992164612, 0.582304060459137, 0.6033887267112732, 0.5976312756538391, 0.5931659936904907, 0.5993110537528992, 0.5949072241783142, 0.6085823178291321, 0.6070117354393005, 0.612975001335144, 0.5864036083221436, 0.5916896462440491, 0.5977087020874023, 0.6160247921943665, 0.5999938249588013, 0.602862536907196, 0.5943487882614136, 0.5973238348960876, 0.6058917045593262, 0.5992162823677063, 0.6072462797164917, 0.6091535687446594, 0.6010155081748962, 0.5973455309867859, 0.6051191091537476, 0.5952363014221191, 0.5993657112121582, 0.587276041507721, 0.5957132577896118, 0.5971755981445312, 0.6086408495903015, 0.5911567211151123, 0.6063973307609558, 0.5984649658203125, 0.6021028757095337, 0.595941424369812, 0.602268397808075, 0.6047685742378235, 0.6015652418136597, 0.5944628119468689, 0.5968378782272339, 0.5896652340888977, 0.5864484906196594, 0.5979786515235901, 0.5944936871528625, 0.6055179238319397, 0.6007651686668396, 0.5986012816429138, 0.5947164297103882, 0.6039801836013794, 0.5881322622299194, 0.6025855541229248, 0.6027080416679382, 0.6056255102157593, 0.606328547000885, 0.5870333909988403, 0.5906809568405151, 0.6032209396362305, 0.5949772596359253, 0.603016197681427, 0.6177557706832886, 0.5822259783744812, 0.5975348949432373, 0.5853087902069092, 0.5940169095993042, 0.59480881690979, 0.593819797039032, 0.6063351035118103, 0.6052002906799316, 0.5941069722175598, 0.6067000031471252, 0.6078938245773315, 0.5927726626396179, 0.6002892255783081, 0.5961778163909912, 0.6037660241127014, 0.5862352848052979, 0.6039620041847229, 0.6040400266647339, 0.5865048170089722, 0.5961282253265381, 0.5953068733215332, 0.5928927063941956, 0.5917071104049683, 0.6002407073974609, 0.595906674861908, 0.6020776629447937, 0.6117668151855469, 0.6021475195884705, 0.5954657196998596, 0.5928794145584106, 0.5935825705528259, 0.5964634418487549, 0.5997776985168457, 0.600531816482544, 0.592818021774292, 0.6052547693252563, 0.5961300730705261, 0.598004162311554, 0.6040515303611755, 0.6007504463195801, 0.6089484095573425, 0.5906572341918945, 0.5861968398094177, 0.5980387926101685, 0.6082176566123962, 0.614835798740387, 0.6039720773696899, 0.5970708131790161, 0.5905051231384277, 0.595903754234314, 0.6048275828361511, 0.6040913462638855, 0.5891000628471375, 0.5985099077224731, 0.5854685306549072, 0.6033889055252075, 0.5975731015205383, 0.5965555310249329, 0.588366687297821, 0.6030513048171997, 0.586085855960846, 0.5925078392028809, 0.592051088809967, 0.6087746620178223, 0.5980762839317322, 0.6027453541755676, 0.6046862006187439, 0.6005967855453491, 0.5945677161216736, 0.5969885587692261, 0.6038100123405457, 0.6087353229522705, 0.6067395806312561, 0.5941818952560425, 0.5881911516189575, 0.602226734161377, 0.6021614074707031, 0.5961805582046509, 0.6062374711036682, 0.5979104042053223, 0.5885354280471802, 0.596215009689331, 0.5979841351509094, 0.6005181074142456, 0.6049020886421204, 0.6006221771240234, 0.5950902104377747, 0.5961410403251648, 0.6074398756027222, 0.595063328742981, 0.5974705219268799, 0.6132286787033081, 0.6075575351715088, 0.5953430533409119, 0.6043117642402649, 0.600426435470581, 0.6005361676216125, 0.593361496925354, 0.5997181534767151, 0.592629611492157, 0.606269896030426, 0.6017012596130371, 0.6001233458518982, 0.597686231136322, 0.5990085601806641, 0.5881215333938599, 0.6030873656272888, 0.5975866913795471, 0.6034042835235596, 0.6015365123748779, 0.5944510698318481, 0.5893300771713257, 0.5931641459465027, 0.6082403063774109, 0.5932340025901794, 0.591272234916687, 0.5980129837989807, 0.588020920753479, 0.6063180565834045, 0.6013278365135193, 0.5888323783874512, 0.5987415313720703, 0.6019120812416077, 0.5911450982093811, 0.6022372245788574, 0.5978268384933472, 0.6055729389190674, 0.604928195476532, 0.5937032103538513, 0.6053595542907715, 0.5988543629646301, 0.5972466468811035, 0.5961141586303711, 0.5916211009025574, 0.6038866639137268, 0.5955228209495544, 0.6030837297439575, 0.6071590185165405, 0.594330370426178, 0.5855066776275635, 0.5894116163253784, 0.5985366702079773, 0.5997005105018616, 0.5881093740463257]"
train_acc_list,"[13.040327172956465, 12.724543148522027, 12.15509654708288, 17.40953564218046, 26.857172438784488, 30.579282497282183, 41.497126883056374, 55.697054408034376, 65.42423771807216, 69.30682818242998, 71.6519128229021, 72.33007195734328, 74.91328881296268, 75.54485686183155, 74.50949940466947, 74.89258166381944, 75.87617124812341, 75.82440337526532, 75.48791220168764, 75.86064088626598, 75.75192835326396, 76.15054097427137, 76.43008748770514, 76.69928042656727, 76.16089454884299, 76.79763938499768, 75.58109437283223, 76.97882694000103, 76.2178392089869, 75.05306206967956, 76.76140187399699, 77.00471087643008, 77.43438422115236, 77.17036806957603, 77.04612517471658, 77.32049490086452, 76.89599834342808, 77.29978775172128, 77.88994150230367, 77.59486462701247, 77.60004141429829, 78.03489154630637, 77.96759331159082, 77.88994150230367, 77.5586271160118, 78.01418439716312, 77.06165553657401, 77.98830046073407, 77.60004141429829, 77.61557177615572, 77.69840037272868, 77.60004141429829, 78.18501837759486, 77.49132888129627, 77.77605218201585, 77.27908060257805, 77.7087539473003, 77.73981467101517, 77.87441114044624, 77.9002950768753, 77.82264326758813, 77.97277009887664, 77.43438422115236, 78.03489154630637, 78.02453797173474, 78.32479163431174, 78.22125588859554, 77.57415747786924, 77.71910752187192, 77.6052182015841, 77.63627892529897, 78.06595227002123, 77.6103949888699, 77.94688616244758, 77.9002950768753, 77.63110213801315, 78.02453797173474, 77.33602526272195, 77.55345032872599, 77.9106486514469, 78.46974167831445, 77.72946109644354, 77.76052182015842, 77.85370399130301, 78.3040844851685, 77.2583734534348, 77.51721281772532, 78.13325050473676, 76.8597608324274, 78.1021897810219, 77.39814671015168, 78.08665941916446, 77.14448413314697, 78.24196303773878, 77.88476471501787, 77.81228969301651, 77.2583734534348, 77.85888077858881, 77.77087539473003, 77.78640575658746, 77.72946109644354, 77.79158254387328, 77.54827354144018, 77.6103949888699, 77.95723973701921, 77.62592535072734, 78.06077548273541, 77.83299684215976, 77.82264326758813, 77.60004141429829, 78.15395765388, 78.23160946316716, 77.87958792773205, 77.73981467101517, 77.85888077858881, 77.81746648030233, 77.58451105244085, 77.73981467101517, 77.53791996686856, 77.75016824558679, 77.88476471501787, 77.72428430915774, 77.62074856344154, 78.34549878345499, 77.6052182015841, 78.13842729202257, 77.06683232385981, 77.96241652430501, 78.15913444116582, 77.68287001087126, 77.68804679815706, 78.00900760987732, 78.24196303773878, 77.58968783972666, 77.8071129057307, 77.82264326758813, 77.63110213801315, 78.08148263187866, 77.82264326758813, 77.72946109644354, 78.24713982502459, 77.59486462701247, 77.7087539473003, 77.71910752187192, 78.13842729202257, 77.54309675415438, 78.11254335559352, 77.4085002847233, 76.92188227985713, 77.85888077858881, 77.54309675415438, 77.48097530672464, 77.43956100843816, 78.19019516488068, 78.42315059274215, 77.78640575658746, 77.662162861728, 77.2117823678625, 77.58451105244085, 77.84335041673137, 77.24801987886318, 78.15913444116582, 77.14966092043278, 77.93135580059015, 77.74499145830099, 77.26872702800642, 77.3670859864368, 77.1134234094321, 77.64145571258477, 77.5016824558679, 77.59486462701247, 77.52238960501113, 77.31014132629291, 77.98312367344826, 78.13325050473676, 77.68804679815706, 77.64145571258477, 77.96759331159082, 77.4085002847233, 77.86923435316044, 78.12807371745095, 78.24196303773878, 78.17984159030905, 77.5016824558679, 77.51203603043952, 78.17466480302325, 78.11254335559352, 78.27820054873945, 77.6052182015841, 78.06595227002123, 77.6518092871564, 77.64145571258477, 78.17466480302325, 77.5586271160118, 77.88476471501787, 77.41367707200911, 78.07630584459284, 77.662162861728, 77.60004141429829, 77.08236268571724, 77.93653258787596, 77.78640575658746, 77.80193611844489, 78.10736656830771, 78.01418439716312, 77.94170937516178, 78.18501837759486, 77.79158254387328, 77.97794688616246, 77.67251643629963, 78.16431122845162, 77.71393073458611, 78.23160946316716, 77.9106486514469, 77.5586271160118, 77.77087539473003, 77.82264326758813, 78.03489154630637, 77.43956100843816, 77.96759331159082, 77.49132888129627, 77.81746648030233, 77.74499145830099, 78.03489154630637, 77.93135580059015, 77.57933426515504, 77.76569860744422, 78.44903452917119, 77.64663249987058, 77.92617901330433, 78.08665941916446, 77.73981467101517, 78.20054873945229, 77.58968783972666, 77.53274317958275, 77.82264326758813, 77.76052182015842, 77.73981467101517, 77.66733964901383, 77.34120205000777, 77.72428430915774, 78.19537195216648, 77.9002950768753, 77.60004141429829, 77.93135580059015, 77.96759331159082, 77.44473779572397, 78.08148263187866, 77.43956100843816, 77.77605218201585, 78.13842729202257, 77.8071129057307, 77.64145571258477, 77.18589843143346, 77.63110213801315, 78.29373091059688, 77.9002950768753, 77.98830046073407, 78.15395765388, 77.77605218201585, 77.8071129057307, 77.17554485686183, 77.84335041673137, 77.6518092871564, 77.6052182015841, 77.74499145830099, 78.11254335559352, 78.00900760987732, 77.79158254387328, 77.77087539473003, 77.61557177615572, 76.9581197908578, 78.09183620645028, 77.43438422115236, 78.08148263187866, 77.95723973701921, 77.56380390329761, 77.91582543873272, 78.19537195216648, 77.6103949888699, 77.98312367344826, 77.77605218201585, 77.71910752187192, 77.42920743386654, 77.49132888129627, 78.17466480302325, 77.73981467101517, 78.25231661231041, 77.45509137029559, 78.19537195216648, 77.51203603043952, 78.44385774188538, 77.94170937516178, 78.23678625045297, 77.97277009887664, 77.98312367344826, 77.69840037272868, 77.54827354144018, 77.72946109644354, 77.47062173215302]"
val_acc_list,"[13.027722413480703, 12.64721869903968, 11.79561514767168, 20.003623844899437, 32.41529262547563, 39.97100924080449, 56.169595941293714, 77.38720782750498, 86.9903968110165, 90.8316724044211, 94.4736365283566, 94.32868273237905, 96.44863199855045, 96.90161261098025, 96.91973183547744, 97.04656640695778, 97.04656640695778, 96.91973183547744, 97.0103279579634, 97.24587787642689, 97.26399710092409, 97.04656640695778, 97.49954701938756, 97.64450081536509, 97.37271244790723, 98.06124297880051, 97.13716252944374, 97.75321616234825, 97.98876608081174, 96.48487044754485, 97.62638159086791, 97.37271244790723, 97.82569306033702, 97.64450081536509, 97.8800507338286, 97.37271244790723, 97.06468563145498, 97.8619315093314, 98.22431599927523, 98.22431599927523, 98.296792897264, 98.2786736727668, 98.31491212176118, 98.296792897264, 98.33303134625838, 98.35115057075558, 98.33303134625838, 98.20619677477805, 98.26055444826962, 98.296792897264, 98.35115057075558, 98.36926979525276, 98.36926979525276, 98.40550824424714, 98.42362746874433, 98.36926979525276, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.35115057075558, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.38738901974996, 98.38738901974996, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.35115057075558, 98.40550824424714, 98.40550824424714, 98.40550824424714, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.35115057075558, 98.38738901974996, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.38738901974996, 98.38738901974996, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.35115057075558, 98.35115057075558, 98.38738901974996, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.35115057075558, 98.35115057075558, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.40550824424714, 98.35115057075558, 98.36926979525276, 98.35115057075558, 98.35115057075558, 98.35115057075558, 98.35115057075558, 98.36926979525276, 98.36926979525276, 98.35115057075558, 98.35115057075558, 98.35115057075558, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.40550824424714, 98.36926979525276, 98.38738901974996, 98.31491212176118, 98.36926979525276, 98.35115057075558, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.40550824424714, 98.40550824424714, 98.40550824424714, 98.40550824424714, 98.38738901974996, 98.40550824424714, 98.40550824424714, 98.38738901974996, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.38738901974996, 98.35115057075558, 98.35115057075558, 98.33303134625838, 98.36926979525276, 98.35115057075558, 98.35115057075558, 98.36926979525276, 98.36926979525276, 98.42362746874433, 98.38738901974996, 98.36926979525276, 98.40550824424714, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.35115057075558, 98.38738901974996, 98.35115057075558, 98.35115057075558, 98.35115057075558, 98.36926979525276, 98.36926979525276, 98.35115057075558, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.35115057075558, 98.35115057075558, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.35115057075558, 98.36926979525276, 98.35115057075558, 98.33303134625838, 98.33303134625838, 98.36926979525276, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.35115057075558, 98.35115057075558, 98.35115057075558, 98.36926979525276, 98.38738901974996, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.40550824424714, 98.35115057075558, 98.38738901974996, 98.35115057075558, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.38738901974996, 98.40550824424714, 98.36926979525276, 98.38738901974996, 98.38738901974996, 98.38738901974996, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.38738901974996, 98.38738901974996, 98.36926979525276, 98.38738901974996, 98.35115057075558, 98.36926979525276, 98.36926979525276, 98.35115057075558, 98.36926979525276, 98.36926979525276, 98.35115057075558, 98.35115057075558, 98.36926979525276, 98.35115057075558, 98.35115057075558, 98.35115057075558, 98.38738901974996, 98.40550824424714, 98.40550824424714, 98.35115057075558, 98.38738901974996, 98.40550824424714, 98.40550824424714, 98.33303134625838, 98.40550824424714, 98.38738901974996, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.40550824424714, 98.38738901974996, 98.35115057075558, 98.36926979525276, 98.40550824424714, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.35115057075558, 98.36926979525276, 98.38738901974996, 98.40550824424714, 98.38738901974996, 98.38738901974996, 98.36926979525276, 98.38738901974996, 98.38738901974996, 98.36926979525276, 98.35115057075558, 98.40550824424714, 98.36926979525276, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.38738901974996, 98.35115057075558, 98.35115057075558, 98.42362746874433, 98.38738901974996, 98.38738901974996, 98.36926979525276, 98.35115057075558, 98.35115057075558, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.38738901974996, 98.36926979525276, 98.36926979525276, 98.36926979525276, 98.38738901974996, 98.38738901974996]"
test_acc,98.47770931496919
