,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,EFFICIENTNET-B7
loss_list,"[1.1726598739624023, 0.27989038825035095, 0.13120602071285248, 0.0636279508471489, 0.04185331612825394, 0.032325755804777145, 0.01875615492463112, 0.01730070821940899, 0.01583787612617016, 0.011095878668129444, 0.011910208500921726, 0.013453391380608082, 0.016113972291350365, 0.010531501844525337, 0.010755015537142754, 0.009130231104791164, 0.008220179937779903, 0.008787455037236214, 0.007361900061368942, 0.009495233185589314, 0.007524327374994755, 0.007428003940731287, 0.007516300305724144, 0.010269476100802422, 0.0054101538844406605, 0.005245892331004143, 0.005223191808909178, 0.005977538879960775, 0.0035648017656058073, 0.005761520005762577, 0.006234080530703068, 0.0030940661672502756, 0.005197330843657255, 0.005501046311110258, 0.007005461025983095, 0.0050173066556453705, 0.0037251135800033808, 0.005678520537912846, 0.001964116469025612, 0.0023283245973289013, 0.0018127213697880507, 0.0016342138405889273, 0.0017522630514577031, 0.0010929065756499767, 0.002243462484329939, 0.0011009839363396168, 0.0008801502408459783, 0.0005049415631219745, 0.0009889376815408468, 0.0011462365509942174, 0.0007424160721711814, 0.0005002508987672627, 0.000513523118570447, 0.001804421073757112, 0.0006490685627795756, 0.001019737683236599, 0.0011744999792426825, 0.0005512160714715719, 0.0010449702385812998, 0.00036699470365419984, 0.0014636581763625145, 0.0005499026156030595, 0.00036568427458405495, 0.0007517203921452165, 0.0007329102954827249, 0.00028690911130979657, 0.0010505267418920994, 0.0006722970283590257, 0.000758713751565665, 0.00025838424335233867, 0.0006430125795304775, 0.0006054893601685762, 0.0009701074450276792, 0.0006394931115210056, 0.000532512494828552, 0.0008565936586819589, 0.000673759204801172, 0.0009166504023596644, 0.0004133819311391562, 0.0004968740977346897, 0.0008143362356349826, 0.0003514105046633631, 0.0015778178349137306, 0.0006793695501983166, 0.00041037978371605277, 0.0005039928364567459, 0.00042892753845080733, 0.000845637870952487, 0.0005218830774538219, 0.0005878809606656432, 0.0010187828447669744, 0.00045773829333484173, 0.00041080036316998303, 0.00033758487552404404, 0.00041256865370087326, 0.00048434807104058564, 0.0006320649408735335, 0.0008555547101423144, 0.0012574871070683002, 0.00045065904851071537, 0.0005976472748443484, 0.0006671779556199908, 0.0008129432098940015, 0.001067074597813189, 0.0009375823428854346, 0.00044300133595243096, 0.0005998780834488571, 0.0005510672344826162, 0.0004176929942332208, 0.0006133074639365077, 0.0004163951089140028, 0.0006586156086996198, 0.00022942763462197036, 0.0008930382900871336, 0.0008364446111954749, 0.0008012776961550117, 0.0003282200777903199, 0.0006108401576057076, 0.0005713230930268764, 0.000753030355554074, 0.0002347300760447979, 0.000576864811591804, 0.0006824868614785373, 0.0017215400002896786, 0.0006210042047314346, 0.0008000896195881069, 0.0009111418039537966, 0.0006082507316023111, 0.0008700224570930004, 0.00029547614394687116, 0.0003601852513384074, 0.00044116636854596436, 0.00021360219398047775, 0.0008260972681455314, 0.00036620418541133404, 0.0005017485818825662, 0.0005602834280580282, 0.0008381554507650435, 0.0006234002066776156, 0.0007953743333928287, 0.0003915838315151632, 0.0011626452906057239, 0.0012230472639203072, 0.0012405411107465625, 0.00033736327895894647, 0.0009915402624756098, 0.0003659739450085908, 0.0007735029212199152, 0.0004675903473980725, 0.0005648316000588238, 0.0005581524455919862, 0.0005879395175725222, 0.0007179295644164085, 0.000315509969368577, 0.001242363010533154, 0.0013336257543414831, 0.0005107856122776866, 0.00024268428387586027, 0.0005926525918766856, 0.0008547714678570628, 0.0005456022918224335, 0.000568379124160856, 0.0007426731172017753, 0.0006235236069187522, 0.0014952716883271933, 0.0006226259865798056, 0.0010180086828768253, 0.0006404021405614913, 0.000529110839124769, 0.0012831449275836349, 0.0008591465302743018, 0.0006374390795826912, 0.00044611297198571265, 0.0008935335208661854, 0.0007181402761489153, 0.0010151806054636836, 0.00039329903665930033, 0.0003825546009466052, 0.0006344310822896659, 0.0006652651354670525, 0.00043474690755829215, 0.0010558669455349445, 0.0008245379431173205, 0.0007726580952294171, 0.00028457381995394826, 0.0005034639616496861, 0.0005629842635244131, 0.0006755655631422997, 0.0006895264377817512, 0.0010697167599573731, 0.0011793604353442788, 0.0011449317680671811, 0.0005530554335564375, 0.000779773632530123, 0.0010522691300138831, 0.0006787076126784086, 0.0007789089577272534, 0.0010882290080189705, 0.0013101155636832118, 0.001031203311868012, 0.0005364028620533645, 0.0009185982635244727, 0.0006082442705519497, 0.0004064529202878475, 0.0008239917806349695, 0.0006010054494254291, 0.0007797300349920988, 0.0008794678142294288, 0.0005519920377992094, 0.0003912030952051282, 0.0005977608961984515, 0.0004295627004466951, 0.0007698069093748927, 0.0005392709863372147, 0.0004267618933226913, 0.0006766904843971133, 0.0004976633354090154, 0.00047120358794927597, 0.0003749832103494555, 0.0005489110480993986, 0.0009561406332068145, 0.0005233199917711318, 0.0006272321916185319, 0.0004288636555429548, 0.0006163642974570394, 0.0007632854976691306, 0.0005644022021442652, 0.0005394155741669238, 0.00036597796133719385, 0.0008349678246304393, 0.0010614561615511775, 0.00044275575783103704, 0.0008421429665759206, 0.000777063425630331, 0.0005481860716827214, 0.0007890504784882069, 0.00018165394430980086, 0.0007545760017819703, 0.0003686117415782064, 0.0010831654071807861, 0.0005968313198536634, 0.0009004875901155174, 0.0013333415845409036, 0.0007161348476074636, 0.0006895939586684108, 0.0011337667237967253, 0.00042036743252538145, 0.0009421018185093999, 0.0008527160971425474, 0.000820221786852926, 0.0006948550581000745, 0.0006245097029022872, 0.0005610139342024922, 0.000716457492671907, 0.0004263153241481632, 0.0004507175472099334, 0.00044384741340763867, 0.0009872865630313754, 0.0009998144814744592, 0.0005967143806628883, 0.0009295492200180888, 0.0005796748446300626, 0.00047613357310183346, 0.0007603734266012907, 0.0007315181428566575, 0.0023342089261859655, 0.000524560862686485, 0.0012219974305480719, 0.0006337627419270575, 0.00094681850168854, 0.0005187594215385616, 0.0006474066176451743, 0.0007514478056691587, 0.0007198681705631316, 0.00045261875493451953, 0.0007011301349848509, 0.0008167987107299268, 0.000710016000084579, 0.0005058415117673576, 0.0006428605411201715, 0.0006457220297306776, 0.0007757899002172053, 0.000988838030025363, 0.0004399657482281327, 0.001869649044238031, 0.00033777093631215394, 0.0007002173806540668, 0.0004963141982443631, 0.0003159722837153822, 0.0004830096731893718, 0.0013366873608902097, 0.0005337926559150219, 0.0006333939963951707, 0.000638057361356914, 0.0006381948478519917, 0.0011812003795057535, 0.0011252491967752576, 0.0006298520602285862, 0.0007345217745751143, 0.0005919755203649402]"
train_acc_list,"[13.029973598384842, 13.029973598384842, 13.050680747528084, 14.608893720557022, 25.097064761608944, 31.46451312315577, 38.97085468758089, 51.82999430553399, 65.32070197235595, 80.56634052906766, 93.88621421545788, 96.70756328622457, 99.44608376041828, 99.88093389242636, 99.90681782885541, 99.9482321271419, 99.82398923228246, 99.61691774085003, 99.94305533985609, 99.93787855257027, 99.98446963814257, 99.93787855257027, 99.68939276285137, 99.9482321271419, 99.92752497799864, 99.95858570171352, 99.97929285085677, 99.98964642542838, 99.83951959413989, 99.42019982398924, 99.9948232127142, 99.94305533985609, 99.97411606357095, 99.94305533985609, 99.95340891442771, 99.96893927628514, 99.37360873841695, 99.96376248899934, 100.0, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.98964642542838, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142, 99.9948232127142]"
val_acc_list,"[13.027722413480703, 13.027722413480703, 13.045841637977896, 14.767167965211089, 24.80521833665519, 31.78111976807393, 38.72078275049828, 51.00561695959412, 64.05145859757202, 78.96358035876064, 89.67204203660083, 91.59267983330314, 93.87570211994927, 94.74542489581445, 94.890378691792, 95.25276318173582, 94.72730567131727, 94.60047109983692, 94.98097481427796, 95.43395542670774, 95.32524007972458, 95.23464395723863, 93.82134444645769, 94.81790179380323, 95.10780938575829, 95.59702844718247, 95.14404783475268, 95.63326689617683, 95.10780938575829, 94.52799420184816, 95.47019387570212, 95.12592861025549, 95.43395542670774, 95.03533248776952, 95.47019387570212, 95.21652473274143, 94.12937126290994, 95.79633991665156, 96.12248595760101, 96.30367820257293, 96.33991665156731, 96.24932052908134, 96.23120130458418, 96.1406051820982, 96.28555897807574, 96.23120130458418, 96.33991665156731, 96.30367820257293, 96.32179742707012, 96.41239354955607, 96.28555897807574, 96.28555897807574, 96.28555897807574, 96.33991665156731, 96.1768436310926, 96.24932052908134, 96.06812828410945, 96.1406051820982, 96.1587244065954, 96.23120130458418, 96.26743975357854, 96.26743975357854, 96.30367820257293, 96.26743975357854, 96.28555897807574, 96.23120130458418, 96.24932052908134, 96.26743975357854, 96.28555897807574, 96.24932052908134, 96.28555897807574, 96.28555897807574, 96.32179742707012, 96.32179742707012, 96.28555897807574, 96.24932052908134, 96.24932052908134, 96.19496285558978, 96.23120130458418, 96.24932052908134, 96.24932052908134, 96.21308208008698, 96.19496285558978, 96.26743975357854, 96.30367820257293, 96.24932052908134, 96.23120130458418, 96.21308208008698, 96.23120130458418, 96.24932052908134, 96.24932052908134, 96.21308208008698, 96.23120130458418, 96.24932052908134, 96.26743975357854, 96.24932052908134, 96.24932052908134, 96.24932052908134, 96.23120130458418, 96.24932052908134, 96.23120130458418, 96.26743975357854, 96.26743975357854, 96.21308208008698, 96.21308208008698, 96.24932052908134, 96.26743975357854, 96.26743975357854, 96.23120130458418, 96.24932052908134, 96.26743975357854, 96.23120130458418, 96.23120130458418, 96.23120130458418, 96.26743975357854, 96.26743975357854, 96.26743975357854, 96.26743975357854, 96.24932052908134, 96.24932052908134, 96.21308208008698, 96.21308208008698, 96.24932052908134, 96.26743975357854, 96.26743975357854, 96.26743975357854, 96.23120130458418, 96.19496285558978, 96.23120130458418, 96.26743975357854, 96.24932052908134, 96.21308208008698, 96.26743975357854, 96.23120130458418, 96.26743975357854, 96.23120130458418, 96.26743975357854, 96.24932052908134, 96.30367820257293, 96.21308208008698, 96.23120130458418, 96.23120130458418, 96.23120130458418, 96.19496285558978, 96.23120130458418, 96.24932052908134, 96.23120130458418, 96.24932052908134, 96.21308208008698, 96.24932052908134, 96.24932052908134, 96.19496285558978, 96.26743975357854, 96.23120130458418, 96.26743975357854, 96.24932052908134, 96.24932052908134, 96.24932052908134, 96.24932052908134, 96.24932052908134, 96.26743975357854, 96.24932052908134, 96.24932052908134, 96.23120130458418, 96.24932052908134, 96.21308208008698, 96.24932052908134, 96.24932052908134, 96.24932052908134, 96.24932052908134, 96.28555897807574, 96.24932052908134, 96.26743975357854, 96.26743975357854, 96.23120130458418, 96.26743975357854, 96.26743975357854, 96.28555897807574, 96.28555897807574, 96.26743975357854, 96.24932052908134, 96.21308208008698, 96.21308208008698, 96.24932052908134, 96.26743975357854, 96.24932052908134, 96.26743975357854, 96.24932052908134, 96.28555897807574, 96.24932052908134, 96.23120130458418, 96.23120130458418, 96.28555897807574, 96.28555897807574, 96.24932052908134, 96.26743975357854, 96.24932052908134, 96.28555897807574, 96.26743975357854, 96.26743975357854, 96.23120130458418, 96.24932052908134, 96.23120130458418, 96.26743975357854, 96.24932052908134, 96.26743975357854, 96.26743975357854, 96.28555897807574, 96.23120130458418, 96.24932052908134, 96.23120130458418, 96.24932052908134, 96.26743975357854, 96.23120130458418, 96.24932052908134, 96.21308208008698, 96.23120130458418, 96.23120130458418, 96.26743975357854, 96.24932052908134, 96.24932052908134, 96.23120130458418, 96.24932052908134, 96.24932052908134, 96.23120130458418, 96.26743975357854, 96.28555897807574, 96.28555897807574, 96.26743975357854, 96.26743975357854, 96.23120130458418, 96.28555897807574, 96.28555897807574, 96.26743975357854, 96.23120130458418, 96.26743975357854, 96.24932052908134, 96.23120130458418, 96.26743975357854, 96.28555897807574, 96.21308208008698, 96.26743975357854, 96.24932052908134, 96.26743975357854, 96.21308208008698, 96.26743975357854, 96.26743975357854, 96.24932052908134, 96.24932052908134, 96.23120130458418, 96.26743975357854, 96.26743975357854, 96.23120130458418, 96.23120130458418, 96.19496285558978, 96.24932052908134, 96.23120130458418, 96.21308208008698, 96.23120130458418, 96.23120130458418, 96.26743975357854, 96.23120130458418, 96.24932052908134, 96.19496285558978, 96.21308208008698, 96.21308208008698, 96.28555897807574, 96.28555897807574, 96.28555897807574, 96.28555897807574, 96.28555897807574, 96.28555897807574, 96.23120130458418, 96.24932052908134, 96.24932052908134, 96.24932052908134, 96.24932052908134, 96.24932052908134, 96.24932052908134, 96.24932052908134, 96.21308208008698, 96.23120130458418, 96.24932052908134, 96.26743975357854, 96.24932052908134, 96.24932052908134, 96.21308208008698, 96.26743975357854, 96.23120130458418, 96.24932052908134, 96.24932052908134, 96.23120130458418, 96.28555897807574, 96.24932052908134, 96.24932052908134, 96.24932052908134, 96.19496285558978, 96.21308208008698, 96.24932052908134, 96.23120130458418]"
test_acc,96.66545849945632
