,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,RESNET152
loss_list,"[1.3672813177108765, 0.9068239331245422, 0.8220425844192505, 0.7715426683425903, 0.7462697625160217, 0.7303785085678101, 0.6995517611503601, 0.7037596702575684, 0.6942353844642639, 0.6801870465278625, 0.6774657368659973, 0.6496201753616333, 0.6469201445579529, 0.6384158730506897, 0.6582908034324646, 0.6612910628318787, 0.6435595154762268, 0.644995391368866, 0.6401798725128174, 0.6230764985084534, 0.6216429471969604, 0.6278363466262817, 0.6236085295677185, 0.6276799440383911, 0.6338764429092407, 0.6106438040733337, 0.6061946749687195, 0.6144594550132751, 0.6091479063034058, 0.6175042390823364, 0.61227947473526, 0.6114932894706726, 0.6141623258590698, 0.6067731380462646, 0.5897465348243713, 0.5939276814460754, 0.586409866809845, 0.5892568826675415, 0.5821223855018616, 0.58769690990448, 0.5917474627494812, 0.5996576547622681, 0.5954955220222473, 0.5868317484855652, 0.5838367938995361, 0.5914738774299622, 0.5886296033859253, 0.5898892283439636, 0.6000784635543823, 0.5912864208221436, 0.5995277166366577, 0.5925681591033936, 0.5957711338996887, 0.5861970782279968, 0.6007121205329895, 0.581551194190979, 0.5872696042060852, 0.5898248553276062, 0.6002152562141418, 0.5697991251945496, 0.5915252566337585, 0.5806546211242676, 0.5973025560379028, 0.5984622240066528, 0.5986409187316895, 0.6012629270553589, 0.5964073538780212, 0.5919687151908875, 0.5959588289260864, 0.5907513499259949, 0.5986141562461853, 0.5971160531044006, 0.5813112258911133, 0.5896624326705933, 0.5835716128349304, 0.5841698050498962, 0.5843364596366882, 0.5844513773918152, 0.5965742468833923, 0.5883655548095703, 0.5900331139564514, 0.5854275226593018, 0.5930367112159729, 0.5969067811965942, 0.5968499183654785, 0.5841818451881409, 0.5905254483222961, 0.5962471961975098, 0.5889805555343628, 0.59054034948349, 0.5982471704483032, 0.5902544856071472, 0.5800232887268066, 0.581900954246521, 0.5962786674499512, 0.581057071685791, 0.5710844397544861, 0.5914576649665833, 0.5818701982498169, 0.5942143797874451, 0.6029577255249023, 0.5956320762634277, 0.5785638689994812, 0.5854980945587158, 0.5969758033752441, 0.583629310131073, 0.5937177538871765, 0.5891571044921875, 0.5759467482566833, 0.5958663821220398, 0.5920294523239136, 0.5887994766235352, 0.5962696671485901, 0.5909342765808105, 0.6087394952774048, 0.5967052578926086, 0.5778042674064636, 0.6071202754974365, 0.5967696309089661, 0.5884944200515747, 0.5742170214653015, 0.5937311053276062, 0.5832321047782898, 0.5916377902030945, 0.5795678496360779, 0.5890589356422424, 0.5886887311935425, 0.5812453031539917, 0.600107729434967, 0.5878384113311768, 0.5863137245178223, 0.5872421264648438, 0.5925377011299133, 0.5830501317977905, 0.5914644598960876, 0.5897536277770996, 0.6046541929244995, 0.5897397398948669, 0.5799293518066406, 0.5889496207237244, 0.6028715968132019, 0.5878208875656128, 0.5961422920227051, 0.5775088667869568, 0.5946615934371948, 0.5807881355285645, 0.5919289588928223, 0.5978127717971802, 0.5874561071395874, 0.6035202145576477, 0.5984845161437988, 0.592260479927063, 0.5925908088684082, 0.5722129940986633, 0.586580753326416, 0.5832664966583252, 0.5855095386505127, 0.5902441740036011, 0.5860709547996521, 0.6012184023857117, 0.5873816609382629, 0.5832565426826477, 0.5961607098579407, 0.5943110585212708, 0.5975480079650879, 0.5894323587417603, 0.5845534205436707, 0.5824640989303589, 0.5833768248558044, 0.5885347127914429, 0.5892812609672546, 0.5833665728569031, 0.5856070518493652, 0.578605055809021, 0.5924963355064392, 0.5865883231163025, 0.5847029089927673, 0.5977820158004761, 0.5967272520065308, 0.5955864191055298, 0.5852137207984924, 0.586327075958252, 0.597220778465271, 0.5932552218437195, 0.5989426970481873, 0.5935080647468567, 0.587816596031189, 0.5777156949043274, 0.5931525230407715, 0.593957781791687, 0.5828291177749634, 0.5966465473175049, 0.5986113548278809, 0.5891716480255127, 0.5941997170448303, 0.5723045468330383, 0.5839911103248596, 0.5836284756660461, 0.5924175381660461, 0.5990644097328186, 0.5800755620002747, 0.5823797583580017, 0.5835261940956116, 0.5846625566482544, 0.5898293852806091, 0.5815991163253784, 0.5916392803192139, 0.5855759382247925, 0.5768519043922424, 0.5816697478294373, 0.5858874917030334, 0.5929408073425293, 0.5884620547294617, 0.5622238516807556, 0.5856980085372925, 0.5887857675552368, 0.5858452916145325, 0.581110417842865, 0.5845274925231934, 0.5800301432609558, 0.6014198064804077, 0.5811179876327515, 0.5850726962089539, 0.5833732485771179, 0.578738272190094, 0.596930742263794, 0.5876571536064148, 0.5941742062568665, 0.5891686081886292, 0.5873405337333679, 0.5836796164512634, 0.5780028104782104, 0.5828445553779602, 0.5686111450195312, 0.5830384492874146, 0.6031138300895691, 0.5823373198509216, 0.5896037220954895, 0.5840908288955688, 0.6109179854393005, 0.5871185064315796, 0.5820280313491821, 0.5914034843444824, 0.59735506772995, 0.589292585849762, 0.5951302647590637, 0.5980207324028015, 0.5859253406524658, 0.5814093351364136, 0.5809184908866882, 0.593968391418457, 0.5941877961158752, 0.5778230428695679, 0.5957918167114258, 0.5877140760421753, 0.5830696821212769, 0.5897892117500305, 0.5871214866638184, 0.5867829918861389, 0.5871186256408691, 0.5866687893867493, 0.5790361166000366, 0.5881680846214294, 0.5933983325958252, 0.5985731482505798, 0.5890377759933472, 0.5821501016616821, 0.5901288390159607, 0.5928053855895996, 0.5975149273872375, 0.5905836224555969, 0.5930021405220032, 0.5873255729675293, 0.58031165599823, 0.5837516784667969, 0.5913507342338562, 0.5883798599243164, 0.5865710973739624, 0.5881117582321167, 0.589341938495636, 0.5880697965621948, 0.5827536582946777, 0.5916039347648621, 0.5988667607307434, 0.5833109021186829, 0.589632511138916, 0.5950144529342651, 0.5755661129951477, 0.5815222859382629, 0.5909534096717834, 0.5759167671203613, 0.5789802074432373, 0.5966938138008118, 0.5958491563796997, 0.5932081937789917, 0.5851094126701355, 0.5875909924507141, 0.5902563333511353, 0.5856092572212219, 0.5942400693893433]"
train_acc_list,"[11.093855153491743, 14.70725267898742, 31.516280996013872, 44.918983278977066, 58.17155873065176, 72.63550240720609, 73.00823109178444, 71.75544856861832, 74.63374229952892, 73.5880312677952, 73.39649013822022, 73.10659005021483, 74.61821193767149, 75.60697830926128, 75.23424962468293, 74.72174768338769, 73.49484909665061, 73.45861158564995, 74.89258166381944, 75.58109437283223, 75.86064088626598, 74.18853859294921, 76.73034115028213, 74.25066004037895, 75.9641766319822, 76.58021431899364, 75.33778537039913, 76.09877310141326, 76.63715897913754, 76.48185536056323, 75.41543717968628, 74.26619040223638, 77.22731272971993, 77.10306983486048, 77.08753947300305, 78.06077548273541, 77.77087539473003, 78.20054873945229, 77.29461096443548, 77.31531811357871, 77.17554485686183, 77.6518092871564, 77.51203603043952, 77.51721281772532, 78.17466480302325, 77.73981467101517, 77.72428430915774, 77.67769322358544, 78.31443805974013, 77.75016824558679, 77.78640575658746, 78.0038308225915, 78.18501837759486, 78.01418439716312, 78.454211316457, 77.9002950768753, 77.54827354144018, 77.7553450328726, 77.8071129057307, 77.74499145830099, 77.75016824558679, 78.0038308225915, 77.22731272971993, 77.73463788372936, 78.13842729202257, 77.75016824558679, 77.48097530672464, 77.38261634829425, 77.66733964901383, 77.86923435316044, 77.78640575658746, 78.02971475902055, 77.94170937516178, 78.04524512087798, 77.58968783972666, 77.86405756587462, 77.87441114044624, 77.63627892529897, 77.82782005487394, 77.96241652430501, 78.1021897810219, 78.16431122845162, 77.662162861728, 77.79158254387328, 77.68287001087126, 77.77087539473003, 77.84852720401719, 77.68287001087126, 77.61557177615572, 77.31014132629291, 77.60004141429829, 77.52238960501113, 77.96241652430501, 77.42920743386654, 77.41367707200911, 77.82264326758813, 77.60004141429829, 77.56898069058342, 77.99347724801989, 77.63627892529897, 77.79158254387328, 78.02971475902055, 77.80193611844489, 78.0504219081638, 77.62074856344154, 78.14360407930837, 77.662162861728, 77.67251643629963, 77.59486462701247, 78.23678625045297, 78.19537195216648, 77.78122896930165, 78.11254335559352, 78.03489154630637, 77.71910752187192, 77.43438422115236, 78.24196303773878, 77.79158254387328, 77.82782005487394, 78.1487808665942, 77.78640575658746, 77.68287001087126, 78.16948801573743, 77.39814671015168, 77.32049490086452, 78.23160946316716, 78.39726665631309, 77.9002950768753, 77.23248951700575, 77.86405756587462, 78.12807371745095, 77.98830046073407, 77.48097530672464, 77.62592535072734, 77.73981467101517, 77.54309675415438, 77.69322358544287, 77.95723973701921, 78.08665941916446, 77.73981467101517, 78.07112905730703, 78.10736656830771, 77.45509137029559, 77.42920743386654, 77.37226277372264, 77.82264326758813, 77.68804679815706, 78.22125588859554, 77.84852720401719, 77.31014132629291, 77.89511828958948, 77.95723973701921, 77.85888077858881, 77.6052182015841, 77.34637883729357, 77.6052182015841, 77.48097530672464, 77.80193611844489, 77.72428430915774, 77.31531811357871, 77.74499145830099, 78.06595227002123, 77.62074856344154, 77.98830046073407, 77.7553450328726, 77.54309675415438, 78.08148263187866, 77.82782005487394, 77.6518092871564, 77.94688616244758, 77.80193611844489, 77.54827354144018, 78.01936118444893, 78.01936118444893, 77.68804679815706, 77.22731272971993, 77.96241652430501, 77.53791996686856, 77.83299684215976, 77.3670859864368, 78.22125588859554, 77.95723973701921, 77.6052182015841, 78.23160946316716, 77.81746648030233, 77.93135580059015, 77.2117823678625, 78.00900760987732, 77.88994150230367, 77.98312367344826, 77.86405756587462, 77.75016824558679, 77.41367707200911, 77.82264326758813, 78.21607910130973, 77.18072164414764, 77.69322358544287, 77.92617901330433, 78.33514520888338, 77.99347724801989, 77.76569860744422, 77.83817362944556, 77.68287001087126, 77.44473779572397, 77.71910752187192, 77.79675933115908, 77.49132888129627, 77.9054718641611, 77.9002950768753, 78.12807371745095, 78.37138271988404, 77.85370399130301, 77.79675933115908, 77.48097530672464, 77.76052182015842, 77.9002950768753, 77.47062173215302, 77.64663249987058, 77.75016824558679, 77.42920743386654, 77.67251643629963, 77.46544494486722, 77.72946109644354, 77.66733964901383, 78.42832738002795, 77.9002950768753, 77.77605218201585, 77.97277009887664, 77.39814671015168, 78.0038308225915, 77.68287001087126, 77.42920743386654, 77.94170937516178, 77.8071129057307, 77.9054718641611, 77.79675933115908, 77.86923435316044, 77.52238960501113, 77.60004141429829, 77.81228969301651, 77.94688616244758, 78.08665941916446, 77.07718589843144, 77.86405756587462, 78.19019516488068, 78.12807371745095, 77.67769322358544, 77.662162861728, 78.02971475902055, 77.74499145830099, 78.0504219081638, 78.34032199616918, 77.39814671015168, 77.71910752187192, 77.77605218201585, 77.70357716001449, 77.77087539473003, 77.62592535072734, 77.52756639229695, 77.81746648030233, 77.72428430915774, 77.58451105244085, 78.00900760987732, 77.58451105244085, 77.83299684215976, 77.73981467101517, 77.68287001087126, 77.93135580059015, 77.44473779572397, 77.49650566858209, 78.37138271988404, 77.1134234094321, 77.9106486514469, 78.14360407930837, 77.27908060257805, 77.9054718641611, 77.60004141429829, 78.22643267588136, 77.69840037272868, 77.59486462701247, 77.6052182015841, 77.64145571258477, 77.662162861728, 78.23678625045297, 77.92100222601853, 78.12289693016514, 78.08665941916446, 77.68287001087126, 77.1548377077186, 77.94688616244758, 78.06077548273541, 78.13325050473676, 78.34549878345499, 77.83299684215976, 77.49132888129627, 78.08148263187866, 77.83817362944556, 77.79675933115908, 77.95206294973339, 77.75016824558679]"
val_acc_list,"[10.871534698314912, 16.361659720963942, 40.623301322703384, 57.72784924805219, 75.4303315818083, 93.71262909947454, 93.71262909947454, 91.2302953433593, 95.36147852871896, 93.71262909947454, 93.87570211994927, 93.49519840550823, 95.25276318173582, 95.61514767167965, 95.94129371262909, 94.09313281391557, 94.07501358941838, 93.02409856858127, 95.81445914114876, 95.3071208552274, 95.79633991665156, 93.73074832397174, 96.61170501902518, 93.8032252219605, 95.34335930422178, 96.39427432505889, 95.18028628374705, 95.54267077369089, 96.90161261098025, 95.85069759014314, 94.99909403877514, 93.18717158905598, 97.15528175394094, 97.40895089690162, 97.37271244790723, 97.48142779489038, 97.4633085703932, 97.60826236637072, 97.57202391737634, 97.66262003986229, 97.66262003986229, 97.71697771335387, 97.57202391737634, 97.60826236637072, 97.60826236637072, 97.62638159086791, 97.71697771335387, 97.71697771335387, 97.64450081536509, 97.71697771335387, 97.75321616234825, 97.64450081536509, 97.71697771335387, 97.73509693785107, 97.73509693785107, 97.71697771335387, 97.73509693785107, 97.77133538684545, 97.69885848885667, 97.77133538684545, 97.73509693785107, 97.71697771335387, 97.73509693785107, 97.69885848885667, 97.73509693785107, 97.77133538684545, 97.77133538684545, 97.73509693785107, 97.75321616234825, 97.80757383583982, 97.75321616234825, 97.75321616234825, 97.71697771335387, 97.73509693785107, 97.75321616234825, 97.71697771335387, 97.69885848885667, 97.62638159086791, 97.66262003986229, 97.71697771335387, 97.77133538684545, 97.71697771335387, 97.69885848885667, 97.73509693785107, 97.77133538684545, 97.71697771335387, 97.71697771335387, 97.75321616234825, 97.73509693785107, 97.78945461134263, 97.73509693785107, 97.71697771335387, 97.77133538684545, 97.69885848885667, 97.75321616234825, 97.73509693785107, 97.73509693785107, 97.75321616234825, 97.75321616234825, 97.73509693785107, 97.75321616234825, 97.77133538684545, 97.66262003986229, 97.71697771335387, 97.77133538684545, 97.77133538684545, 97.75321616234825, 97.77133538684545, 97.71697771335387, 97.75321616234825, 97.75321616234825, 97.69885848885667, 97.71697771335387, 97.80757383583982, 97.78945461134263, 97.73509693785107, 97.71697771335387, 97.75321616234825, 97.73509693785107, 97.68073926435949, 97.71697771335387, 97.66262003986229, 97.69885848885667, 97.78945461134263, 97.77133538684545, 97.78945461134263, 97.75321616234825, 97.75321616234825, 97.77133538684545, 97.73509693785107, 97.80757383583982, 97.71697771335387, 97.73509693785107, 97.73509693785107, 97.80757383583982, 97.71697771335387, 97.78945461134263, 97.75321616234825, 97.77133538684545, 97.78945461134263, 97.69885848885667, 97.71697771335387, 97.73509693785107, 97.69885848885667, 97.68073926435949, 97.77133538684545, 97.69885848885667, 97.71697771335387, 97.64450081536509, 97.73509693785107, 97.73509693785107, 97.69885848885667, 97.69885848885667, 97.77133538684545, 97.71697771335387, 97.73509693785107, 97.75321616234825, 97.71697771335387, 97.77133538684545, 97.66262003986229, 97.80757383583982, 97.80757383583982, 97.77133538684545, 97.73509693785107, 97.73509693785107, 97.78945461134263, 97.73509693785107, 97.75321616234825, 97.69885848885667, 97.77133538684545, 97.77133538684545, 97.77133538684545, 97.82569306033702, 97.73509693785107, 97.78945461134263, 97.68073926435949, 97.80757383583982, 97.75321616234825, 97.71697771335387, 97.75321616234825, 97.78945461134263, 97.71697771335387, 97.78945461134263, 97.64450081536509, 97.75321616234825, 97.78945461134263, 97.77133538684545, 97.75321616234825, 97.77133538684545, 97.77133538684545, 97.77133538684545, 97.77133538684545, 97.71697771335387, 97.75321616234825, 97.69885848885667, 97.75321616234825, 97.73509693785107, 97.78945461134263, 97.78945461134263, 97.69885848885667, 97.75321616234825, 97.73509693785107, 97.75321616234825, 97.75321616234825, 97.75321616234825, 97.75321616234825, 97.75321616234825, 97.77133538684545, 97.71697771335387, 97.80757383583982, 97.71697771335387, 97.75321616234825, 97.78945461134263, 97.73509693785107, 97.75321616234825, 97.75321616234825, 97.78945461134263, 97.75321616234825, 97.71697771335387, 97.73509693785107, 97.78945461134263, 97.69885848885667, 97.77133538684545, 97.69885848885667, 97.71697771335387, 97.71697771335387, 97.69885848885667, 97.68073926435949, 97.78945461134263, 97.75321616234825, 97.69885848885667, 97.75321616234825, 97.77133538684545, 97.77133538684545, 97.73509693785107, 97.75321616234825, 97.71697771335387, 97.68073926435949, 97.68073926435949, 97.75321616234825, 97.71697771335387, 97.68073926435949, 97.71697771335387, 97.75321616234825, 97.78945461134263, 97.73509693785107, 97.77133538684545, 97.73509693785107, 97.75321616234825, 97.68073926435949, 97.75321616234825, 97.75321616234825, 97.73509693785107, 97.77133538684545, 97.71697771335387, 97.77133538684545, 97.75321616234825, 97.75321616234825, 97.68073926435949, 97.68073926435949, 97.71697771335387, 97.75321616234825, 97.71697771335387, 97.73509693785107, 97.77133538684545, 97.71697771335387, 97.69885848885667, 97.73509693785107, 97.77133538684545, 97.73509693785107, 97.75321616234825, 97.78945461134263, 97.75321616234825, 97.77133538684545, 97.71697771335387, 97.73509693785107, 97.77133538684545, 97.75321616234825, 97.78945461134263, 97.77133538684545, 97.80757383583982, 97.75321616234825, 97.73509693785107, 97.78945461134263, 97.71697771335387, 97.71697771335387, 97.75321616234825, 97.69885848885667, 97.75321616234825, 97.77133538684545, 97.75321616234825, 97.73509693785107, 97.71697771335387, 97.77133538684545, 97.75321616234825, 97.73509693785107, 97.73509693785107, 97.71697771335387, 97.71697771335387, 97.73509693785107]"
test_acc,97.7890540050743
