,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,RESNET152
loss_list,"[0.8129438757896423, 0.1901334971189499, 0.059750013053417206, 0.01779557205736637, 0.011459004133939743, 0.010009870864450932, 0.01750851608812809, 0.018733050674200058, 0.010923350229859352, 0.015953274443745613, 0.015129291452467442, 0.009565221145749092, 0.008264920674264431, 0.008310874924063683, 0.012470648624002934, 0.01483199279755354, 0.007872968912124634, 0.005766291171312332, 0.0025268681347370148, 0.001964553026482463, 0.010174572467803955, 0.015720637515187263, 0.009718911722302437, 0.006093237549066544, 0.006128854118287563, 0.007099359296262264, 0.0020350979175418615, 0.0008557183900848031, 0.0005582105950452387, 0.00047010311391204596, 0.00039011138142086565, 0.0003830586210824549, 0.0003439616411924362, 0.00031402375316247344, 0.00028602941893041134, 0.00030175261781550944, 0.0002582515007816255, 0.00024396950902882963, 0.000252854370046407, 0.00026523435371927917, 0.0002200860035372898, 0.00024361067335121334, 0.0002117322146659717, 0.0002105396124534309, 0.00019610649906098843, 0.00018258258933201432, 0.00018895285029429942, 0.00018839938275050372, 0.00017977473908104002, 0.00016574724577367306, 0.00019863221677951515, 0.00016161358507815748, 0.00015673853340558708, 0.0001533233589725569, 0.000153442844748497, 0.00015167734818533063, 0.0001523294922662899, 0.00013866234803572297, 0.00013347575441002846, 0.00014914010534994304, 0.00013712281361222267, 0.00012643936497624964, 0.0001316208072239533, 0.00013140551163814962, 0.00011851687304442748, 0.0001227581815328449, 0.00012382490967866033, 0.00011481799447210506, 0.0001298899296671152, 0.00011419977818150073, 0.00011201568122487515, 0.00010843361815204844, 0.00010293843661202118, 0.00010830721294041723, 0.00010828748781932518, 0.00010678501712391153, 0.00011021991667803377, 0.00011865787382703274, 0.00010285207827109843, 9.357537783216685e-05, 9.505705384071916e-05, 9.573320858180523e-05, 9.367126767756417e-05, 8.98544312804006e-05, 9.59201279329136e-05, 8.868402073858306e-05, 8.79831932252273e-05, 8.578204869991168e-05, 8.328789408551529e-05, 8.711229020264e-05, 8.397806232096627e-05, 8.016289211809635e-05, 7.993241160875186e-05, 8.157554839272052e-05, 7.959389040479437e-05, 7.279039709828794e-05, 7.921469659777358e-05, 7.50063409213908e-05, 7.214073411887512e-05, 7.59485992603004e-05, 7.580762030556798e-05, 7.387261575786397e-05, 7.158549851737916e-05, 7.029811240499839e-05, 8.063521818257868e-05, 6.700491940136999e-05, 7.130386075004935e-05, 6.660803046543151e-05, 7.575118070235476e-05, 6.933382974239066e-05, 6.78711076034233e-05, 6.48416462354362e-05, 6.280655361479148e-05, 6.025101902196184e-05, 6.156272866064683e-05, 5.752356082666665e-05, 6.0168513300595805e-05, 5.946761666564271e-05, 5.895829963264987e-05, 5.842981772730127e-05, 5.813665484311059e-05, 5.7030065363505855e-05, 5.9705416788347065e-05, 5.379638969316147e-05, 5.677158696926199e-05, 5.796040568384342e-05, 5.5980384786380455e-05, 5.366243203752674e-05, 5.1507126045180485e-05, 5.119256456964649e-05, 5.0976505008293316e-05, 5.267696542432532e-05, 4.957946657668799e-05, 5.1014056225540116e-05, 5.074210639577359e-05, 4.6455075789708644e-05, 4.9713660700945184e-05, 4.844411523663439e-05, 4.75688066217117e-05, 4.6081357140792534e-05, 4.5764376409351826e-05, 4.506822006078437e-05, 4.8901772970566526e-05, 4.7616187657695264e-05, 4.3995554733555764e-05, 4.3374093365855515e-05, 4.291028744773939e-05, 4.151652319706045e-05, 4.365936911199242e-05, 4.013494253740646e-05, 4.243052171659656e-05, 4.2740637582028285e-05, 4.249947960488498e-05, 4.5204560592537746e-05, 5.6265027524204925e-05, 3.88576700061094e-05, 3.814655792666599e-05, 3.7583249650197104e-05, 3.653208477771841e-05, 3.622029908001423e-05, 3.5913271858589724e-05, 3.755629950319417e-05, 3.716968058142811e-05, 3.637458212324418e-05, 3.6822151741944253e-05, 3.490727976895869e-05, 3.494846896501258e-05, 3.252089663874358e-05, 3.5292436223244295e-05, 3.437502891756594e-05, 3.358952380949631e-05, 3.5840068449033424e-05, 3.321938493172638e-05, 3.407509211683646e-05, 3.169069532305002e-05, 3.184178422088735e-05, 3.160191772622056e-05, 3.390395431779325e-05, 3.2822357752593234e-05, 3.188216942362487e-05, 3.26642875734251e-05, 3.444126923568547e-05, 3.201500658178702e-05, 3.474881305010058e-05, 3.2592615752946585e-05, 3.223351814085618e-05, 3.272408866905607e-05, 3.4428489016136155e-05, 3.215893593733199e-05, 3.2094045309349895e-05, 3.254936746088788e-05, 3.4733970096567646e-05, 3.223540625185706e-05, 3.1448817026102915e-05, 3.250993540859781e-05, 3.2065450795926154e-05, 3.1896364816930145e-05, 3.6764122341992334e-05, 3.1896277505438775e-05, 3.40451551892329e-05, 3.2957366784103215e-05, 3.2710624509491026e-05, 3.251371163059957e-05, 3.234798714402132e-05, 3.28971327689942e-05, 3.293441477580927e-05, 3.4298518585273996e-05, 3.1977848266251385e-05, 3.1869556551100686e-05, 3.171619027853012e-05, 3.152814315399155e-05, 3.4167249395977706e-05, 3.109639146714471e-05, 3.338425813126378e-05, 3.369716432644054e-05, 3.083289266214706e-05, 3.2802228815853596e-05, 3.475571429589763e-05, 3.231674782000482e-05, 3.445581023697741e-05, 3.383727744221687e-05, 3.344045762787573e-05, 3.2041330996435136e-05, 3.271337482146919e-05, 3.291282700956799e-05, 3.185993409715593e-05, 3.3545653423061594e-05, 3.298379306215793e-05, 3.391989957890473e-05, 3.275333438068628e-05, 3.2716692658141255e-05, 3.222067607566714e-05, 3.277601354056969e-05, 3.181248393957503e-05, 3.220263897674158e-05, 3.221872611902654e-05, 3.357107561896555e-05, 3.285170532763004e-05, 3.246209234930575e-05, 3.3475102100055665e-05, 3.355389344505966e-05, 3.1858013244345784e-05, 3.132139318040572e-05, 3.2100062526296824e-05, 3.103742346866056e-05, 3.226781336707063e-05, 3.1506333471043035e-05, 3.2131771149579436e-05, 3.229721914976835e-05, 3.345788718434051e-05, 3.1418483558809385e-05, 3.357285095262341e-05, 3.351982741151005e-05, 3.157024548272602e-05, 3.3836724469438195e-05, 3.118204767815769e-05, 3.227396518923342e-05, 3.223852036171593e-05, 3.315300273243338e-05, 3.3996464480878785e-05, 3.066477438551374e-05, 3.209041460650042e-05, 3.354806176503189e-05, 3.2475545594934374e-05, 3.398516491870396e-05, 3.1899580790195614e-05, 3.321344775031321e-05, 3.269356602686457e-05, 3.128695607301779e-05, 3.219415157218464e-05, 3.511165050440468e-05, 3.189475683029741e-05, 3.305775680928491e-05, 4.4573695049621165e-05, 3.253246541135013e-05, 3.172300785081461e-05, 3.307859878987074e-05, 3.332825508550741e-05, 3.23377171298489e-05, 3.347430902067572e-05, 3.3148855436593294e-05, 3.3323856769129634e-05, 3.401518551982008e-05, 3.27835587086156e-05, 3.453468161751516e-05, 3.2811585697345436e-05, 3.110348552581854e-05, 3.2163607102120295e-05, 3.1851668609306216e-05, 3.103294511674903e-05, 3.121402551187202e-05, 3.268798172939569e-05, 3.6080240533920005e-05, 3.086857759626582e-05, 3.206007386324927e-05, 3.153871512040496e-05, 3.1297920941142365e-05, 3.251619637012482e-05, 3.185889727319591e-05, 3.3623684430494905e-05]"
train_acc_list,"[10.897137236630947, 18.651964590774963, 23.59579644872392, 47.24853755759176, 69.93321944401305, 90.22622560438992, 93.9845731738883, 98.69027281668995, 97.54102603924005, 95.92069161878139, 98.09494227882176, 98.12600300253662, 98.15188693896569, 93.57560697830925, 95.2373556970544, 95.71362012734896, 99.4046694621318, 99.07335507583993, 99.73080706113787, 99.5547962934203, 98.69544960397577, 98.53496919811565, 99.4564373349899, 99.89646425428379, 99.57032665527773, 99.47196769684734, 99.9948232127142, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
val_acc_list,"[10.925892371806487, 18.372893640152203, 23.22884580539953, 46.8019568762457, 68.83493386483059, 86.50117774959232, 89.63580358760646, 93.06033701757565, 91.81011052726943, 91.37524913933683, 92.96974089508969, 92.37180648668237, 93.40460228302229, 89.54520746512048, 89.20094219967385, 90.36057256749412, 94.6367095488313, 93.47707918101106, 94.83602101830041, 94.54611342634536, 94.25620583439029, 93.62203297698859, 94.98097481427796, 95.52455154919369, 95.21652473274143, 94.78166334480885, 95.95941293712629, 95.95941293712629, 96.03188983511505, 96.10436673310382, 96.1587244065954, 96.1768436310926, 96.05000905961225, 96.1768436310926, 96.1768436310926, 96.23120130458418, 96.10436673310382, 96.1587244065954, 96.1587244065954, 96.24932052908134, 96.23120130458418, 96.1587244065954, 96.1768436310926, 96.1587244065954, 96.19496285558978, 96.21308208008698, 96.1587244065954, 96.1768436310926, 96.23120130458418, 96.23120130458418, 96.21308208008698, 96.21308208008698, 96.21308208008698, 96.26743975357854, 96.1587244065954, 96.24932052908134, 96.26743975357854, 96.23120130458418, 96.24932052908134, 96.32179742707012, 96.26743975357854, 96.26743975357854, 96.30367820257293, 96.30367820257293, 96.28555897807574, 96.23120130458418, 96.26743975357854, 96.24932052908134, 96.28555897807574, 96.28555897807574, 96.28555897807574, 96.32179742707012, 96.26743975357854, 96.30367820257293, 96.30367820257293, 96.23120130458418, 96.21308208008698, 96.30367820257293, 96.30367820257293, 96.28555897807574, 96.26743975357854, 96.23120130458418, 96.26743975357854, 96.26743975357854, 96.26743975357854, 96.30367820257293, 96.28555897807574, 96.33991665156731, 96.30367820257293, 96.30367820257293, 96.24932052908134, 96.26743975357854, 96.23120130458418, 96.30367820257293, 96.30367820257293, 96.30367820257293, 96.32179742707012, 96.26743975357854, 96.28555897807574, 96.30367820257293, 96.24932052908134, 96.30367820257293, 96.24932052908134, 96.28555897807574, 96.33991665156731, 96.28555897807574, 96.3580358760645, 96.3761551005617, 96.33991665156731, 96.28555897807574, 96.32179742707012, 96.33991665156731, 96.3761551005617, 96.24932052908134, 96.33991665156731, 96.32179742707012, 96.30367820257293, 96.30367820257293, 96.3761551005617, 96.28555897807574, 96.30367820257293, 96.30367820257293, 96.28555897807574, 96.24932052908134, 96.28555897807574, 96.30367820257293, 96.32179742707012, 96.33991665156731, 96.28555897807574, 96.26743975357854, 96.3580358760645, 96.26743975357854, 96.28555897807574, 96.32179742707012, 96.33991665156731, 96.28555897807574, 96.30367820257293, 96.26743975357854, 96.30367820257293, 96.26743975357854, 96.30367820257293, 96.32179742707012, 96.23120130458418, 96.28555897807574, 96.24932052908134, 96.33991665156731, 96.33991665156731, 96.32179742707012, 96.32179742707012, 96.32179742707012, 96.28555897807574, 96.3580358760645, 96.32179742707012, 96.32179742707012, 96.30367820257293, 96.32179742707012, 96.28555897807574, 96.32179742707012, 96.30367820257293, 96.30367820257293, 96.30367820257293, 96.30367820257293, 96.33991665156731, 96.26743975357854, 96.33991665156731, 96.30367820257293, 96.33991665156731, 96.28555897807574, 96.3761551005617, 96.33991665156731, 96.30367820257293, 96.30367820257293, 96.30367820257293, 96.32179742707012, 96.32179742707012, 96.32179742707012, 96.28555897807574, 96.32179742707012, 96.32179742707012, 96.26743975357854, 96.3761551005617, 96.3580358760645, 96.32179742707012, 96.28555897807574, 96.28555897807574, 96.30367820257293, 96.30367820257293, 96.32179742707012, 96.28555897807574, 96.32179742707012, 96.28555897807574, 96.28555897807574, 96.28555897807574, 96.33991665156731, 96.32179742707012, 96.3580358760645, 96.30367820257293, 96.24932052908134, 96.28555897807574, 96.26743975357854, 96.26743975357854, 96.28555897807574, 96.32179742707012, 96.32179742707012, 96.24932052908134, 96.30367820257293, 96.32179742707012, 96.26743975357854, 96.30367820257293, 96.32179742707012, 96.33991665156731, 96.32179742707012, 96.30367820257293, 96.28555897807574, 96.26743975357854, 96.28555897807574, 96.32179742707012, 96.30367820257293, 96.30367820257293, 96.28555897807574, 96.30367820257293, 96.3761551005617, 96.32179742707012, 96.23120130458418, 96.26743975357854, 96.26743975357854, 96.3580358760645, 96.33991665156731, 96.32179742707012, 96.32179742707012, 96.3761551005617, 96.24932052908134, 96.24932052908134, 96.33991665156731, 96.32179742707012, 96.24932052908134, 96.3761551005617, 96.26743975357854, 96.30367820257293, 96.3580358760645, 96.32179742707012, 96.28555897807574, 96.28555897807574, 96.30367820257293, 96.3761551005617, 96.3761551005617, 96.30367820257293, 96.33991665156731, 96.30367820257293, 96.32179742707012, 96.32179742707012, 96.30367820257293, 96.33991665156731, 96.28555897807574, 96.28555897807574, 96.28555897807574, 96.30367820257293, 96.30367820257293, 96.33991665156731, 96.3761551005617, 96.33991665156731, 96.24932052908134, 96.28555897807574, 96.32179742707012, 96.33991665156731, 96.28555897807574, 96.30367820257293, 96.3580358760645, 96.33991665156731, 96.28555897807574, 96.32179742707012, 96.33991665156731, 96.28555897807574, 96.3580358760645, 96.33991665156731, 96.28555897807574, 96.24932052908134, 96.28555897807574, 96.30367820257293, 96.3761551005617, 96.32179742707012, 96.24932052908134, 96.28555897807574, 96.28555897807574, 96.32179742707012, 96.30367820257293, 96.30367820257293, 96.32179742707012, 96.28555897807574, 96.24932052908134, 96.28555897807574, 96.28555897807574, 96.30367820257293, 96.26743975357854, 96.3580358760645, 96.33991665156731, 96.32179742707012, 96.28555897807574, 96.32179742707012, 96.3580358760645]"
test_acc,96.41174338528452
