,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,VGG11
loss_list,"[2.1956145763397217, 1.980438232421875, 1.8513282537460327, 1.7389053106307983, 1.633338212966919, 1.56253182888031, 1.440596342086792, 1.3765771389007568, 1.3632615804672241, 1.3254495859146118, 1.2822524309158325, 1.3353326320648193, 1.270295262336731, 1.2424285411834717, 1.2184432744979858, 1.1704055070877075, 1.1678948402404785, 1.3139538764953613, 1.1987375020980835, 1.142863154411316, 1.2466739416122437, 1.2082939147949219, 1.121631145477295, 1.1313669681549072, 1.0934503078460693, 1.082035779953003, 1.0668939352035522, 1.1457144021987915, 1.2438876628875732, 1.1370564699172974, 1.0730600357055664, 1.0348701477050781, 1.0122605562210083, 1.2522448301315308, 1.1895073652267456, 1.1046546697616577, 1.0481250286102295, 1.0392080545425415, 1.0275332927703857, 0.9850940704345703, 0.9862465262413025, 0.9638267755508423, 0.957844078540802, 0.9499077796936035, 0.9579696655273438, 0.95815509557724, 0.9520031809806824, 0.9545299410820007, 0.9504497647285461, 0.9417974352836609, 0.9299641847610474, 0.9361538290977478, 0.9347518086433411, 0.9215609431266785, 0.9272635579109192, 0.929938018321991, 0.9283723831176758, 0.9263977408409119, 0.9135244488716125, 0.9339276552200317, 0.9227739572525024, 0.9256022572517395, 0.9191064238548279, 0.9096957445144653, 0.9136343002319336, 0.907505989074707, 0.9241520166397095, 0.9256641268730164, 0.9155852198600769, 0.9162324070930481, 0.9114412665367126, 0.9163485765457153, 0.8983244895935059, 0.9127718210220337, 0.9031955599784851, 0.8984149098396301, 0.9023312926292419, 0.9063023924827576, 0.8965210914611816, 0.9126356244087219, 0.9058876037597656, 0.8874627947807312, 0.9106915593147278, 0.8999820947647095, 0.9078092575073242, 0.9012739062309265, 0.9041396975517273, 0.8890129327774048, 0.8943067789077759, 0.9085630774497986, 0.8968334197998047, 0.9012214541435242, 0.8964635729789734, 0.898689866065979, 0.8906092643737793, 0.8921905755996704, 0.8950306177139282, 0.9063584208488464, 0.8874197006225586, 0.8978603482246399, 0.8823522925376892, 0.8904306292533875, 0.8991506695747375, 0.8979031443595886, 0.9051181674003601, 0.9091620445251465, 0.8965837359428406, 0.9028316736221313, 0.8916757702827454, 0.8986845016479492, 0.8999873399734497, 0.9078531265258789, 0.8972299695014954, 0.8957037925720215, 0.9061498045921326, 0.8854644894599915, 0.8882967829704285, 0.8970386385917664, 0.8913087844848633, 0.8940085768699646, 0.9035772681236267, 0.9066151976585388, 0.900790810585022, 0.8889327049255371, 0.9017400145530701, 0.8998122215270996, 0.9006639719009399, 0.8928034901618958, 0.9007324576377869, 0.9082607626914978, 0.8968715667724609, 0.895970344543457, 0.8906869292259216, 0.9035577178001404, 0.9090191721916199, 0.9133980870246887, 0.9080444574356079, 0.9025131464004517, 0.9192605018615723, 0.8936322331428528, 0.8985857367515564, 0.9122354388237, 0.9113391041755676, 0.8932090997695923, 0.9068263173103333, 0.8972857594490051, 0.8999099731445312, 0.894389808177948, 0.9104073643684387, 0.9088945388793945, 0.8937565684318542, 0.9059684872627258, 0.8953442573547363, 0.8876129388809204, 0.8977241516113281, 0.9009512066841125, 0.894037663936615, 0.9041336178779602, 0.9015260934829712, 0.893933892250061, 0.9005181193351746, 0.8999074101448059, 0.9019773602485657, 0.8892612457275391, 0.9018546342849731, 0.8987992405891418, 0.8929488062858582, 0.9040352702140808, 0.8906952738761902, 0.9026245474815369, 0.8940650820732117, 0.9028803706169128, 0.8949926495552063, 0.8870362639427185, 0.8983468413352966, 0.9014882445335388, 0.9007871747016907, 0.9041581153869629, 0.8914200663566589, 0.8970869183540344, 0.8948437571525574, 0.9033037424087524, 0.9023987054824829, 0.9009656310081482, 0.8913281559944153, 0.8905407190322876, 0.8898282051086426, 0.9115616083145142, 0.8928386569023132, 0.9090012907981873, 0.9071752429008484, 0.8925084471702576, 0.8948554992675781, 0.8966254591941833, 0.8964765667915344, 0.8825128674507141, 0.8942856192588806, 0.9094285368919373, 0.898949146270752, 0.8964710235595703, 0.8916535377502441, 0.8998624086380005, 0.8942329287528992, 0.908381462097168, 0.8981440663337708, 0.9096497893333435, 0.8955304026603699, 0.8898720741271973, 0.8882474303245544, 0.8898758292198181, 0.8975066542625427, 0.9073023796081543, 0.9090015292167664, 0.9080941081047058, 0.8889666795730591, 0.8991777300834656, 0.8976531028747559, 0.8967256546020508, 0.9094924330711365, 0.897216260433197, 0.8968548774719238, 0.8965048789978027, 0.8960671424865723, 0.9003879427909851, 0.8921667337417603, 0.8947649002075195, 0.8949994444847107, 0.8990738987922668, 0.8828811645507812, 0.8987599611282349, 0.9050386548042297, 0.888995349407196, 0.8981335759162903, 0.9089881777763367, 0.9018301963806152, 0.9105423092842102, 0.8897927403450012, 0.896277904510498, 0.8927362561225891, 0.8970400094985962, 0.9003356099128723, 0.9047093391418457, 0.8988820314407349, 0.9142810702323914, 0.8844451308250427, 0.8974860310554504, 0.914081871509552, 0.8961120843887329, 0.8946637511253357, 0.8899103999137878, 0.8929018378257751, 0.8984491229057312, 0.9039390683174133, 0.8949790000915527, 0.9053894877433777, 0.8992457389831543, 0.8943135142326355, 0.9051104784011841, 0.893404483795166, 0.8961670994758606, 0.8960906863212585, 0.9055383801460266, 0.8948621153831482, 0.9007234573364258, 0.8956045508384705, 0.9016041159629822, 0.9019371867179871, 0.9063741564750671, 0.8993048667907715, 0.8884965181350708, 0.895389199256897, 0.9022286534309387, 0.9069520235061646, 0.9014777541160583, 0.9123789668083191, 0.8924282193183899, 0.8897646069526672, 0.8967563509941101, 0.8921670913696289, 0.9078497886657715, 0.8935403227806091, 0.909636914730072, 0.902603268623352, 0.8858309984207153, 0.9045946002006531, 0.9103319048881531, 0.8956248164176941, 0.9111539125442505, 0.8941239714622498, 0.9053134322166443, 0.889514148235321, 0.9037609100341797, 0.9097105860710144, 0.9180895686149597, 0.8946352005004883, 0.89794921875, 0.8917533755302429, 0.8953911066055298, 0.9064578413963318, 0.8977031111717224]"
train_acc_list,"[23.005642698141536, 29.927007299270077, 35.82336801780815, 41.010508878190194, 40.10974789045918, 47.543614432882954, 49.29336853548688, 50.73251540094218, 50.10612413935911, 51.80411036910494, 46.93793032044313, 53.874825283429104, 52.59098203654812, 56.05942951804111, 57.66423357664233, 56.779002950768756, 54.29932184086555, 54.64098980172905, 56.33379924418905, 57.62799606564166, 54.06118962571828, 56.452865351762696, 59.30527514624424, 60.36651653983538, 60.9722006522752, 61.375990060568405, 62.5097064761609, 54.164725371434486, 57.23456023192007, 60.36133975254957, 61.091266759848835, 62.59253507273386, 63.66930682818243, 53.80752704871357, 57.99037117564839, 60.84278097012994, 62.60288864730548, 60.83242739555832, 63.721074701040536, 64.55971424134182, 65.05150903349382, 64.98938758606408, 65.22234301392555, 65.52259667650256, 65.62095563493297, 66.14381115079982, 66.05062897965523, 65.95744680851064, 66.51136304809235, 65.55883418750324, 66.25252368380184, 66.05062897965523, 66.60454521923694, 66.19040223637211, 66.70290417766735, 66.8271470725268, 66.83750064709841, 66.72878811409639, 66.50618626080654, 66.77537919966868, 66.89962209452813, 66.330175493089, 66.45959517523426, 66.73396490138221, 66.3871201532329, 67.1325775223896, 66.41818087694776, 66.76502562509707, 67.26717399182067, 66.57348449552208, 67.7744991458301, 66.92550603095718, 66.94103639281462, 67.77967593311591, 67.16363824610447, 67.71755448568618, 68.05404565926386, 67.03939535124502, 67.1791686079619, 67.29823471553554, 67.37588652482269, 67.75379199668686, 67.37588652482269, 67.65543303825646, 67.44318475953823, 67.14810788424703, 67.1739918206761, 67.77967593311591, 67.04457213853082, 67.37070973753688, 68.00745457369158, 67.3241186519646, 67.62437231454159, 67.54672050525444, 67.61401873996998, 68.11099031940778, 67.67096340011389, 67.65543303825646, 67.49495263239633, 67.50530620696796, 67.28788114096392, 67.48459905782471, 67.23611326810581, 66.99798105295854, 67.10151679867474, 67.29305792824974, 67.41212403582337, 67.23611326810581, 67.25682041724906, 67.24129005539162, 67.30858829010717, 67.43800797225242, 67.56225086711187, 67.19469896981933, 68.14205104312265, 67.39659367396594, 67.18434539524772, 67.26717399182067, 68.29217787441114, 67.63472588911321, 67.74861520940104, 67.30341150282135, 67.35517937567946, 67.96086348811927, 67.85215095511725, 67.33964901382203, 67.66060982554227, 67.44318475953823, 67.35000258839364, 67.35000258839364, 67.0342185639592, 67.66060982554227, 67.41212403582337, 67.22575969353419, 67.3241186519646, 67.60366516539835, 67.71237769840037, 67.55189729254025, 67.79520629497334, 66.99798105295854, 67.73826163482943, 67.88838846611793, 67.41212403582337, 67.56742765439768, 67.38624009939431, 67.62437231454159, 67.74343842211523, 67.91944918983279, 67.48977584511053, 67.66060982554227, 67.6761401873997, 67.51565978153957, 67.84697416783145, 67.18952218253352, 67.78485272040172, 67.33964901382203, 67.39141688668012, 67.86768131697468, 66.92550603095718, 67.46906869596728, 67.75379199668686, 67.74343842211523, 67.4794222705389, 67.43800797225242, 67.42247761039499, 67.54154371796864, 67.71237769840037, 67.6761401873997, 67.2827043536781, 67.30341150282135, 67.63990267639902, 67.76932235854429, 67.59848837811255, 67.26717399182067, 67.39659367396594, 67.64507946368484, 67.52601335611119, 67.37588652482269, 67.55707407982607, 66.80643992338354, 68.022984935549, 67.28788114096392, 67.39659367396594, 67.22058290624838, 67.50012941968214, 67.23611326810581, 66.80643992338354, 67.40694724853755, 67.3241186519646, 67.61919552725578, 67.63990267639902, 67.74861520940104, 66.77537919966868, 66.59419164466533, 67.42247761039499, 67.49495263239633, 67.1739918206761, 67.46389190868148, 67.35517937567946, 67.76932235854429, 67.84179738054563, 67.59848837811255, 67.65025625097066, 67.46389190868148, 67.58813480354092, 67.51048299425376, 66.99280426567272, 67.52601335611119, 66.50618626080654, 67.51048299425376, 67.66060982554227, 67.35000258839364, 67.95568670083347, 67.4276543976808, 67.79520629497334, 67.35517937567946, 67.83662059325982, 67.22575969353419, 67.54672050525444, 67.00833462753015, 67.28788114096392, 67.60366516539835, 67.38624009939431, 67.38624009939431, 67.3344722265362, 67.80555986954496, 67.04457213853082, 67.73826163482943, 67.81073665683077, 67.29305792824974, 67.76414557125847, 67.0342185639592, 67.88838846611793, 67.19987575710515, 67.5726044416835, 67.83144380597402, 67.03939535124502, 67.13775430967542, 67.0808096495315, 67.55707407982607, 67.5829580162551, 67.22058290624838, 67.2827043536781, 67.75896878397266, 67.54672050525444, 67.41212403582337, 67.56742765439768, 67.4794222705389, 67.2775275663923, 67.41730082310919, 67.9763938499767, 67.46906869596728, 67.10151679867474, 67.04457213853082, 67.24646684267744, 66.92032924367138, 67.3292954392504, 67.5777812289693, 67.19469896981933, 67.4794222705389, 67.69684733654294, 67.15846145881865, 67.5829580162551, 67.11187037324636, 67.63990267639902, 67.07045607495988, 67.43283118496662, 67.5829580162551, 67.5829580162551, 67.56225086711187, 67.91944918983279, 66.94621318010043, 67.49495263239633, 67.70720091111457, 67.45353833410985, 67.65025625097066, 66.94621318010043, 67.21540611896258, 68.04886887197806, 67.31376507739297, 67.27235077910649, 67.36553295025107, 67.14810788424703, 67.05492571310245, 67.01868820210177, 67.34482580110783, 67.25164362996324, 67.45353833410985, 67.40177046125174, 67.42247761039499, 67.33964901382203, 67.10151679867474, 67.92462597711861, 67.59848837811255, 67.50530620696796, 67.50530620696796, 67.4742454832531, 67.04457213853082, 67.60366516539835, 66.73914168866801]"
val_acc_list,"[27.849248052183366, 38.35839826055445, 46.67512230476535, 56.187715165790905, 51.51295524551549, 66.13516941474906, 66.44319623120131, 72.07827504982787, 68.14640333393731, 70.5019025185722, 62.1851784743613, 72.8755209277043, 73.07483239717341, 76.84363109258923, 78.27504982786738, 75.91955064323247, 73.60028990759196, 74.66932415292625, 78.2206921543758, 77.56840007247689, 73.63652835658634, 78.81862656278311, 79.23536872621851, 79.28972639971009, 82.0619677477804, 82.82297517666244, 83.05852509512593, 71.26290994745425, 78.83674578728031, 81.01105272694329, 82.85921362565682, 83.67457872803044, 82.56930603370176, 73.7090052545751, 79.45279942018482, 81.46403333937307, 83.31219423808662, 81.04729117593767, 83.94636709548831, 85.95760101467658, 85.8851241166878, 85.95760101467658, 86.15691248414568, 86.22938938213444, 86.24750860663164, 86.48305852509512, 86.48305852509512, 86.5736546475811, 86.84544301503895, 86.80920456604457, 86.59177387207826, 86.91791991302772, 87.02663526001088, 87.04475448450806, 86.93603913752492, 87.13535060699402, 86.9541583620221, 87.15346983149121, 87.3709005254575, 87.49773509693786, 86.82732379054177, 87.66080811741257, 87.02663526001088, 87.46149664794348, 86.9541583620221, 87.73328501540134, 86.62801232107266, 87.80576191339011, 87.87823881137888, 87.44337742344628, 87.96883493386483, 86.79108534154739, 87.96883493386483, 87.89635803587606, 88.04131183185359, 88.00507338285921, 88.00507338285921, 88.0231926073564, 88.04131183185359, 88.04131183185359, 87.96883493386483, 88.04131183185359, 88.16814640333394, 88.13190795433955, 88.13190795433955, 88.05943105635079, 88.15002717883674, 88.04131183185359, 88.04131183185359, 88.11378872984235, 88.18626562783113, 88.24062330132271, 88.20438485232832, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.18626562783113, 88.18626562783113, 88.18626562783113, 88.18626562783113, 88.18626562783113, 88.18626562783113, 88.20438485232832, 88.20438485232832, 88.20438485232832, 88.20438485232832, 88.20438485232832, 88.20438485232832, 88.18626562783113, 88.16814640333394, 88.16814640333394, 88.18626562783113, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.15002717883674, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.20438485232832, 88.20438485232832, 88.20438485232832, 88.18626562783113, 88.18626562783113, 88.18626562783113, 88.18626562783113, 88.18626562783113, 88.18626562783113, 88.18626562783113, 88.16814640333394, 88.16814640333394, 88.15002717883674, 88.13190795433955, 88.13190795433955, 88.11378872984235, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.11378872984235, 88.11378872984235, 88.11378872984235, 88.11378872984235, 88.11378872984235, 88.13190795433955, 88.11378872984235, 88.09566950534517, 88.09566950534517, 88.11378872984235, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.11378872984235, 88.11378872984235, 88.16814640333394, 88.16814640333394, 88.15002717883674, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.18626562783113, 88.13190795433955, 88.09566950534517, 88.11378872984235, 88.09566950534517, 88.09566950534517, 88.11378872984235, 88.11378872984235, 88.11378872984235, 88.09566950534517, 88.09566950534517, 88.11378872984235, 88.11378872984235, 88.11378872984235, 88.13190795433955, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.13190795433955, 88.11378872984235, 88.13190795433955, 88.13190795433955, 88.11378872984235, 88.11378872984235, 88.11378872984235, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.13190795433955, 88.13190795433955, 88.15002717883674, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.11378872984235, 88.13190795433955, 88.13190795433955, 88.11378872984235, 88.11378872984235, 88.09566950534517, 88.11378872984235, 88.11378872984235, 88.13190795433955, 88.11378872984235, 88.13190795433955, 88.13190795433955, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.13190795433955, 88.15002717883674, 88.13190795433955, 88.13190795433955, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.18626562783113, 88.16814640333394, 88.16814640333394, 88.16814640333394, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.16814640333394, 88.18626562783113, 88.16814640333394, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.15002717883674, 88.16814640333394, 88.11378872984235]"
test_acc,88.94527002537151
