,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,VGG11
loss_list,"[2.647298574447632, 1.6571295261383057, 1.169377088546753, 0.9489653706550598, 0.8550766110420227, 0.7868887782096863, 0.6907879114151001, 0.6652424931526184, 0.6124656796455383, 0.5940443873405457, 0.5604962706565857, 0.5038804411888123, 0.5041994452476501, 0.46033143997192383, 0.458258718252182, 0.4006372392177582, 0.6322246789932251, 0.6220349669456482, 0.50471431016922, 0.42957744002342224, 0.412022203207016, 0.37833261489868164, 0.3964757025241852, 0.3981596529483795, 0.338685005903244, 0.3067450225353241, 0.2984471023082733, 0.2889057397842407, 0.6430490016937256, 0.6498828530311584, 0.44286733865737915, 0.3748106062412262, 0.33449846506118774, 0.3063925802707672, 0.28948161005973816, 0.2798197865486145, 0.2778242826461792, 0.2731363773345947, 0.27153095602989197, 0.2654677927494049, 0.26689282059669495, 0.2624540328979492, 0.26250267028808594, 0.26061439514160156, 0.258391797542572, 0.2565179765224457, 0.2565983831882477, 0.25252774357795715, 0.2503020465373993, 0.25168922543525696, 0.2505822777748108, 0.2516043484210968, 0.24868836998939514, 0.24418120086193085, 0.24763381481170654, 0.245777890086174, 0.24388067424297333, 0.2389519214630127, 0.237344428896904, 0.24075578153133392, 0.2370535135269165, 0.23412583768367767, 0.23269318044185638, 0.23396983742713928, 0.23357155919075012, 0.23220379650592804, 0.23286710679531097, 0.226592019200325, 0.2288745492696762, 0.2285306751728058, 0.22314472496509552, 0.22758014500141144, 0.22301557660102844, 0.22255097329616547, 0.22037139534950256, 0.22310428321361542, 0.2163608819246292, 0.2199362963438034, 0.21726873517036438, 0.21725939214229584, 0.21695421636104584, 0.21515242755413055, 0.21127596497535706, 0.21581821143627167, 0.2094363272190094, 0.21402548253536224, 0.21065495908260345, 0.20976507663726807, 0.21127600967884064, 0.2086014300584793, 0.2073051929473877, 0.2051246017217636, 0.20492695271968842, 0.20169566571712494, 0.20179174840450287, 0.20226843655109406, 0.20126357674598694, 0.19942934811115265, 0.19934788346290588, 0.19488577544689178, 0.19702984392642975, 0.19489923119544983, 0.19579271972179413, 0.19362418353557587, 0.1939575970172882, 0.19324983656406403, 0.19456355273723602, 0.19139911234378815, 0.1912793517112732, 0.18757370114326477, 0.18825264275074005, 0.18862712383270264, 0.18719890713691711, 0.1875787377357483, 0.18645672500133514, 0.18850024044513702, 0.18532760441303253, 0.18603487312793732, 0.18471476435661316, 0.18581119179725647, 0.18236921727657318, 0.18161484599113464, 0.17999564111232758, 0.17985250055789948, 0.18291939795017242, 0.17852476239204407, 0.18064410984516144, 0.17652319371700287, 0.17513076961040497, 0.17598198354244232, 0.1753058284521103, 0.1770472526550293, 0.17471933364868164, 0.17107747495174408, 0.17046594619750977, 0.17025737464427948, 0.1717061847448349, 0.17022937536239624, 0.17244087159633636, 0.16826379299163818, 0.16683293879032135, 0.16335545480251312, 0.16537348926067352, 0.16443635523319244, 0.16572175920009613, 0.16245082020759583, 0.16155996918678284, 0.16325265169143677, 0.1625795066356659, 0.16183675825595856, 0.16281986236572266, 0.1591009944677353, 0.16138820350170135, 0.1590987890958786, 0.16041360795497894, 0.15579260885715485, 0.15582643449306488, 0.1573031097650528, 0.15380658209323883, 0.15452615916728973, 0.1570766270160675, 0.15152695775032043, 0.15396247804164886, 0.15171828866004944, 0.151917964220047, 0.1497608870267868, 0.1486525982618332, 0.14702743291854858, 0.1463322937488556, 0.14539913833141327, 0.14758680760860443, 0.14797888696193695, 0.1446543186903, 0.1448349803686142, 0.14348118007183075, 0.14359401166439056, 0.1436164826154709, 0.1417645514011383, 0.1393619030714035, 0.13937963545322418, 0.14259833097457886, 0.14274798333644867, 0.14073771238327026, 0.14733408391475677, 0.14030873775482178, 0.13463816046714783, 0.13455235958099365, 0.1356896311044693, 0.13501325249671936, 0.13398894667625427, 0.1348646730184555, 0.13529528677463531, 0.13615472614765167, 0.13564704358577728, 0.13356183469295502, 0.13321132957935333, 0.13294164836406708, 0.13552133738994598, 0.1348814219236374, 0.13376767933368683, 0.13610386848449707, 0.1345512419939041, 0.13574907183647156, 0.13158510625362396, 0.13206785917282104, 0.13453026115894318, 0.13265010714530945, 0.1340409815311432, 0.13449905812740326, 0.1328282207250595, 0.1332390159368515, 0.1341714859008789, 0.1319701075553894, 0.13348975777626038, 0.13355839252471924, 0.13173751533031464, 0.13459967076778412, 0.13547423481941223, 0.1322578638792038, 0.1341789960861206, 0.13265077769756317, 0.13444273173809052, 0.13349305093288422, 0.13318891823291779, 0.1346084177494049, 0.1347413808107376, 0.13406643271446228, 0.13513512909412384, 0.13306176662445068, 0.13344211876392365, 0.1338738054037094, 0.13312141597270966, 0.13369452953338623, 0.1344558298587799, 0.13263127207756042, 0.13386638462543488, 0.13203494250774384, 0.1323954164981842, 0.1330021470785141, 0.13207054138183594, 0.1317875236272812, 0.1309555023908615, 0.13402140140533447, 0.13286899030208588, 0.13424982130527496, 0.13322268426418304, 0.13591495156288147, 0.13259053230285645, 0.1326199620962143, 0.13140293955802917, 0.13277043402194977, 0.13225899636745453, 0.13294006884098053, 0.133290633559227, 0.1321871280670166, 0.13376334309577942, 0.13254611194133759, 0.1331692785024643, 0.1324118971824646, 0.13377021253108978, 0.13514725863933563, 0.1343572586774826, 0.13308842480182648, 0.13263092935085297, 0.13416355848312378, 0.13253796100616455, 0.1317238211631775, 0.13294802606105804, 0.13334621489048004, 0.1347806304693222, 0.1308307647705078, 0.1326599270105362, 0.1330050826072693, 0.1319456845521927, 0.13590703904628754, 0.13492201268672943, 0.13396978378295898, 0.13453088700771332, 0.1317567676305771, 0.13387863337993622, 0.13202393054962158, 0.13274255394935608, 0.1322285383939743, 0.13279806077480316, 0.13232946395874023, 0.1336406022310257, 0.1345795840024948, 0.13265429437160492, 0.13225965201854706, 0.13532699644565582, 0.13288961350917816, 0.13233117759227753, 0.1335545927286148, 0.13529738783836365, 0.13005587458610535, 0.13350115716457367, 0.13221198320388794, 0.1319790929555893, 0.13458000123500824, 0.13334552943706512]"
train_acc_list,"[30.11854842884506, 51.969767562250865, 63.809080084899314, 67.62437231454159, 72.92022570792565, 74.88222808924782, 77.10306983486048, 78.5525702748874, 78.09701299373609, 80.32303152663457, 81.00119066107574, 83.34109851426204, 83.35662887611947, 84.64047212300046, 86.56106020603613, 85.800072475022, 76.14536418698556, 81.80359269037635, 84.69741678314439, 86.30222084174561, 86.76295491018274, 86.5455298441787, 84.54728995185587, 89.05109489051095, 89.6671325775224, 89.89491121809804, 90.1175130713879, 90.60413107625408, 72.99270072992701, 84.01408086141741, 86.892374592328, 88.00020707149143, 89.34099497851633, 89.98291660195683, 90.43847388310814, 90.65589894911218, 90.69213646011285, 90.8629704405446, 90.89920795154526, 91.09592586840607, 91.12698659212093, 91.22534555055132, 91.14769374126416, 91.30299735983849, 91.3547652326966, 91.39100274369726, 91.53595278769996, 91.48936170212765, 91.59289744784387, 91.74820106641818, 91.81549930113371, 91.79479215199048, 91.89315111042087, 91.98115649427965, 92.07951545271004, 92.18822798571207, 92.13646011285395, 92.1571672619972, 92.22446549671274, 92.21928870942693, 92.39529947714449, 92.42636020085935, 92.34353160428638, 92.41600662628773, 92.50401201014651, 92.52989594657556, 92.64378526686339, 92.66449241600662, 92.63343169229177, 92.69037635243568, 92.73179065072216, 92.83532639643836, 92.86638712015323, 92.88709426929648, 92.95956929129781, 92.92850856758295, 93.01133716415593, 92.954392504012, 93.01133716415593, 93.04239788787079, 93.11487290987213, 93.11487290987213, 93.02169073872754, 93.06828182429983, 93.08898897344308, 93.08381218615726, 93.2442925920174, 93.07863539887146, 93.10969612258633, 93.33747476316199, 93.35300512501942, 93.53936946730859, 93.56007661645182, 93.55489982916602, 93.51866231816534, 93.65843557488222, 93.57043019102345, 93.60149091473832, 93.60666770202413, 93.78785525702749, 93.78785525702749, 93.83444634259979, 93.81891598074236, 93.84997670445722, 93.8913910027437, 93.96386602474504, 93.88103742817208, 93.94315887560181, 94.04669462131801, 94.02081068488896, 94.03634104674639, 94.0881089196045, 94.15023036703421, 94.18129109074908, 94.08293213231869, 94.12952321789098, 94.27447326189366, 94.23305896360719, 94.29518041103691, 94.24858932546462, 94.31588756018016, 94.34694828389502, 94.40906973132473, 94.31588756018016, 94.4867215406119, 94.18129109074908, 94.4867215406119, 94.45048402961123, 94.47119117875447, 94.56955013718486, 94.39871615675311, 94.56955013718486, 94.7352073303308, 94.67826267018688, 94.47119117875447, 94.66273230832945, 94.74556090490242, 94.80250556504633, 94.7403841176166, 94.6368483719004, 94.94745560904903, 94.96298597090646, 94.88015737433348, 94.97333954547807, 94.96816275819226, 95.07169850390848, 94.95780918362064, 94.95780918362064, 95.15970388776725, 95.07169850390848, 95.06652171662266, 95.00957705647875, 94.84909665061862, 95.030284205622, 95.20111818605373, 95.12864316405239, 95.09240565305171, 95.1855878241963, 95.22700212248279, 95.33053786819899, 95.36159859191386, 95.37712895377129, 95.39783610291454, 95.37195216648547, 95.37195216648547, 95.51690221048817, 95.41336646477197, 95.49619506134492, 95.38748252834291, 95.54796293420303, 95.51690221048817, 95.5842004452037, 95.62043795620438, 95.50654863591656, 95.62043795620438, 95.63079153077601, 95.78609514935032, 95.83786302220841, 95.80162551120775, 95.74985763834964, 95.88963089506652, 95.80680229849355, 95.83786302220841, 95.89998446963814, 95.70844334006316, 95.95175234249625, 95.98281306621111, 96.02940415178341, 96.06046487549827, 96.01387378992598, 96.02422736449759, 96.03458093906922, 96.10705596107056, 96.03458093906922, 96.02422736449759, 96.0759952373557, 96.0759952373557, 96.07081845006988, 96.0759952373557, 96.06564166278407, 96.0759952373557, 96.11223274835638, 96.08634881192731, 96.09670238649893, 96.06564166278407, 96.0759952373557, 96.07081845006988, 96.0811720246415, 96.0759952373557, 96.08634881192731, 96.08634881192731, 96.08634881192731, 96.0759952373557, 96.08634881192731, 96.08634881192731, 96.08634881192731, 96.0759952373557, 96.0811720246415, 96.0811720246415, 96.0811720246415, 96.0811720246415, 96.0811720246415, 96.0811720246415, 96.0811720246415, 96.0811720246415, 96.0759952373557, 96.0759952373557, 96.0759952373557, 96.0811720246415, 96.08634881192731, 96.08634881192731, 96.0811720246415, 96.08634881192731, 96.08634881192731, 96.09152559921313, 96.08634881192731, 96.08634881192731, 96.08634881192731, 96.09152559921313, 96.09152559921313, 96.09152559921313, 96.08634881192731, 96.08634881192731, 96.08634881192731, 96.08634881192731, 96.08634881192731, 96.09670238649893, 96.09152559921313, 96.09152559921313, 96.09152559921313, 96.08634881192731, 96.08634881192731, 96.08634881192731, 96.09152559921313, 96.09152559921313, 96.09152559921313, 96.09152559921313, 96.09152559921313, 96.09670238649893, 96.09670238649893, 96.09670238649893, 96.09670238649893, 96.09670238649893, 96.08634881192731, 96.08634881192731, 96.08634881192731, 96.08634881192731, 96.08634881192731, 96.09152559921313, 96.09152559921313, 96.10187917378475, 96.10187917378475, 96.10705596107056, 96.11223274835638, 96.11223274835638, 96.10705596107056, 96.10705596107056, 96.10187917378475, 96.09670238649893, 96.09152559921313, 96.09670238649893, 96.09670238649893, 96.10187917378475, 96.10187917378475, 96.10187917378475, 96.09670238649893, 96.10705596107056, 96.10705596107056, 96.10705596107056, 96.10187917378475, 96.10187917378475, 96.10187917378475, 96.09670238649893, 96.09670238649893, 96.10705596107056, 96.09670238649893, 96.10187917378475, 96.10187917378475, 96.09670238649893, 96.09670238649893]"
val_acc_list,"[30.313462583801414, 52.7631817358217, 63.63471643413662, 68.05580721145135, 73.2560246421453, 75.68400072476898, 77.49592317448814, 78.27504982786738, 77.58651929697409, 80.7755028084798, 81.53651023736184, 82.76861750317086, 83.25783656459504, 84.30875158543213, 85.903243341185, 85.2871897082805, 75.57528537778583, 81.22848342090958, 84.01884399347708, 85.52273962674397, 86.03007791266533, 86.37434317811199, 84.63489762638159, 88.60300779126653, 89.07410762819352, 88.85667693422722, 89.5089690161261, 89.69016126109803, 72.60373256024643, 83.5477441565501, 85.93948179017939, 87.29842362746875, 88.62112701576372, 89.49084979162892, 89.98006885305308, 90.43304946548287, 90.3968110164885, 90.45116868998007, 90.48740713897445, 90.45116868998007, 90.54176481246603, 90.3786917919913, 90.65048015944917, 90.65048015944917, 90.70483783294075, 90.55988403696323, 90.72295705743794, 90.70483783294075, 90.8316724044211, 90.77731473092952, 90.8135531799239, 90.8316724044211, 90.84979162891828, 91.01286464939301, 90.97662620039863, 91.0309838738902, 91.26653379235368, 91.19405689436492, 91.13969922087335, 91.08534154738177, 91.2121761188621, 91.26653379235368, 91.35712991483965, 91.19405689436492, 91.39336836383403, 91.33901069034245, 91.48396448631999, 91.37524913933683, 91.46584526182279, 91.62891828229752, 91.46584526182279, 91.61079905780034, 91.61079905780034, 91.57456060880594, 91.6651567312919, 91.68327595578909, 91.6651567312919, 91.71951440478348, 91.77387207827505, 91.82822975176663, 91.50208371081717, 91.61079905780034, 91.84634897626381, 91.6651567312919, 91.71951440478348, 91.59267983330314, 91.84634897626381, 91.61079905780034, 91.55644138430876, 91.95506432324696, 91.93694509874977, 92.04566044573292, 92.02754122123574, 92.06377967023012, 92.04566044573292, 92.04566044573292, 91.8825874252582, 91.99130277224134, 91.93694509874977, 92.1000181192245, 92.13625656821888, 92.2993295886936, 92.24497191520203, 92.1000181192245, 92.04566044573292, 92.06377967023012, 91.93694509874977, 92.33556803768799, 92.44428338467114, 92.37180648668237, 92.06377967023012, 92.20873346620765, 92.46240260916832, 92.40804493567674, 92.17249501721327, 92.5167602826599, 92.37180648668237, 92.28121036419641, 92.48052183366552, 92.55299873165428, 92.5167602826599, 92.38992571117957, 92.49864105816272, 92.5348795071571, 92.48052183366552, 92.35368726218518, 92.44428338467114, 92.46240260916832, 92.24497191520203, 92.7523102011234, 92.24497191520203, 92.67983330313463, 92.5167602826599, 92.58923718064867, 92.64359485414025, 92.44428338467114, 92.7523102011234, 92.62547562964305, 92.48052183366552, 92.67983330313463, 92.67983330313463, 92.86102554810654, 92.77042942562058, 92.5348795071571, 92.66171407863743, 92.78854865011778, 92.7341909766262, 92.48052183366552, 92.64359485414025, 92.66171407863743, 92.77042942562058, 92.7341909766262, 92.49864105816272, 92.55299873165428, 92.87914477260372, 92.66171407863743, 92.87914477260372, 92.7523102011234, 92.716071752129, 92.86102554810654, 92.91538322159812, 92.86102554810654, 92.78854865011778, 92.66171407863743, 92.86102554810654, 92.96974089508969, 92.89726399710092, 92.96974089508969, 92.67983330313463, 92.78854865011778, 92.91538322159812, 92.716071752129, 92.86102554810654, 93.02409856858127, 93.11469469106723, 92.91538322159812, 93.02409856858127, 93.07845624207283, 93.22341003805037, 93.06033701757565, 93.09657546657003, 93.15093314006161, 92.9335024460953, 93.04221779307845, 92.91538322159812, 92.9516216705925, 93.09657546657003, 93.07845624207283, 93.13281391556441, 93.20529081355318, 93.09657546657003, 93.15093314006161, 93.13281391556441, 93.22341003805037, 93.16905236455881, 93.18717158905598, 93.11469469106723, 93.16905236455881, 93.15093314006161, 93.20529081355318, 93.22341003805037, 93.13281391556441, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.16905236455881, 93.18717158905598, 93.18717158905598, 93.20529081355318, 93.20529081355318, 93.20529081355318, 93.20529081355318, 93.20529081355318, 93.20529081355318, 93.20529081355318, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.20529081355318, 93.20529081355318, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.20529081355318, 93.20529081355318, 93.20529081355318, 93.20529081355318, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.20529081355318, 93.18717158905598, 93.20529081355318, 93.20529081355318, 93.16905236455881, 93.16905236455881, 93.18717158905598, 93.16905236455881, 93.16905236455881, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.16905236455881, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.18717158905598, 93.20529081355318, 93.20529081355318, 93.20529081355318, 93.20529081355318, 93.20529081355318]"
test_acc,93.22218194998187
